"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2018",,,,,,"Data collected as of January 17, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,2994,41.58,49,1.09,42,0.93,126,2.8,445,9.89,25,0.56,7,0.16,1,0.02,23,0.51,-,-,6,0.13,-,-,1,0.08,1,0.11,1,0.11,-,-,-,-,-,-
Shiga,2676,51.46,31,1,9,0.29,49,1.58,186,6,25,0.81,9,0.29,2,0.06,10,0.32,5,0.16,23,0.74,-,-,5,0.63,-,-,1,0.14,-,-,-,-,-,-
Kyoto,4553,36.13,54,0.7,26,0.34,108,1.4,530,6.88,35,0.45,16,0.21,5,0.06,26,0.34,3,0.04,8,0.1,1,0.06,4,0.22,-,-,-,-,4,0.57,-,-,-,-
Osaka,10520,34.61,357,1.8,84,0.42,469,2.37,1547,7.81,160,0.81,27,0.14,24,0.12,89,0.45,10,0.05,62,0.31,1,0.02,27,0.52,-,-,1,0.06,5,0.29,-,-,4,0.24
Hyogo,6759,34.14,197,1.54,80,0.63,205,1.6,1142,8.92,89,0.7,22,0.17,8,0.06,57,0.45,1,0.01,20,0.16,-,-,18,0.51,3,0.21,-,-,5,0.36,-,-,1,0.07
Nara,1892,35.04,76,2.24,17,0.5,62,1.82,270,7.94,32,0.94,3,0.09,-,-,20,0.59,4,0.12,5,0.15,-,-,3,0.3,-,-,1,0.17,2,0.33,-,-,1,0.17
Wakayama,1363,27.82,40,1.33,27,0.9,44,1.47,194,6.47,13,0.43,3,0.1,1,0.03,14,0.47,5,0.17,18,0.6,-,-,3,0.75,-,-,2,0.18,5,0.45,-,-,6,0.55
Tottori,1641,56.59,14,0.74,12,0.63,188,9.89,116,6.11,12,0.63,5,0.26,1,0.05,10,0.53,1,0.05,-,-,-,-,3,0.6,1,0.2,1,0.2,1,0.2,-,-,1,0.2
Shimane,1238,32.58,19,0.83,7,0.3,78,3.39,188,8.17,10,0.43,12,0.52,1,0.04,18,0.78,1,0.04,19,0.83,-,-,-,-,-,-,1,0.13,2,0.25,-,-,2,0.25
Okayama,4022,47.88,30,0.56,24,0.44,121,2.24,606,11.22,26,0.48,14,0.26,3,0.06,36,0.67,1,0.02,6,0.11,2,0.17,12,1,-,-,-,-,1,0.2,-,-,-,-
Hiroshima,4868,42.7,51,0.72,55,0.77,208,2.93,756,10.65,48,0.68,9,0.13,4,0.06,30,0.42,2,0.03,12,0.17,2,0.11,21,1.11,-,-,-,-,5,0.24,-,-,2,0.1
Yamaguchi,2623,38.57,113,2.35,22,0.46,197,4.1,388,8.08,25,0.52,11,0.23,-,-,27,0.56,-,-,33,0.69,-,-,11,1.22,-,-,-,-,2,0.22,-,-,-,-
Tokushima,1640,44.32,31,1.35,22,0.96,63,2.74,204,8.87,14,0.61,14,0.61,2,0.09,32,1.39,2,0.09,22,0.96,-,-,5,1.25,-,-,-,-,-,-,-,-,-,-
