"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2015",,,,,,"Data collected as of August 12, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,4,0.02,5,,64,0.35,221,1.22,492,2.72,50,0.28,911,5.03,83,0.46,96,0.53,5,0.03,506,2.8,64,0.35,-,-,9,0.26,1,0.07,1,0.07,7,0.5,-,-,-,-
Mie,-,-,2,,20,0.44,23,0.51,149,3.31,13,0.29,262,5.82,13,0.29,28,0.62,1,0.02,168,3.73,4,0.09,1,0.08,3,0.25,-,-,1,0.11,10,1.11,-,-,-,-
Shiga,-,-,2,,13,0.42,21,0.68,116,3.74,20,0.65,245,7.9,32,1.03,17,0.55,-,-,95,3.06,14,0.45,-,-,4,0.5,-,-,2,0.29,5,0.71,-,-,-,-
Kyoto,1,0.01,1,,30,0.41,65,0.88,189,2.55,11,0.15,460,6.22,39,0.53,23,0.31,-,-,89,1.2,42,0.57,-,-,2,0.13,-,-,-,-,-,-,1,0.14,-,-
Osaka,5,0.02,18,,115,0.58,281,1.41,668,3.34,87,0.44,1969,9.85,136,0.68,110,0.55,7,0.04,493,2.47,54,0.27,2,0.04,20,0.38,-,-,1,0.06,20,1.18,-,-,2,0.12
Hyogo,2,0.01,11,,83,0.64,195,1.51,565,4.38,19,0.15,1177,9.12,62,0.48,67,0.52,7,0.05,292,2.26,38,0.29,1,0.03,35,1,-,-,1,0.08,5,0.38,-,-,-,-
Nara,3,0.06,5,,13,0.38,35,1.03,62,1.82,1,0.03,240,7.06,8,0.24,15,0.44,-,-,67,1.97,4,0.12,-,-,5,0.56,-,-,-,-,1,0.17,-,-,-,-
Wakayama,-,-,-,,8,0.26,15,0.48,47,1.52,9,0.29,208,6.71,12,0.39,10,0.32,-,-,163,5.26,3,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tottori,-,-,-,,5,0.26,74,3.89,87,4.58,6,0.32,80,4.21,-,-,7,0.37,-,-,25,1.32,2,0.11,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Shimane,-,-,6,,15,0.65,38,1.65,117,5.09,4,0.17,150,6.52,5,0.22,20,0.87,-,-,20,0.87,4,0.17,-,-,2,0.67,-,-,2,0.25,-,-,-,-,-,-
Okayama,1,0.01,5,,9,0.17,32,0.59,231,4.28,10,0.19,348,6.44,14,0.26,32,0.59,-,-,112,2.07,26,0.48,-,-,9,0.75,-,-,-,-,-,-,-,-,-,-
Hiroshima,2,0.02,26,,42,0.58,112,1.56,282,3.92,16,0.22,369,5.13,30,0.42,33,0.46,3,0.04,208,2.89,80,1.11,1,0.05,13,0.68,-,-,3,0.14,5,0.24,-,-,-,-
Yamaguchi,-,-,49,,10,0.21,133,2.83,207,4.4,11,0.23,240,5.11,15,0.32,40,0.85,1,0.02,86,1.83,9,0.19,-,-,3,0.33,-,-,-,-,1,0.11,-,-,-,-
Tokushima,-,-,10,,3,0.13,19,0.83,96,4.17,6,0.26,120,5.22,4,0.17,21,0.91,1,0.04,53,2.3,1,0.04,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kagawa,-,-,4,,31,1.11,23,0.82,111,3.96,5,0.18,170,6.07,15,0.54,27,0.96,1,0.04,93,3.32,8,0.29,-,-,5,1,-,-,-,-,5,1,-,-,-,-
Ehime,-,-,2,,9,0.24,86,2.32,215,5.81,22,0.59,180,4.86,6,0.16,30,0.81,-,-,118,3.19,11,0.3,-,-,9,1.13,-,-,-,-,1,0.17,-,-,-,-
Kochi,-,-,9,,3,0.1,25,0.83,58,1.93,4,0.13,103,3.43,12,0.4,22,0.73,-,-,170,5.67,25,0.83,-,-,1,0.33,-,-,-,-,11,1.38,3,0.38,-,-
Fukuoka,2,0.01,226,,71,0.59,240,2,530,4.42,36,0.3,898,7.48,143,1.19,101,0.84,5,0.04,272,2.27,162,1.35,1,0.04,67,2.58,1,0.07,-,-,6,0.4,-,-,-,-
Saga,-,-,8,,5,0.22,21,0.91,39,1.7,6,0.26,172,7.48,21,0.91,27,1.17,-,-,84,3.65,51,2.22,-,-,3,0.75,-,-,1,0.17,4,0.67,-,-,-,-
Nagasaki,3,0.04,25,,5,0.11,95,2.16,105,2.39,5,0.11,187,4.25,47,1.07,15,0.34,-,-,63,1.43,56,1.27,-,-,8,1,1,0.08,4,0.33,3,0.25,-,-,-,-
Kumamoto,1,0.01,9,,9,0.18,52,1.04,281,5.62,10,0.2,203,4.06,30,0.6,45,0.9,1,0.02,105,2.1,35,0.7,-,-,52,5.78,-,-,-,-,5,0.33,-,-,-,-
Oita,1,0.02,33,,12,0.33,117,3.25,365,10.14,15,0.42,159,4.42,72,2,35,0.97,-,-,170,4.72,12,0.33,-,-,7,1.4,-,-,-,-,-,-,-,-,-,-
Miyazaki,1,0.02,33,,28,0.78,61,1.69,169,4.69,16,0.44,588,16.33,10,0.28,37,1.03,-,-,133,3.69,15,0.42,-,-,24,4,-,-,3,0.43,1,0.14,-,-,-,-
Kagoshima,19,0.2,98,,21,0.38,109,1.98,274,4.98,18,0.33,279,5.07,65,1.18,33,0.6,2,0.04,79,1.44,11,0.2,-,-,8,1.14,-,-,-,-,6,0.5,-,-,-,-
Okinawa,204,3.52,65,,22,0.65,42,1.24,87,2.56,16,0.47,49,1.44,9,0.26,16,0.47,-,-,16,0.47,90,2.65,4,0.4,8,0.8,1,0.14,-,-,5,0.71,-,-,-,-
