"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51st week, 2012",,,,,,"Data collected as of December 26, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,45,0.85,84,,5,0.16,61,1.91,439,13.72,41,1.28,-,-,-,-,10,0.31,-,-,6,0.19,-,-,-,-,-,-,-,-,-,-,2,0.29,-,-
Kyoto,47,0.39,39,,8,0.11,147,1.99,834,11.27,102,1.38,3,0.04,1,0.01,27,0.36,-,-,4,0.05,5,0.07,-,-,6,0.33,-,-,-,-,-,-,-,-
Osaka,228,0.74,395,,95,0.48,411,2.07,2309,11.6,313,1.57,25,0.13,8,0.04,90,0.45,4,0.02,7,0.04,30,0.15,-,-,17,0.33,-,-,-,-,12,0.71,1,0.06
Hyogo,153,0.78,334,,52,0.4,155,1.2,1427,11.06,239,1.85,11,0.09,5,0.04,56,0.43,1,0.01,3,0.02,10,0.08,1,0.03,18,0.55,-,-,-,-,4,0.4,-,-
Nara,32,0.58,34,,6,0.17,31,0.89,372,10.63,48,1.37,5,0.14,-,-,9,0.26,1,0.03,-,-,7,0.2,-,-,2,0.22,-,-,-,-,3,0.5,-,-
Wakayama,69,1.38,61,,9,0.29,25,0.81,254,8.19,58,1.87,1,0.03,-,-,6,0.19,-,-,-,-,7,0.23,1,0.25,-,-,-,-,-,-,10,0.91,-,-
Tottori,30,1.03,51,,1,0.05,55,2.89,443,23.32,45,2.37,-,-,-,-,7,0.37,-,-,1,0.05,3,0.16,-,-,-,-,-,-,-,-,4,0.8,-,-
Shimane,20,0.53,53,,6,0.26,11,0.48,483,21,40,1.74,2,0.09,-,-,13,0.57,1,0.04,4,0.17,1,0.04,-,-,1,0.33,-,-,-,-,6,0.75,2,0.25
Okayama,52,0.62,42,,10,0.19,51,0.94,924,17.11,84,1.56,9,0.17,1,0.02,21,0.39,-,-,1,0.02,13,0.24,2,0.17,3,0.25,-,-,-,-,4,0.8,-,-
Hiroshima,364,3.17,63,,44,0.61,107,1.49,1497,20.79,154,2.14,11,0.15,7,0.1,34,0.47,4,0.06,6,0.08,22,0.31,-,-,11,0.58,-,-,1,0.05,3,0.14,-,-
Yamaguchi,52,0.75,89,,32,0.67,184,3.83,947,19.73,134,2.79,5,0.1,-,-,24,0.5,-,-,5,0.1,17,0.35,1,0.11,4,0.44,-,-,-,-,4,0.44,-,-
Tokushima,51,1.34,153,,2,0.09,42,1.83,407,17.7,34,1.48,1,0.04,1,0.04,19,0.83,-,-,-,-,4,0.17,-,-,-,-,-,-,-,-,1,0.2,-,-
Kagawa,7,0.14,53,,12,0.4,25,0.83,758,25.27,60,2,10,0.33,2,0.07,10,0.33,-,-,7,0.23,1,0.03,-,-,-,-,-,-,1,0.2,1,0.2,-,-
Ehime,54,0.89,98,,3,0.08,92,2.49,951,25.7,95,2.57,5,0.14,9,0.24,18,0.49,-,-,3,0.08,15,0.41,-,-,7,0.88,-,-,-,-,7,1.17,-,-
Kochi,134,2.79,67,,3,0.1,45,1.5,556,18.53,91,3.03,-,-,3,0.1,14,0.47,-,-,4,0.13,1,0.03,-,-,1,0.33,-,-,-,-,11,1.38,-,-
Fukuoka,657,3.32,77,,113,0.95,295,2.48,1550,13.03,386,3.24,84,0.71,1,0.01,76,0.64,3,0.03,10,0.08,105,0.88,1,0.04,21,0.81,1,0.07,-,-,6,0.4,-,-
Saga,328,8.63,4,,21,0.95,38,1.73,221,10.05,61,2.77,1,0.05,-,-,18,0.82,-,-,-,-,9,0.41,-,-,1,0.25,-,-,-,-,5,0.83,-,-
Nagasaki,113,1.61,52,,32,0.73,83,1.89,596,13.55,149,3.39,9,0.2,-,-,18,0.41,3,0.07,2,0.05,31,0.7,-,-,3,0.38,-,-,-,-,5,0.42,-,-
Kumamoto,56,0.7,63,,42,0.88,74,1.54,905,18.85,111,2.31,37,0.77,-,-,40,0.83,-,-,4,0.08,17,0.35,-,-,17,1.89,-,-,-,-,-,-,2,0.13
Oita,182,3.14,32,,16,0.44,83,2.31,886,24.61,108,3,16,0.44,-,-,20,0.56,1,0.03,4,0.11,44,1.22,-,-,1,0.2,-,-,-,-,12,1.09,-,-
Miyazaki,107,1.81,18,,43,1.19,111,3.08,838,23.28,200,5.56,10,0.28,3,0.08,31,0.86,-,-,1,0.03,26,0.72,-,-,28,4.67,-,-,-,-,-,-,-,-
Kagoshima,19,0.2,17,,37,0.67,94,1.71,1192,21.67,212,3.85,50,0.91,2,0.04,19,0.35,-,-,3,0.05,25,0.45,-,-,18,2.57,-,-,2,0.17,4,0.33,-,-
Okinawa,330,5.69,11,,6,0.18,17,0.5,234,6.88,99,2.91,13,0.38,3,0.09,12,0.35,-,-,1,0.03,19,0.56,-,-,24,2.4,-,-,-,-,8,1.14,-,-
