"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2017",,,,,,"Data collected as of December 6, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,28375,329.94,1435,27.08,517,9.75,5528,104.3,14268,269.21,848,16,7027,132.58,159,3,814,15.36,29,0.55,1226,23.13,4135,78.02,13,1.3,165,16.5,3,0.27,2,0.18,200,18.18,-,-,144,13.09
Gifu,22858,265.79,1645,31.63,895,17.21,2361,45.4,7841,150.79,528,10.15,4487,86.29,71,1.37,702,13.5,18,0.35,668,12.85,1482,28.5,-,-,219,19.91,1,0.2,16,3.2,180,36,-,-,90,18
Shizuoka,39783,286.21,3261,36.64,1975,22.19,10290,115.62,21591,242.6,1008,11.33,9240,103.82,295,3.31,1466,16.47,22,0.25,1215,13.65,1682,18.9,10,0.48,706,33.62,13,1.3,36,3.6,193,19.3,48,4.8,75,7.5
Aichi,66889,343.02,5801,31.87,3433,18.86,13727,75.42,34872,191.6,2519,13.84,18420,101.21,392,2.15,2944,16.18,53,0.29,2557,14.05,2361,12.97,6,0.17,791,22.6,12,0.8,27,1.8,342,22.8,7,0.47,200,13.33
Mie,19660,273.06,2345,52.11,1497,33.27,3248,72.18,10297,228.82,715,15.89,5397,119.93,111,2.47,1036,23.02,23,0.51,1273,28.29,715,15.89,8,0.67,63,5.25,22,2.44,28,3.11,111,12.33,12,1.33,19,2.11
Shiga,12226,235.12,727,23.45,539,17.39,1638,52.84,7760,250.32,671,21.65,3786,122.13,25,0.81,569,18.35,6,0.19,993,32.03,786,25.35,1,0.13,75,9.38,6,0.86,21,3,42,6,2,0.29,16,2.29
Kyoto,28302,228.24,1922,25.29,1537,20.22,5292,69.63,16902,222.39,814,10.71,6045,79.54,83,1.09,1225,16.12,24,0.32,1435,18.88,1200,15.79,7,0.41,294,17.29,3,0.43,6,0.86,61,8.71,-,-,69,9.86
Osaka,68813,224.88,10491,52.72,4855,24.4,19570,98.34,47834,240.37,3556,17.87,21940,110.25,436,2.19,4326,21.74,103,0.52,4858,24.41,4825,24.25,40,0.77,1010,19.42,17,1.06,40,2.5,282,17.63,3,0.19,235,14.69
Hyogo,46114,232.9,5684,44.41,3422,26.73,8667,67.71,37192,290.56,2022,15.8,15012,117.28,539,4.21,2374,18.55,43,0.34,3302,25.8,3293,25.73,16,0.46,770,22,31,2.38,49,3.77,164,12.62,11,0.85,164,12.62
Nara,10534,195.07,1865,54.85,1079,31.74,3219,94.68,6609,194.38,676,19.88,3232,95.06,104,3.06,785,23.09,11,0.32,666,19.59,814,23.94,2,0.2,271,27.1,18,3,28,4.67,123,20.5,1,0.17,53,8.83
Wakayama,8710,177.76,1223,40.77,566,18.87,1142,38.07,5368,178.93,402,13.4,2408,80.27,38,1.27,593,19.77,11,0.37,631,21.03,1838,61.27,14,3.5,111,27.75,5,0.5,22,2.2,104,10.4,6,0.6,71,7.1
Tottori,6095,210.17,870,45.79,596,31.37,4872,256.42,4525,238.16,383,20.16,2011,105.84,31,1.63,373,19.63,28,1.47,609,32.05,863,45.42,2,0.4,255,51,10,2,28,5.6,67,13.4,-,-,74,14.8
Shimane,7501,202.73,1126,51.18,376,17.09,2650,120.45,5487,249.41,251,11.41,1850,84.09,222,10.09,640,29.09,13,0.59,446,20.27,1284,58.36,-,-,10,3.33,3,0.38,19,2.38,64,8,2,0.25,48,6
