"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2015",,,,,,"Data collected as of August 19, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,3,0.02,12,,46,0.25,172,0.95,315,1.74,53,0.29,629,3.48,53,0.29,55,0.3,7,0.04,267,1.48,60,0.33,1,0.03,13,0.38,1,0.07,2,0.14,11,0.79,-,-,2,0.14
Mie,-,-,1,,12,0.27,26,0.58,143,3.18,10,0.22,167,3.71,5,0.11,18,0.4,1,0.02,112,2.49,9,0.2,-,-,1,0.08,-,-,-,-,7,0.78,-,-,-,-
Shiga,1,0.02,-,,8,0.27,14,0.47,96,3.2,6,0.2,170,5.67,17,0.57,13,0.43,-,-,65,2.17,7,0.23,-,-,5,0.63,-,-,-,-,7,1,-,-,-,-
Kyoto,2,0.02,4,,24,0.34,44,0.62,159,2.24,10,0.14,233,3.28,15,0.21,21,0.3,2,0.03,64,0.9,12,0.17,-,-,6,0.33,-,-,-,-,1,0.14,-,-,-,-
Osaka,8,0.03,26,,68,0.34,167,0.84,456,2.28,70,0.35,1072,5.36,124,0.62,83,0.42,-,-,354,1.77,68,0.34,1,0.02,20,0.38,-,-,2,0.12,23,1.35,1,0.06,1,0.06
Hyogo,-,-,7,,61,0.48,80,0.63,270,2.11,25,0.2,640,5,27,0.21,46,0.36,1,0.01,161,1.26,31,0.24,1,0.03,19,0.54,-,-,1,0.09,1,0.09,-,-,-,-
Nara,1,0.02,7,,6,0.18,21,0.62,28,0.82,-,-,75,2.21,4,0.12,15,0.44,-,-,34,1,6,0.18,-,-,1,0.11,-,-,-,-,2,0.33,-,-,-,-
Wakayama,-,-,6,,16,0.52,12,0.39,46,1.48,9,0.29,158,5.1,6,0.19,9,0.29,-,-,119,3.84,1,0.03,-,-,1,0.25,-,-,-,-,1,0.09,-,-,-,-
Tottori,-,-,-,,5,0.26,47,2.47,59,3.11,3,0.16,49,2.58,1,0.05,6,0.32,-,-,17,0.89,15,0.79,-,-,-,-,-,-,1,0.2,1,0.2,-,-,-,-
Shimane,-,-,7,,9,0.39,33,1.43,97,4.22,2,0.09,77,3.35,1,0.04,14,0.61,-,-,14,0.61,5,0.22,-,-,2,0.67,1,0.13,1,0.13,-,-,-,-,-,-
Okayama,-,-,6,,7,0.13,16,0.3,198,3.67,11,0.2,194,3.59,7,0.13,21,0.39,1,0.02,86,1.59,46,0.85,-,-,9,0.75,-,-,-,-,-,-,-,-,-,-
Hiroshima,1,0.01,47,,18,0.25,75,1.04,184,2.56,16,0.22,202,2.81,11,0.15,30,0.42,-,-,103,1.43,63,0.88,-,-,21,1.11,-,-,3,0.14,6,0.29,-,-,-,-
Yamaguchi,-,-,54,,11,0.23,90,1.91,153,3.26,9,0.19,139,2.96,9,0.19,27,0.57,-,-,59,1.26,16,0.34,-,-,8,0.89,-,-,-,-,4,0.44,-,-,-,-
Tokushima,-,-,4,,7,0.3,19,0.83,102,4.43,5,0.22,145,6.3,4,0.17,24,1.04,-,-,38,1.65,3,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,-,-,-,,27,0.96,30,1.07,120,4.29,10,0.36,150,5.36,6,0.21,13,0.46,2,0.07,59,2.11,3,0.11,-,-,6,1.2,-,-,1,0.2,2,0.4,1,0.2,-,-
Ehime,1,0.02,2,,14,0.38,46,1.24,180,4.86,8,0.22,142,3.84,4,0.11,22,0.59,-,-,76,2.05,12,0.32,-,-,11,1.38,-,-,-,-,-,-,-,-,-,-
Kochi,1,0.02,3,,4,0.13,21,0.7,55,1.83,6,0.2,104,3.47,4,0.13,11,0.37,1,0.03,79,2.63,15,0.5,-,-,1,0.33,-,-,1,0.13,17,2.13,-,-,-,-
Fukuoka,4,0.02,193,,45,0.38,150,1.25,358,2.98,32,0.27,661,5.51,53,0.44,55,0.46,-,-,134,1.12,114,0.95,-,-,29,1.12,1,0.07,3,0.2,5,0.33,-,-,-,-
Saga,-,-,3,,10,0.43,8,0.35,25,1.09,8,0.35,116,5.04,3,0.13,14,0.61,-,-,38,1.65,45,1.96,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Nagasaki,-,-,20,,4,0.09,27,0.61,82,1.86,6,0.14,149,3.39,18,0.41,9,0.2,-,-,25,0.57,40,0.91,-,-,7,0.88,-,-,1,0.08,2,0.17,-,-,-,-
Kumamoto,2,0.03,7,,6,0.12,54,1.08,204,4.08,5,0.1,144,2.88,22,0.44,23,0.46,-,-,74,1.48,28,0.56,-,-,34,3.78,-,-,1,0.07,8,0.53,-,-,-,-
Oita,-,-,33,,17,0.47,62,1.72,268,7.44,14,0.39,134,3.72,51,1.42,27,0.75,1,0.03,108,3,15,0.42,-,-,1,0.2,-,-,-,-,1,0.09,-,-,-,-
Miyazaki,3,0.05,48,,19,0.53,54,1.5,117,3.25,13,0.36,424,11.78,16,0.44,33,0.92,-,-,110,3.06,9,0.25,-,-,18,3,-,-,1,0.14,-,-,-,-,-,-
Kagoshima,12,0.13,102,,22,0.4,127,2.31,256,4.65,16,0.29,176,3.2,51,0.93,37,0.67,-,-,33,0.6,9,0.16,-,-,2,0.29,-,-,1,0.08,5,0.42,-,-,-,-
Okinawa,160,2.76,40,,17,0.5,34,1,100,2.94,11,0.32,29,0.85,8,0.24,10,0.29,3,0.09,23,0.68,57,1.68,-,-,14,1.4,-,-,1,0.14,3,0.43,-,-,1,0.14
