"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2018",,,,,,"Data collected as of August 15, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,4,0.06,96,2.29,26,0.62,32,0.76,146,3.48,5,0.12,28,0.67,2,0.05,17,0.4,135,3.21,3,0.07,-,-,2,0.17,-,-,-,-,1,0.11,-,-,-,-
Shiga,-,-,9,0.32,-,-,8,0.29,111,3.96,3,0.11,54,1.93,-,-,8,0.29,91,3.25,5,0.18,-,-,5,0.63,-,-,-,-,-,-,-,-,-,-
Kyoto,-,-,44,0.59,16,0.21,66,0.88,157,2.09,21,0.28,84,1.12,-,-,28,0.37,91,1.21,5,0.07,-,-,3,0.19,-,-,-,-,1,0.14,-,-,-,-
Osaka,11,0.04,392,1.98,75,0.38,216,1.09,567,2.86,58,0.29,181,0.91,22,0.11,67,0.34,332,1.68,16,0.08,-,-,11,0.22,-,-,-,-,4,0.24,-,-,-,-
Hyogo,1,0.01,116,0.95,32,0.26,90,0.74,451,3.7,16,0.13,101,0.83,4,0.03,35,0.29,194,1.59,12,0.1,-,-,11,0.35,-,-,2,0.14,1,0.07,-,-,-,-
Nara,-,-,22,0.65,5,0.15,29,0.85,56,1.65,3,0.09,37,1.09,4,0.12,11,0.32,70,2.06,2,0.06,-,-,4,0.4,1,0.17,1,0.17,2,0.33,-,-,-,-
Wakayama,-,-,90,3.21,11,0.39,9,0.32,43,1.54,4,0.14,11,0.39,1,0.04,13,0.46,52,1.86,-,-,-,-,1,0.33,-,-,-,-,4,0.36,-,-,-,-
Tottori,1,0.03,19,1,4,0.21,46,2.42,69,3.63,-,-,8,0.42,-,-,3,0.16,39,2.05,1,0.05,-,-,-,-,1,0.2,1,0.2,1,0.2,-,-,-,-
Shimane,1,0.03,32,1.39,5,0.22,31,1.35,83,3.61,1,0.04,26,1.13,-,-,10,0.43,26,1.13,9,0.39,-,-,1,0.33,1,0.13,2,0.25,-,-,-,-,-,-
Okayama,-,-,51,0.94,11,0.2,64,1.19,307,5.69,6,0.11,16,0.3,10,0.19,24,0.44,42,0.78,6,0.11,-,-,11,0.92,-,-,-,-,-,-,-,-,-,-
Hiroshima,22,0.22,74,1.17,30,0.48,69,1.1,180,2.86,11,0.17,83,1.32,4,0.06,17,0.27,48,0.76,10,0.16,-,-,18,1.2,-,-,-,-,3,0.14,-,-,-,-
Yamaguchi,2,0.03,90,1.91,24,0.51,58,1.23,128,2.72,7,0.15,89,1.89,7,0.15,25,0.53,53,1.13,3,0.06,-,-,9,1.13,-,-,-,-,1,0.13,-,-,-,-
