"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2018",,,,,,"Data collected as of September 19, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,655,0.13,7712,2.46,1099,0.35,4320,1.38,11473,3.65,693,0.22,3587,1.14,995,0.32,1371,0.44,4551,1.45,408,0.13,6,0.01,731,1.06,6,0.01,26,0.05,115,0.24,2,0,9,0.02
Hokkaido,1,0,139,0.99,31,0.22,233,1.66,160,1.14,38,0.27,428,3.06,6,0.04,38,0.27,307,2.19,11,0.08,-,-,15,0.54,-,-,2,0.09,7,0.3,-,-,-,-
Aomori,-,-,55,1.31,8,0.19,31,0.74,98,2.33,10,0.24,95,2.26,3,0.07,17,0.4,69,1.64,13,0.31,-,-,1,0.09,-,-,-,-,6,1,-,-,-,-
Iwate,-,-,58,1.45,5,0.13,75,1.88,102,2.55,9,0.23,98,2.45,18,0.45,16,0.4,124,3.1,4,0.1,-,-,11,0.79,-,-,-,-,9,0.47,-,-,1,0.05
Miyagi,2,0.02,146,2.47,10,0.17,100,1.69,234,3.97,20,0.34,137,2.32,73,1.24,19,0.32,251,4.25,5,0.08,-,-,5,0.42,-,-,-,-,4,0.33,-,-,-,-
Akita,1,0.02,80,2.29,7,0.2,11,0.31,53,1.51,2,0.06,27,0.77,-,-,5,0.14,78,2.23,2,0.06,-,-,1,0.14,-,-,-,-,20,2.5,-,-,-,-
Yamagata,4,0.08,167,5.57,6,0.2,49,1.63,73,2.43,8,0.27,42,1.4,8,0.27,17,0.57,198,6.6,3,0.1,-,-,4,0.5,-,-,-,-,1,0.1,-,-,-,-
Fukushima,7,0.08,185,3.7,10,0.2,72,1.44,106,2.12,16,0.32,45,0.9,3,0.06,23,0.46,245,4.9,11,0.22,-,-,28,2.15,-,-,1,0.14,1,0.14,-,-,-,-
Ibaraki,4,0.03,135,1.8,36,0.48,66,0.88,207,2.76,11,0.15,54,0.72,10,0.13,26,0.35,67,0.89,5,0.07,-,-,18,1.06,-,-,-,-,4,0.31,-,-,-,-
