"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2012",,,,,,"Data collected as of October 17, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,6,0.11,40,,1,0.03,44,1.38,67,2.09,13,0.41,8,0.25,-,-,18,0.56,1,0.03,8,0.25,6,0.19,-,-,1,0.13,-,-,-,-,1,0.14,-,-
Kyoto,2,0.02,63,,-,-,59,0.81,201,2.75,32,0.44,14,0.19,4,0.05,28,0.38,-,-,13,0.18,6,0.08,-,-,10,0.56,-,-,-,-,1,0.17,-,-
Osaka,9,0.03,278,,36,0.18,240,1.21,786,3.95,89,0.45,40,0.2,11,0.06,98,0.49,2,0.01,33,0.17,53,0.27,1,0.02,15,0.29,-,-,-,-,16,0.94,-,-
Hyogo,3,0.02,117,,14,0.11,44,0.34,663,5.14,53,0.41,7,0.05,2,0.02,61,0.47,2,0.02,19,0.15,19,0.15,-,-,10,0.29,-,-,1,0.09,10,0.91,-,-
Nara,-,-,28,,10,0.29,8,0.23,68,1.94,8,0.23,6,0.17,1,0.03,12,0.34,-,-,5,0.14,4,0.11,-,-,2,0.22,-,-,-,-,3,0.5,-,-
Wakayama,-,-,15,,3,0.1,16,0.52,45,1.45,17,0.55,1,0.03,1,0.03,14,0.45,-,-,6,0.19,3,0.1,-,-,-,-,-,-,-,-,12,1.09,2,0.18
Tottori,-,-,34,,1,0.05,21,1.11,63,3.32,5,0.26,1,0.05,-,-,8,0.42,-,-,4,0.21,1,0.05,-,-,3,1,-,-,1,0.2,7,1.4,-,-
Shimane,-,-,47,,-,-,9,0.39,109,4.74,13,0.57,4,0.17,-,-,12,0.52,-,-,5,0.22,5,0.22,-,-,-,-,-,-,-,-,7,0.88,-,-
Okayama,-,-,63,,3,0.06,16,0.3,210,3.89,25,0.46,1,0.02,2,0.04,24,0.44,1,0.02,11,0.2,21,0.39,-,-,7,0.58,-,-,-,-,7,1.4,1,0.2
Hiroshima,-,-,109,,9,0.13,41,0.57,210,2.92,49,0.68,-,-,1,0.01,46,0.64,4,0.06,5,0.07,16,0.22,1,0.05,14,0.74,1,0.05,-,-,5,0.24,-,-
Yamaguchi,2,0.03,111,,-,-,96,2,174,3.63,19,0.4,-,-,2,0.04,43,0.9,2,0.04,11,0.23,13,0.27,-,-,1,0.11,-,-,-,-,10,1.11,-,-
Tokushima,-,-,30,,-,-,18,0.78,94,4.09,25,1.09,-,-,7,0.3,28,1.22,1,0.04,2,0.09,4,0.17,-,-,1,0.25,-,-,-,-,1,0.2,-,-
Kagawa,-,-,41,,5,0.17,8,0.27,113,3.77,9,0.3,18,0.6,2,0.07,16,0.53,-,-,10,0.33,3,0.1,-,-,1,0.33,-,-,-,-,1,0.2,-,-
Ehime,-,-,30,,-,-,47,1.27,137,3.7,34,0.92,7,0.19,7,0.19,23,0.62,-,-,11,0.3,10,0.27,-,-,9,1.13,-,-,-,-,5,0.83,-,-
Kochi,2,0.04,21,,-,-,15,0.5,49,1.63,24,0.8,-,-,-,-,9,0.3,1,0.03,5,0.17,9,0.3,-,-,-,-,-,-,-,-,2,0.25,-,-
Fukuoka,8,0.04,253,,27,0.23,95,0.79,567,4.73,85,0.71,29,0.24,3,0.03,95,0.79,2,0.02,12,0.1,70,0.58,-,-,8,0.31,1,0.07,-,-,1,0.07,-,-
Saga,14,0.36,80,,8,0.35,22,0.96,33,1.43,13,0.57,-,-,1,0.04,22,0.96,-,-,1,0.04,4,0.17,-,-,-,-,-,-,-,-,3,0.5,-,-
Nagasaki,-,-,57,,3,0.07,37,0.84,100,2.27,27,0.61,4,0.09,-,-,21,0.48,-,-,3,0.07,17,0.39,-,-,3,0.38,-,-,-,-,6,0.5,-,-
Kumamoto,-,-,97,,16,0.33,32,0.67,182,3.79,38,0.79,12,0.25,2,0.04,39,0.81,2,0.04,14,0.29,23,0.48,-,-,15,1.67,-,-,1,0.07,2,0.13,2,0.13
Oita,-,-,61,,10,0.28,52,1.44,205,5.69,20,0.56,7,0.19,2,0.06,30,0.83,2,0.06,8,0.22,54,1.5,-,-,-,-,-,-,-,-,5,0.45,-,-
Miyazaki,-,-,79,,16,0.44,60,1.67,183,5.08,29,0.81,107,2.97,1,0.03,39,1.08,-,-,6,0.17,20,0.56,-,-,9,1.5,-,-,-,-,2,0.29,-,-
Kagoshima,10,0.11,40,,25,0.45,44,0.8,201,3.65,31,0.56,96,1.75,1,0.02,30,0.55,-,-,17,0.31,13,0.24,-,-,12,1.71,-,-,1,0.08,2,0.17,-,-
Okinawa,159,2.74,14,,5,0.15,13,0.38,211,6.21,17,0.5,11,0.32,2,0.06,13,0.38,3,0.09,3,0.09,9,0.26,-,-,36,3.6,1,0.14,-,-,8,1.14,-,-
