"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23rd week, 2016",,,,,,"Data collected as of June 15, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,645,0.13,280,,2502,0.79,9960,3.15,19805,6.27,1409,0.45,810,0.26,1416,0.45,1811,0.57,104,0.03,1676,0.53,2978,0.94,6,0.01,465,0.67,8,0.02,31,0.07,276,0.58,8,0.02,78,0.17
Hokkaido,88,0.39,15,,106,0.75,719,5.06,641,4.51,96,0.68,5,0.04,44,0.31,47,0.33,3,0.02,3,0.02,167,1.18,-,-,10,0.36,-,-,-,-,25,1.09,-,-,19,0.83
Aomori,17,0.26,2,,21,0.5,82,1.95,206,4.9,23,0.55,6,0.14,24,0.57,22,0.52,-,-,-,-,40,0.95,1,0.09,6,0.55,-,-,-,-,4,0.67,-,-,2,0.33
Iwate,3,0.05,2,,22,0.55,137,3.43,225,5.63,19,0.48,1,0.03,3,0.08,18,0.45,-,-,5,0.13,23,0.58,-,-,7,0.5,-,-,-,-,6,0.32,-,-,9,0.47
Miyagi,16,0.17,3,,46,0.78,275,4.66,399,6.76,49,0.83,2,0.03,5,0.08,41,0.69,-,-,8,0.14,23,0.39,-,-,6,0.5,-,-,-,-,7,0.58,-,-,1,0.08
Akita,11,0.2,1,,13,0.37,81,2.31,138,3.94,11,0.31,-,-,25,0.71,8,0.23,29,0.83,2,0.06,6,0.17,-,-,6,0.86,-,-,-,-,5,0.63,-,-,-,-
Yamagata,1,0.02,-,,25,0.83,161,5.37,200,6.67,10,0.33,4,0.13,36,1.2,14,0.47,-,-,4,0.13,66,2.2,-,-,1,0.13,-,-,-,-,2,0.2,-,-,-,-
Fukushima,79,1.03,10,,80,1.74,105,2.28,226,4.91,18,0.39,3,0.07,21,0.46,23,0.5,-,-,5,0.11,6,0.13,-,-,13,1.08,-,-,-,-,2,0.29,-,-,2,0.29
Ibaraki,3,0.03,3,,46,0.61,209,2.79,449,5.99,37,0.49,9,0.12,24,0.32,29,0.39,2,0.03,8,0.11,67,0.89,-,-,26,1.53,1,0.08,-,-,3,0.23,-,-,6,0.46
Tochigi,4,0.05,-,,21,0.44,162,3.38,135,2.81,16,0.33,5,0.1,58,1.21,34,0.71,1,0.02,3,0.06,29,0.6,-,-,11,0.92,-,-,1,0.14,2,0.29,-,-,3,0.43
Gunma,5,0.05,-,,39,0.67,219,3.78,343,5.91,17,0.29,2,0.03,53,0.91,31,0.53,1,0.02,12,0.21,18,0.31,-,-,10,0.71,-,-,-,-,8,1,-,-,3,0.38
Saitama,14,0.06,8,,138,0.86,742,4.61,1183,7.35,90,0.56,41,0.25,35,0.22,120,0.75,5,0.03,43,0.27,219,1.36,1,0.02,25,0.61,-,-,2,0.2,8,0.8,-,-,3,0.3
Chiba,28,0.13,3,,98,0.73,661,4.9,821,6.08,80,0.59,36,0.27,48,0.36,101,0.75,2,0.01,10,0.07,141,1.04,-,-,21,0.6,-,-,2,0.22,3,0.33,-,-,1,0.11
Tokyo,27,0.07,27,,260,1,892,3.44,1913,7.39,129,0.5,79,0.31,64,0.25,209,0.81,6,0.02,103,0.4,174,0.67,-,-,24,0.62,1,0.04,1,0.04,8,0.32,2,0.08,2,0.08
Kanagawa,17,0.05,15,,179,0.84,636,2.97,1336,6.24,101,0.47,31,0.14,30,0.14,123,0.57,-,-,56,0.26,194,0.91,3,0.06,93,1.86,-,-,1,0.11,2,0.22,-,-,1,0.11
Niigata,22,0.24,9,,95,1.64,209,3.6,582,10.03,27,0.47,3,0.05,35,0.6,27,0.47,3,0.05,7,0.12,74,1.28,-,-,6,0.6,-,-,1,0.08,-,-,1,0.08,2,0.15
Toyama,2,0.04,4,,20,0.69,72,2.48,206,7.1,7,0.24,1,0.03,37,1.28,17,0.59,-,-,2,0.07,53,1.83,-,-,-,-,-,-,-,-,2,0.4,-,-,1,0.2
Ishikawa,-,-,-,,41,1.41,84,2.9,136,4.69,6,0.21,1,0.03,21,0.72,17,0.59,-,-,2,0.07,40,1.38,-,-,1,0.14,-,-,1,0.2,7,1.4,-,-,-,-
Fukui,3,0.09,-,,33,1.5,54,2.45,179,8.14,8,0.36,2,0.09,25,1.14,12,0.55,-,-,4,0.18,7,0.32,-,-,-,-,-,-,-,-,5,0.83,-,-,1,0.17
Yamanashi,3,0.07,-,,25,1.04,72,3,120,5,6,0.25,3,0.13,24,1,11,0.46,2,0.08,1,0.04,9,0.38,-,-,5,0.56,-,-,-,-,2,0.2,-,-,-,-
Nagano,9,0.1,-,,16,0.3,224,4.15,502,9.3,19,0.35,4,0.07,45,0.83,30,0.56,9,0.17,9,0.17,63,1.17,-,-,2,0.18,-,-,-,-,3,0.27,-,-,7,0.64
Gifu,1,0.01,1,,11,0.21,109,2.06,152,2.87,4,0.08,9,0.17,16,0.3,19,0.36,-,-,2,0.04,14,0.26,-,-,4,0.36,-,-,-,-,3,0.6,-,-,1,0.2
Shizuoka,8,0.06,1,,47,0.53,317,3.56,416,4.67,33,0.37,18,0.2,18,0.2,38,0.43,-,-,21,0.24,85,0.96,-,-,5,0.24,-,-,1,0.1,10,1,1,0.1,-,-
Aichi,9,0.05,8,,95,0.52,501,2.77,772,4.27,46,0.25,12,0.07,100,0.55,75,0.41,4,0.02,48,0.27,127,0.7,-,-,17,0.5,-,-,3,0.21,13,0.93,-,-,1,0.07
Mie,5,0.07,6,,51,1.13,96,2.13,271,6.02,18,0.4,7,0.16,49,1.09,31,0.69,-,-,35,0.78,16,0.36,1,0.08,3,0.25,-,-,1,0.11,6,0.67,1,0.11,-,-
Shiga,-,-,-,,33,1.03,87,2.72,186,5.81,13,0.41,7,0.22,4,0.13,20,0.63,-,-,31,0.97,19,0.59,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-
Kyoto,12,0.1,4,,27,0.36,149,1.99,525,7,25,0.33,31,0.41,31,0.41,26,0.35,-,-,68,0.91,65,0.87,-,-,3,0.18,-,-,-,-,4,0.57,-,-,1,0.14
Osaka,7,0.02,15,,189,0.95,616,3.1,1496,7.52,93,0.47,46,0.23,30,0.15,110,0.55,3,0.02,278,1.4,240,1.21,-,-,28,0.54,-,-,2,0.12,22,1.29,-,-,-,-
Hyogo,6,0.03,2,,70,0.55,247,1.94,1020,8.03,68,0.54,27,0.21,52,0.41,60,0.47,3,0.02,48,0.38,97,0.76,-,-,15,0.43,1,0.09,-,-,4,0.36,-,-,3,0.27
Nara,-,-,2,,36,1.06,91,2.68,136,4,11,0.32,2,0.06,35,1.03,21,0.62,2,0.06,23,0.68,43,1.26,-,-,3,0.3,-,-,-,-,3,0.5,-,-,-,-
Wakayama,-,-,1,,14,0.45,44,1.42,136,4.39,11,0.35,-,-,18,0.58,15,0.48,1,0.03,32,1.03,28,0.9,-,-,1,0.25,-,-,-,-,2,0.18,-,-,-,-
Tottori,4,0.14,-,,12,0.63,86,4.53,119,6.26,5,0.26,12,0.63,17,0.89,14,0.74,-,-,25,1.32,3,0.16,-,-,3,0.6,-,-,1,0.2,4,0.8,-,-,-,-
Shimane,1,0.03,-,,65,2.83,65,2.83,121,5.26,4,0.17,5,0.22,30,1.3,12,0.52,-,-,54,2.35,26,1.13,-,-,4,1.33,-,-,-,-,1,0.13,-,-,1,0.13
Okayama,-,-,1,,32,0.59,63,1.17,359,6.65,23,0.43,19,0.35,24,0.44,18,0.33,1,0.02,95,1.76,71,1.31,-,-,2,0.17,-,-,-,-,1,0.2,-,-,-,-
Hiroshima,2,0.02,10,,79,1.1,170,2.36,438,6.08,31,0.43,7,0.1,66,0.92,32,0.44,5,0.07,78,1.08,31,0.43,-,-,16,0.89,-,-,-,-,15,0.71,2,0.1,-,-
Yamaguchi,1,0.01,3,,15,0.31,165,3.44,251,5.23,17,0.35,13,0.27,41,0.85,34,0.71,-,-,48,1,24,0.5,-,-,-,-,-,-,-,-,8,0.89,-,-,-,-
Tokushima,-,-,-,,16,0.7,23,1,103,4.48,10,0.43,6,0.26,5,0.22,17,0.74,1,0.04,18,0.78,31,1.35,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Kagawa,1,0.02,-,,27,0.96,64,2.29,190,6.79,4,0.14,21,0.75,28,1,14,0.5,1,0.04,77,2.75,23,0.82,-,-,-,-,-,-,1,0.2,3,0.6,-,-,1,0.2
Ehime,2,0.03,1,,15,0.41,135,3.65,303,8.19,22,0.59,4,0.11,31,0.84,23,0.62,2,0.05,22,0.59,12,0.32,-,-,13,1.63,-,-,-,-,4,0.67,-,-,-,-
Kochi,-,-,1,,6,0.2,55,1.83,97,3.23,2,0.07,11,0.37,17,0.57,8,0.27,1,0.03,11,0.37,31,1.03,-,-,-,-,-,-,1,0.13,4,0.5,1,0.13,-,-
Fukuoka,22,0.11,32,,120,1,392,3.27,954,7.95,75,0.63,34,0.28,56,0.47,100,0.83,2,0.02,145,1.21,174,1.45,-,-,19,0.73,1,0.07,3,0.2,17,1.13,-,-,-,-
Saga,9,0.23,2,,44,1.91,86,3.74,100,4.35,8,0.35,1,0.04,2,0.09,17,0.74,2,0.09,39,1.7,37,1.61,-,-,1,0.25,-,-,-,-,1,0.17,-,-,1,0.17
Nagasaki,5,0.07,1,,21,0.48,97,2.2,210,4.77,16,0.36,8,0.18,8,0.18,26,0.59,-,-,20,0.45,27,0.61,-,-,14,1.75,-,-,-,-,8,0.67,-,-,-,-
Kumamoto,9,0.11,3,,16,0.33,83,1.69,300,6.12,15,0.31,27,0.55,22,0.45,51,1.04,-,-,40,0.82,50,1.02,-,-,11,1.22,-,-,3,0.2,5,0.33,-,-,-,-
Oita,24,0.41,3,,30,0.83,152,4.22,466,12.94,18,0.5,8,0.22,4,0.11,22,0.61,1,0.03,62,1.72,22,0.61,-,-,1,0.2,-,-,-,-,10,0.91,-,-,-,-
Miyazaki,9,0.15,6,,26,0.72,110,3.06,273,7.58,26,0.72,17,0.47,33,0.92,37,1.03,-,-,31,0.86,123,3.42,-,-,15,2.5,-,-,1,0.14,7,1,-,-,2,0.29
Kagoshima,49,0.53,18,,60,1.09,141,2.56,337,6.13,29,0.53,52,0.95,19,0.35,27,0.49,-,-,30,0.55,102,1.85,-,-,7,1,-,-,-,-,7,0.58,-,-,2,0.17
Okinawa,107,1.84,57,,21,0.62,20,0.59,134,3.94,13,0.38,168,4.94,3,0.09,10,0.29,12,0.35,8,0.24,38,1.12,-,-,6,0.67,3,0.43,5,0.71,10,1.43,-,-,2,0.29
