"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41th week, 2013",,,,,,"Data collected as of October 16, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,190,0.04,3792,,963,0.31,3103,0.99,9622,3.07,1782,0.57,5223,1.67,166,0.05,1877,0.6,30,0.01,883,0.28,736,0.23,3,0,325,0.48,3,0.01,29,0.06,184,0.39,14,0.03
Hokkaido,4,0.02,145,,39,0.27,214,1.5,239,1.67,93,0.65,562,3.93,2,0.01,50,0.35,1,0.01,127,0.89,34,0.24,-,-,3,0.1,-,-,-,-,7,0.3,-,-
Aomori,-,-,28,,10,0.24,17,0.41,45,1.1,39,0.95,41,1,-,-,18,0.44,-,-,16,0.39,10,0.24,-,-,1,0.09,-,-,-,-,7,1.17,-,-
Iwate,-,-,86,,3,0.08,58,1.45,83,2.08,30,0.75,87,2.18,3,0.08,14,0.35,-,-,8,0.2,19,0.48,-,-,5,0.36,-,-,-,-,29,1.53,-,-
Miyagi,-,-,52,,1,0.02,86,1.48,95,1.64,25,0.43,210,3.62,26,0.45,38,0.66,-,-,26,0.45,9,0.16,-,-,5,0.42,-,-,1,0.08,19,1.58,-,-
Akita,-,-,23,,1,0.03,28,0.8,43,1.23,5,0.14,50,1.43,-,-,10,0.29,-,-,13,0.37,9,0.26,-,-,1,0.14,-,-,-,-,5,0.63,-,-
Yamagata,-,-,63,,9,0.3,51,1.7,64,2.13,11,0.37,100,3.33,-,-,22,0.73,-,-,13,0.43,7,0.23,-,-,2,0.25,1,0.1,-,-,4,0.4,1,0.1
Fukushima,1,0.01,67,,3,0.07,33,0.73,75,1.67,38,0.84,101,2.24,2,0.04,24,0.53,2,0.04,39,0.87,22,0.49,-,-,3,0.25,-,-,-,-,11,1.57,-,-
Ibaraki,9,0.08,58,,12,0.16,87,1.16,344,4.59,36,0.48,52,0.69,3,0.04,18,0.24,1,0.01,9,0.12,6,0.08,-,-,13,0.76,-,-,-,-,6,0.46,-,-
Tochigi,9,0.12,69,,5,0.1,32,0.67,53,1.1,18,0.38,60,1.25,4,0.08,35,0.73,-,-,5,0.1,8,0.17,-,-,4,0.33,-,-,-,-,8,1.14,2,0.29
Gunma,1,0.01,70,,10,0.17,74,1.23,177,2.95,19,0.32,99,1.65,1,0.02,29,0.48,-,-,13,0.22,10,0.17,-,-,8,0.57,-,-,-,-,5,0.63,-,-
Saitama,-,-,225,,53,0.34,204,1.32,568,3.66,84,0.54,263,1.7,16,0.1,116,0.75,3,0.02,32,0.21,40,0.26,-,-,33,0.8,-,-,1,0.1,6,0.6,-,-
