"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2018",,,,,,"Data collected as of May 30, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,50182,363.64,489,5.49,415,4.66,3276,36.81,8716,97.93,320,3.6,130,1.46,137,1.54,566,6.36,68,0.76,489,5.49,4,0.18,234,10.64,3,0.33,13,1.44,23,2.56,4,0.44,17,1.89
Aichi,79471,407.54,871,4.79,811,4.46,6789,37.3,17503,96.17,965,5.3,263,1.45,119,0.65,1226,6.74,35,0.19,454,2.49,3,0.09,291,8.31,6,0.4,6,0.4,49,3.27,1,0.07,136,9.07
Mie,26626,375.01,417,9.48,452,10.27,2221,50.48,5116,116.27,226,5.14,79,1.8,20,0.45,398,9.05,21,0.48,113,2.57,3,0.25,19,1.58,4,0.44,7,0.78,17,1.89,2,0.22,15,1.67
Shiga,17529,337.1,148,4.77,171,5.52,772,24.9,2597,83.77,202,6.52,123,3.97,25,0.81,219,7.06,29,0.94,154,4.97,1,0.13,61,7.63,1,0.14,6,0.86,3,0.43,-,-,11,1.57
Kyoto,39677,317.42,268,3.53,344,4.53,2276,29.95,7647,100.62,303,3.99,169,2.22,49,0.64,465,6.12,43,0.57,108,1.42,3,0.18,134,7.88,3,0.43,1,0.14,18,2.57,-,-,46,6.57
Osaka,88549,292.24,2089,10.6,1349,6.85,8248,41.87,24257,123.13,1413,7.17,276,1.4,252,1.28,1715,8.71,120,0.61,530,2.69,23,0.44,423,8.13,6,0.35,11,0.65,33,1.94,2,0.12,166,9.76
Hyogo,65013,328.35,1026,8.02,1009,7.88,3808,29.75,15804,123.47,855,6.68,155,1.21,68,0.53,920,7.19,36,0.28,254,1.98,27,0.77,429,12.26,17,1.21,12,0.86,37,2.64,2,0.14,100,7.14
Nara,15646,289.74,245,7.21,238,7,1313,38.62,3974,116.88,196,5.76,81,2.38,92,2.71,277,8.15,40,1.18,38,1.12,1,0.1,68,6.8,10,1.67,4,0.67,18,3,-,-,52,8.67
Wakayama,14519,302.48,174,5.8,202,6.73,625,20.83,2021,67.37,168,5.6,18,0.6,21,0.7,237,7.9,43,1.43,84,2.8,48,12,17,4.25,3,0.27,5,0.45,19,1.73,4,0.36,46,4.18
Tottori,10849,374.1,104,5.47,170,8.95,2218,116.74,2768,145.68,89,4.68,41,2.16,17,0.89,161,8.47,4,0.21,21,1.11,3,0.6,15,3,2,0.4,3,0.6,8,1.6,-,-,49,9.8
Shimane,9940,261.58,135,5.87,126,5.48,1236,53.74,3176,138.09,89,3.87,119,5.17,7,0.3,246,10.7,19,0.83,94,4.09,-,-,4,1.33,2,0.25,2,0.25,6,0.75,-,-,42,5.25
Okayama,28317,337.11,142,2.63,227,4.2,2068,38.3,7698,142.56,345,6.39,156,2.89,54,1,390,7.22,54,1,95,1.76,13,1.08,132,11,3,0.6,1,0.2,5,1,-,-,25,5
Hiroshima,34077,298.92,480,6.76,665,9.37,3149,44.35,11896,167.55,339,4.77,282,3.97,24,0.34,496,6.99,132,1.86,137,1.93,10,0.53,338,17.79,5,0.25,2,0.1,19,0.95,2,0.1,370,18.5
Yamaguchi,26708,398.63,766,16.3,427,9.09,2895,61.6,5516,117.36,246,5.23,281,5.98,16,0.34,459,9.77,22,0.47,180,3.83,-,-,106,11.78,5,0.56,3,0.33,19,2.11,-,-,102,11.33
Tokushima,11977,323.7,331,14.39,211,9.17,876,38.09,2395,104.13,101,4.39,73,3.17,31,1.35,321,13.96,10,0.43,71,3.09,-,-,18,4.5,3,0.43,1,0.14,8,1.14,-,-,1,0.14
Kagawa,15189,323.17,160,5.71,213,7.61,1101,39.32,3908,139.57,153,5.46,57,2.04,16,0.57,279,9.96,45,1.61,67,2.39,4,0.8,69,13.8,3,0.6,1,0.2,21,4.2,-,-,38,7.6
Ehime,23244,381.05,399,10.78,183,4.95,2455,66.35,6408,173.19,156,4.22,47,1.27,25,0.68,454,12.27,20,0.54,162,4.38,-,-,249,31.13,-,-,-,-,44,7.33,-,-,32,5.33
Kochi,20855,434.48,187,6.23,109,3.63,895,29.83,2491,83.03,101,3.37,208,6.93,23,0.77,197,6.57,12,0.4,19,0.63,-,-,14,4.67,2,0.25,1,0.13,35,4.38,12,1.5,22,2.75
Fukuoka,90117,455.14,1733,14.44,1259,10.49,8305,69.21,19179,159.83,1160,9.67,2461,20.51,90,0.75,1607,13.39,99,0.83,574,4.78,3,0.12,592,22.77,17,1.13,9,0.6,73,4.87,-,-,71,4.73
Saga,15544,409.05,156,7.09,381,17.32,772,35.09,2176,98.91,160,7.27,455,20.68,8,0.36,307,13.95,22,1,25,1.14,2,0.5,51,12.75,2,0.33,4,0.67,18,3,-,-,53,8.83
Nagasaki,26913,384.47,297,6.75,264,6,2474,56.23,4753,108.02,272,6.18,1059,24.07,19,0.43,355,8.07,98,2.23,44,1,6,0.75,83,10.38,2,0.17,8,0.67,43,3.58,-,-,87,7.25
Kumamoto,29752,371.9,357,7.14,460,9.2,1435,28.7,7599,151.98,249,4.98,1033,20.66,25,0.5,715,14.3,131,2.62,89,1.78,-,-,226,25.11,7,0.47,8,0.53,15,1,-,-,38,2.53
Oita,26965,464.91,236,6.56,178,4.94,1329,36.92,9281,257.81,327,9.08,910,25.28,14,0.39,456,12.67,44,1.22,239,6.64,-,-,105,21,1,0.09,1,0.09,22,2,-,-,25,2.27
Miyazaki,27638,476.52,569,16.26,599,17.11,1499,42.83,7964,227.54,283,8.09,1902,54.34,25,0.71,586,16.74,68,1.94,604,17.26,-,-,269,44.83,1,0.14,-,-,4,0.57,-,-,153,21.86
Kagoshima,40552,440.78,797,14.76,1238,22.93,3357,62.17,9070,167.96,450,8.33,1815,33.61,45,0.83,436,8.07,40,0.74,757,14.02,1,0.14,149,21.29,1,0.08,2,0.17,6,0.5,-,-,11,0.92
Okinawa,28173,494.26,953,28.03,223,6.56,1309,38.5,2507,73.74,442,13,433,12.74,40,1.18,331,9.74,21,0.62,78,2.29,6,0.67,252,28,11,1.57,32,4.57,18,2.57,3,0.43,18,2.57
