"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28th week, 2016",,,,,,"Data collected as of July 20, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,131,0.03,632,,1791,0.57,7591,2.42,13954,4.44,1209,0.38,2298,0.73,1023,0.33,1755,0.56,71,0.02,12712,4.05,3978,1.27,8,0.01,575,0.84,13,0.03,50,0.11,431,0.91,7,0.01,13,0.03
Hokkaido,1,0,47,,104,0.73,493,3.47,363,2.56,68,0.48,19,0.13,57,0.4,49,0.35,-,-,43,0.3,236,1.66,-,-,10,0.36,-,-,3,0.13,36,1.57,-,-,1,0.04
Aomori,-,-,5,,21,0.5,68,1.62,117,2.79,8,0.19,2,0.05,19,0.45,23,0.55,1,0.02,7,0.17,27,0.64,-,-,-,-,-,-,-,-,2,0.33,-,-,-,-
Iwate,1,0.02,3,,21,0.53,129,3.23,139,3.48,17,0.43,1,0.03,5,0.13,22,0.55,-,-,16,0.4,31,0.78,-,-,10,0.71,-,-,1,0.05,8,0.42,-,-,-,-
Miyagi,5,0.05,11,,29,0.49,181,3.07,252,4.27,45,0.76,36,0.61,13,0.22,37,0.63,-,-,86,1.46,38,0.64,-,-,2,0.17,-,-,-,-,10,0.83,-,-,1,0.08
Akita,4,0.08,-,,6,0.18,58,1.71,79,2.32,9,0.26,4,0.12,16,0.47,20,0.59,3,0.09,9,0.26,16,0.47,-,-,-,-,-,-,-,-,5,0.63,-,-,1,0.13
Yamagata,-,-,1,,20,0.67,132,4.4,125,4.17,16,0.53,6,0.2,16,0.53,27,0.9,-,-,40,1.33,37,1.23,-,-,3,0.38,-,-,-,-,-,-,-,-,2,0.2
Fukushima,-,-,10,,33,0.72,55,1.2,102,2.22,30,0.65,7,0.15,34,0.74,29,0.63,-,-,55,1.2,3,0.07,-,-,18,1.5,1,0.14,-,-,7,1,2,0.29,4,0.57
Ibaraki,1,0.01,5,,37,0.49,143,1.91,307,4.09,23,0.31,87,1.16,20,0.27,29,0.39,1,0.01,240,3.2,85,1.13,-,-,23,1.35,-,-,-,-,5,0.38,-,-,-,-
