"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38th week, 2018",,,,,,"Data collected as of September 26, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,668,0.14,6605,2.11,864,0.28,3701,1.18,9867,3.15,678,0.22,3160,1.01,881,0.28,1326,0.42,3263,1.04,384,0.12,5,0.01,707,1.02,6,0.01,22,0.05,116,0.24,-,-,6,0.01
Hokkaido,1,0,91,0.65,10,0.07,214,1.53,133,0.95,45,0.32,297,2.12,1,0.01,35,0.25,268,1.91,7,0.05,-,-,9,0.32,-,-,-,-,7,0.3,-,-,1,0.04
Aomori,-,-,50,1.19,6,0.14,23,0.55,72,1.71,3,0.07,68,1.62,5,0.12,11,0.26,29,0.69,14,0.33,-,-,5,0.45,-,-,-,-,5,0.83,-,-,-,-
Iwate,1,0.02,34,0.85,8,0.2,46,1.15,95,2.38,5,0.13,74,1.85,10,0.25,15,0.38,66,1.65,3,0.08,-,-,2,0.14,-,-,1,0.05,4,0.21,-,-,-,-
Miyagi,4,0.04,71,1.2,6,0.1,63,1.07,150,2.54,9,0.15,81,1.37,87,1.47,25,0.42,134,2.27,4,0.07,-,-,3,0.25,1,0.08,-,-,4,0.33,-,-,1,0.08
Akita,-,-,59,1.69,5,0.14,16,0.46,38,1.09,1,0.03,13,0.37,-,-,5,0.14,27,0.77,-,-,-,-,1,0.14,-,-,-,-,18,2.25,-,-,-,-
Yamagata,3,0.06,135,4.5,5,0.17,45,1.5,75,2.5,5,0.17,23,0.77,8,0.27,16,0.53,105,3.5,1,0.03,-,-,1,0.13,-,-,-,-,4,0.4,-,-,-,-
Fukushima,4,0.05,117,2.34,10,0.2,55,1.1,111,2.22,3,0.06,27,0.54,6,0.12,23,0.46,136,2.72,10,0.2,-,-,21,1.62,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,22,0.18,108,1.44,21,0.28,80,1.07,187,2.49,15,0.2,43,0.57,9,0.12,27,0.36,53,0.71,5,0.07,-,-,25,1.47,-,-,-,-,1,0.08,-,-,-,-
