"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47th week, 2012",,,,,,"Data collected as of November 28, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1096,0.22,3303,,1001,0.32,4961,1.57,41041,13.02,4601,1.46,1455,0.46,134,0.04,1587,0.5,60,0.02,188,0.06,998,0.32,6,0.01,328,0.48,7,0.01,17,0.04,494,1.06,22,0.05
Hokkaido,19,0.08,274,,107,0.75,338,2.36,634,4.43,265,1.85,70,0.49,3,0.02,47,0.33,8,0.06,4,0.03,10,0.07,-,-,8,0.28,-,-,-,-,20,0.87,1,0.04
Aomori,-,-,63,,6,0.15,51,1.24,199,4.85,53,1.29,17,0.41,-,-,17,0.41,-,-,-,-,4,0.1,-,-,2,0.18,-,-,-,-,23,3.83,-,-
Iwate,5,0.08,52,,2,0.05,46,1.15,398,9.95,112,2.8,44,1.1,8,0.2,11,0.28,-,-,2,0.05,40,1,-,-,6,0.43,-,-,-,-,35,1.84,-,-
Miyagi,7,0.08,32,,18,0.31,103,1.78,766,13.21,117,2.02,49,0.84,1,0.02,31,0.53,-,-,6,0.1,50,0.86,-,-,2,0.17,-,-,-,-,40,3.33,-,-
Akita,11,0.2,44,,14,0.4,34,0.97,175,5,47,1.34,49,1.4,1,0.03,10,0.29,-,-,4,0.11,28,0.8,-,-,4,0.57,-,-,-,-,10,1.25,-,-
Yamagata,10,0.21,47,,30,1,85,2.83,263,8.77,88,2.93,68,2.27,2,0.07,16,0.53,-,-,3,0.1,56,1.87,-,-,3,0.38,-,-,2,0.2,10,1,-,-
Fukushima,26,0.33,103,,4,0.08,69,1.44,330,6.88,74,1.54,71,1.48,7,0.15,25,0.52,1,0.02,6,0.13,13,0.27,-,-,11,0.92,-,-,-,-,26,3.71,4,0.57
Ibaraki,8,0.07,25,,19,0.25,97,1.29,574,7.65,64,0.85,126,1.68,4,0.05,26,0.35,1,0.01,-,-,11,0.15,-,-,14,0.82,-,-,-,-,5,0.38,-,-
Tochigi,31,0.41,81,,5,0.1,54,1.13,195,4.06,46,0.96,61,1.27,2,0.04,19,0.4,1,0.02,2,0.04,11,0.23,-,-,2,0.17,-,-,-,-,18,2.57,1,0.14
Gunma,12,0.12,67,,2,0.03,53,0.88,430,7.17,53,0.88,15,0.25,2,0.03,33,0.55,2,0.03,4,0.07,21,0.35,-,-,10,0.71,1,0.13,2,0.25,26,3.25,-,-
Saitama,106,0.44,145,,38,0.24,297,1.89,2145,13.66,239,1.52,133,0.85,3,0.02,95,0.61,2,0.01,5,0.03,43,0.27,-,-,16,0.38,1,0.11,2,0.22,37,4.11,2,0.22
Chiba,59,0.29,47,,17,0.13,256,1.94,1626,12.32,189,1.43,66,0.5,9,0.07,57,0.43,3,0.02,9,0.07,61,0.46,-,-,17,0.49,-,-,-,-,12,1.33,2,0.22
Tokyo,100,0.24,150,,99,0.38,521,1.98,4179,15.89,336,1.28,124,0.47,6,0.02,152,0.58,2,0.01,21,0.08,56,0.21,2,0.05,14,0.36,-,-,3,0.12,18,0.72,1,0.04
