"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26th week, 2018",,,,,,"Data collected as of July 4, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,4,0.06,24,0.53,37,0.82,112,2.49,258,5.73,9,0.2,31,0.69,6,0.13,22,0.49,94,2.09,3,0.07,-,-,2,0.17,-,-,1,0.11,1,0.11,-,-,-,-
Shiga,-,-,-,-,24,0.75,54,1.69,169,5.28,14,0.44,58,1.81,4,0.13,11,0.34,43,1.34,7,0.22,-,-,5,0.63,-,-,-,-,-,-,-,-,-,-
Kyoto,2,0.02,13,0.17,28,0.36,124,1.61,426,5.53,13,0.17,104,1.35,9,0.12,32,0.42,75,0.97,4,0.05,-,-,6,0.33,1,0.14,-,-,3,0.43,-,-,-,-
Osaka,3,0.01,72,0.36,181,0.91,574,2.88,1042,5.24,75,0.38,155,0.78,52,0.26,116,0.58,151,0.76,35,0.18,-,-,17,0.33,1,0.06,-,-,5,0.29,-,-,1,0.06
Hyogo,6,0.03,24,0.19,90,0.7,233,1.81,972,7.53,51,0.4,87,0.67,10,0.08,63,0.49,64,0.5,20,0.16,-,-,12,0.35,-,-,-,-,1,0.07,-,-,1,0.07
Nara,-,-,7,0.21,29,0.85,92,2.71,177,5.21,8,0.24,31,0.91,10,0.29,20,0.59,43,1.26,4,0.12,-,-,7,0.7,-,-,-,-,1,0.17,-,-,-,-
Wakayama,-,-,5,0.17,20,0.67,36,1.2,114,3.8,7,0.23,16,0.53,6,0.2,20,0.67,49,1.63,2,0.07,1,0.25,-,-,-,-,-,-,-,-,-,-,-,-
Tottori,-,-,5,0.26,16,0.84,72,3.79,206,10.84,4,0.21,3,0.16,-,-,11,0.58,10,0.53,2,0.11,-,-,-,-,-,-,-,-,1,0.2,1,0.2,-,-
Shimane,3,0.08,6,0.27,3,0.14,29,1.32,126,5.73,2,0.09,10,0.45,1,0.05,14,0.64,14,0.64,2,0.09,-,-,1,0.33,-,-,5,0.63,-,-,-,-,-,-
Okayama,2,0.02,4,0.07,23,0.43,88,1.63,421,7.8,12,0.22,22,0.41,10,0.19,35,0.65,37,0.69,10,0.19,-,-,11,0.92,-,-,-,-,-,-,-,-,-,-
Hiroshima,-,-,43,0.6,43,0.6,152,2.11,383,5.32,27,0.38,170,2.36,2,0.03,28,0.39,111,1.54,10,0.14,6,0.32,13,0.68,-,-,-,-,1,0.05,-,-,-,-
Yamaguchi,1,0.01,43,0.91,15,0.32,164,3.49,181,3.85,9,0.19,256,5.45,-,-,31,0.66,82,1.74,-,-,-,-,4,0.44,-,-,-,-,2,0.22,-,-,-,-
Tokushima,-,-,14,0.61,11,0.48,49,2.13,175,7.61,5,0.22,61,2.65,10,0.43,24,1.04,8,0.35,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,-,-,2,0.07,18,0.64,51,1.82,195,6.96,11,0.39,16,0.57,-,-,16,0.57,65,2.32,7,0.25,-,-,5,1,-,-,-,-,-,-,-,-,-,-
Ehime,3,0.05,10,0.27,13,0.35,146,3.95,349,9.43,24,0.65,63,1.7,2,0.05,30,0.81,69,1.86,5,0.14,1,0.13,16,2,-,-,-,-,-,-,-,-,-,-
Kochi,-,-,2,0.07,12,0.4,48,1.6,119,3.97,7,0.23,35,1.17,1,0.03,19,0.63,5,0.17,2,0.07,-,-,3,1,-,-,-,-,2,0.25,-,-,-,-
Fukuoka,8,0.04,82,0.69,109,0.92,434,3.65,791,6.65,36,0.3,806,6.77,10,0.08,102,0.86,116,0.97,73,0.61,-,-,49,1.88,1,0.07,1,0.07,4,0.27,-,-,-,-
Saga,20,0.51,9,0.39,21,0.91,28,1.22,76,3.3,13,0.57,86,3.74,4,0.17,17,0.74,153,6.65,2,0.09,-,-,3,0.75,-,-,1,0.17,1,0.17,-,-,-,-
Nagasaki,1,0.01,19,0.43,21,0.48,113,2.57,154,3.5,5,0.11,144,3.27,2,0.05,12,0.27,57,1.3,4,0.09,-,-,5,0.63,1,0.08,1,0.08,5,0.42,-,-,-,-
Kumamoto,15,0.19,7,0.14,17,0.34,92,1.84,388,7.76,11,0.22,267,5.34,1,0.02,34,0.68,47,0.94,9,0.18,1,0.11,18,2,1,0.07,1,0.07,-,-,-,-,-,-
Oita,18,0.31,11,0.31,9,0.25,65,1.81,362,10.06,32,0.89,518,14.39,2,0.06,23,0.64,30,0.83,16,0.44,1,0.2,6,1.2,-,-,-,-,4,0.36,-,-,-,-
Miyazaki,35,0.6,14,0.4,23,0.66,119,3.4,309,8.83,13,0.37,386,11.03,1,0.03,37,1.06,28,0.8,39,1.11,-,-,26,4.33,-,-,-,-,-,-,-,-,-,-
Kagoshima,35,0.38,23,0.43,78,1.44,157,2.91,464,8.59,13,0.24,299,5.54,1,0.02,31,0.57,12,0.22,36,0.67,-,-,6,0.86,-,-,-,-,1,0.08,-,-,-,-
Okinawa,90,1.58,138,4.06,32,0.94,37,1.09,143,4.21,10,0.29,33,0.97,2,0.06,12,0.35,1,0.03,8,0.24,-,-,38,4.22,2,0.29,1,0.14,2,0.29,-,-,1,0.14
