"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11th week, 2018",,,,,,"Data collected as of March 22, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1671061,337.93,14726,4.66,10216,3.24,82459,26.12,169212,53.6,9616,3.05,5544,1.76,2326,0.74,11050,3.5,536,0.17,5186,1.64,93,0.13,4704,6.75,96,0.2,114,0.24,940,1.96,42,0.09,888,1.85
Hokkaido,65824,297.85,1394,10.1,742,5.38,6816,49.39,2663,19.3,449,3.25,100,0.72,29,0.21,284,2.06,7,0.05,86,0.62,3,0.1,132,4.55,2,0.09,7,0.3,43,1.87,-,-,39,1.7
Aomori,19850,305.38,92,2.19,83,1.98,778,18.52,1505,35.83,113,2.69,231,5.5,11,0.26,138,3.29,17,0.4,188,4.48,-,-,43,3.91,3,0.5,1,0.17,33,5.5,-,-,21,3.5
Iwate,22309,343.22,186,4.65,103,2.58,1806,45.15,1720,43,118,2.95,129,3.23,98,2.45,125,3.13,2,0.05,210,5.25,-,-,80,5.71,3,0.16,-,-,47,2.47,3,0.16,3,0.16
Miyagi,31351,330.01,322,5.46,180,3.05,2112,35.8,2564,43.46,234,3.97,146,2.47,36,0.61,229,3.88,9,0.15,33,0.56,3,0.25,36,3,-,-,-,-,37,3.08,-,-,6,0.5
Akita,16831,317.57,114,3.35,74,2.18,549,16.15,941,27.68,90,2.65,25,0.74,9,0.26,63,1.85,8,0.24,91,2.68,2,0.29,14,2,2,0.25,-,-,99,12.38,-,-,3,0.38
Yamagata,13853,294.74,135,4.66,183,6.31,1498,51.66,1444,49.79,148,5.1,193,6.66,46,1.59,138,4.76,22,0.76,34,1.17,-,-,14,1.75,4,0.4,2,0.2,37,3.7,-,-,8,0.8
Fukushima,27557,357.88,349,7.59,186,4.04,1314,28.57,1225,26.63,141,3.07,130,2.83,68,1.48,236,5.13,6,0.13,115,2.5,-,-,185,15.42,2,0.29,1,0.14,13,1.86,1,0.14,4,0.57
Ibaraki,40045,333.71,248,3.31,270,3.6,2152,28.69,3194,42.59,210,2.8,50,0.67,27,0.36,131,1.75,9,0.12,57,0.76,3,0.18,215,12.65,1,0.08,2,0.15,49,3.77,-,-,4,0.31
Tochigi,20483,269.51,146,3.04,81,1.69,624,13,1290,26.88,152,3.17,37,0.77,87,1.81,166,3.46,1,0.02,26,0.54,-,-,109,9.08,-,-,2,0.29,24,3.43,-,-,8,1.14
Gunma,28542,324.34,137,2.54,287,5.31,1544,28.59,2833,52.46,152,2.81,85,1.57,33,0.61,215,3.98,12,0.22,179,3.31,2,0.13,205,13.67,-,-,1,0.11,29,3.22,-,-,15,1.67
Saitama,95186,373.28,685,4.25,427,2.65,5335,33.14,9728,60.42,689,4.28,86,0.53,165,1.02,598,3.71,21,0.13,145,0.9,10,0.25,231,5.78,-,-,11,1.1,14,1.4,3,0.3,3,0.3
Chiba,78140,366.85,316,2.36,290,2.16,4027,30.05,6466,48.25,397,2.96,83,0.62,85,0.63,391,2.92,12,0.09,139,1.04,6,0.18,215,6.32,4,0.44,7,0.78,12,1.33,3,0.33,6,0.67
Tokyo,121954,295.29,757,2.9,523,2,6752,25.87,14851,56.9,849,3.25,150,0.57,287,1.1,1076,4.12,30,0.11,219,0.84,2,0.05,134,3.62,5,0.2,6,0.24,16,0.64,12,0.48,35,1.4
Kanagawa,117596,337.92,473,2.19,377,1.75,4900,22.69,10311,47.74,747,3.46,177,0.82,619,2.87,798,3.69,18,0.08,285,1.32,4,0.08,802,15.73,3,0.27,6,0.55,14,1.27,-,-,22,2
Niigata,29938,332.64,270,4.74,473,8.3,2082,36.53,2067,36.26,258,4.53,110,1.93,100,1.75,245,4.3,14,0.25,189,3.32,5,0.5,166,16.6,-,-,-,-,22,1.69,1,0.08,3,0.23
