"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34th week, 2013",,,,,,"Data collected as of August 28, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,-,-,-,,9,0.29,8,0.26,63,2.03,10,0.32,137,4.42,-,-,18,0.58,-,-,35,1.13,2,0.06,-,-,7,0.88,-,-,3,0.43,-,-,-,-
Kyoto,-,-,11,,14,0.19,27,0.37,165,2.26,47,0.64,228,3.12,-,-,38,0.52,-,-,64,0.88,6,0.08,-,-,7,0.39,-,-,-,-,-,-,-,-
Osaka,7,0.02,90,,93,0.47,158,0.79,590,2.96,112,0.56,497,2.5,6,0.03,86,0.43,4,0.02,222,1.12,21,0.11,1,0.02,43,0.83,-,-,1,0.06,2,0.12,-,-
Hyogo,-,-,20,,38,0.29,55,0.43,481,3.73,76,0.59,509,3.95,5,0.04,56,0.43,3,0.02,220,1.71,22,0.17,2,0.06,35,1,1,0.09,2,0.18,10,0.91,-,-
Nara,-,-,4,,7,0.21,11,0.32,67,1.97,15,0.44,85,2.5,-,-,16,0.47,-,-,38,1.12,5,0.15,-,-,3,0.33,-,-,-,-,1,0.17,-,-
Wakayama,-,-,6,,2,0.06,1,0.03,37,1.19,23,0.74,106,3.42,-,-,14,0.45,-,-,48,1.55,1,0.03,-,-,1,0.25,-,-,-,-,3,0.27,-,-
Tottori,-,-,2,,13,0.68,32,1.68,55,2.89,19,1,74,3.89,1,0.05,10,0.53,-,-,21,1.11,-,-,-,-,1,0.33,-,-,-,-,1,0.2,-,-
Shimane,1,0.03,26,,7,0.3,5,0.22,138,6,7,0.3,80,3.48,1,0.04,17,0.74,-,-,20,0.87,1,0.04,-,-,-,-,1,0.13,4,0.5,2,0.25,-,-
Okayama,1,0.01,4,,5,0.09,13,0.24,246,4.56,17,0.31,124,2.3,-,-,25,0.46,1,0.02,58,1.07,5,0.09,-,-,5,0.42,-,-,-,-,2,0.4,-,-
Hiroshima,1,0.01,48,,83,1.17,70,0.99,262,3.69,27,0.38,194,2.73,-,-,33,0.46,2,0.03,43,0.61,10,0.14,1,0.05,18,0.95,-,-,6,0.29,3,0.14,-,-
Yamaguchi,-,-,72,,24,0.51,59,1.26,181,3.85,28,0.6,82,1.74,-,-,41,0.87,-,-,49,1.04,2,0.04,-,-,-,-,1,0.11,-,-,-,-,-,-
Tokushima,-,-,8,,3,0.13,14,0.61,104,4.52,16,0.7,60,2.61,-,-,23,1,1,0.04,24,1.04,3,0.13,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,-,-,4,,14,0.47,6,0.2,108,3.6,11,0.37,86,2.87,1,0.03,22,0.73,-,-,39,1.3,2,0.07,-,-,1,0.33,-,-,1,0.2,3,0.6,-,-
Ehime,-,-,19,,7,0.19,9,0.24,150,4.05,24,0.65,232,6.27,1,0.03,35,0.95,1,0.03,55,1.49,11,0.3,-,-,11,1.38,-,-,-,-,-,-,-,-
Kochi,-,-,8,,11,0.37,6,0.2,58,1.93,10,0.33,135,4.5,1,0.03,13,0.43,3,0.1,89,2.97,23,0.77,-,-,-,-,2,0.25,1,0.13,3,0.38,-,-
Fukuoka,4,0.02,159,,106,0.88,114,0.95,561,4.68,131,1.09,174,1.45,3,0.03,113,0.94,1,0.01,58,0.48,80,0.67,6,0.23,34,1.31,-,-,2,0.15,3,0.23,-,-
Saga,-,-,32,,71,3.09,11,0.48,26,1.13,10,0.43,22,0.96,-,-,35,1.52,-,-,16,0.7,7,0.3,-,-,3,0.75,-,-,1,0.17,6,1,-,-
Nagasaki,-,-,41,,43,0.98,25,0.57,77,1.75,39,0.89,72,1.64,-,-,27,0.61,-,-,4,0.09,9,0.2,2,0.25,6,0.75,-,-,3,0.25,1,0.08,-,-
Kumamoto,1,0.01,41,,47,0.94,35,0.7,252,5.04,37,0.74,51,1.02,-,-,34,0.68,-,-,55,1.1,4,0.08,-,-,3,0.33,-,-,3,0.2,2,0.13,-,-
Oita,-,-,6,,86,2.39,23,0.64,281,7.81,22,0.61,68,1.89,-,-,24,0.67,2,0.06,47,1.31,13,0.36,-,-,6,1.2,-,-,-,-,1,0.09,-,-
Miyazaki,-,-,53,,72,2,32,0.89,214,5.94,44,1.22,147,4.08,-,-,43,1.19,-,-,82,2.28,10,0.28,-,-,25,4.17,-,-,1,0.14,-,-,-,-
Kagoshima,-,-,61,,59,1.07,56,1.02,271,4.93,30,0.55,216,3.93,-,-,45,0.82,-,-,57,1.04,11,0.2,-,-,4,0.57,-,-,-,-,1,0.08,-,-
Okinawa,33,0.57,25,,51,1.5,12,0.35,54,1.59,19,0.56,22,0.65,5,0.15,7,0.21,2,0.06,19,0.56,3,0.09,-,-,44,4.4,1,0.14,3,0.43,3,0.43,-,-
