"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2015",,,,,,"Data collected as of January 28, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,11891,60.98,75,,60,0.33,365,2.02,1545,8.54,59,0.33,39,0.22,17,0.09,69,0.38,1,0.01,2,0.01,36,0.2,-,-,4,0.12,1,0.07,-,-,2,0.14,-,-,1,0.07
Mie,3020,41.94,34,,12,0.27,78,1.73,388,8.62,16,0.36,9,0.2,6,0.13,10,0.22,-,-,-,-,5,0.11,-,-,-,-,1,0.11,-,-,2,0.22,-,-,-,-
Shiga,2132,40.23,31,,9,0.28,73,2.28,194,6.06,12,0.38,8,0.25,14,0.44,9,0.28,-,-,-,-,2,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyoto,3250,26.21,38,,23,0.31,85,1.13,510,6.8,37,0.49,38,0.51,19,0.25,21,0.28,-,-,2,0.03,9,0.12,-,-,1,0.06,-,-,-,-,-,-,-,-,3,0.43
Osaka,8640,28.05,201,,42,0.21,421,2.11,1302,6.51,132,0.66,56,0.28,54,0.27,77,0.39,3,0.02,4,0.02,34,0.17,-,-,5,0.1,-,-,-,-,6,0.35,-,-,4,0.24
Hyogo,7414,37.26,135,,77,0.6,252,1.95,1023,7.93,56,0.43,49,0.38,19,0.15,49,0.38,-,-,2,0.02,19,0.15,-,-,20,0.57,-,-,3,0.25,2,0.17,-,-,-,-
Nara,1335,24.72,48,,10,0.29,42,1.24,153,4.5,22,0.65,10,0.29,7,0.21,13,0.38,1,0.03,-,-,3,0.09,-,-,-,-,-,-,-,-,1,0.17,-,-,1,0.17
Wakayama,1528,30.56,67,,3,0.1,31,1,151,4.87,10,0.32,13,0.42,1,0.03,12,0.39,-,-,-,-,5,0.16,-,-,1,0.25,-,-,-,-,2,0.18,-,-,-,-
Tottori,1135,39.14,2,,4,0.21,88,4.63,240,12.63,23,1.21,-,-,-,-,7,0.37,-,-,-,-,3,0.16,-,-,-,-,1,0.2,-,-,-,-,-,-,4,0.8
Shimane,1664,43.79,24,,8,0.35,126,5.48,173,7.52,21,0.91,11,0.48,4,0.17,10,0.43,-,-,-,-,12,0.52,-,-,-,-,-,-,1,0.13,3,0.38,-,-,1,0.13
Okayama,4954,58.98,26,,8,0.15,94,1.74,462,8.56,26,0.48,7,0.13,7,0.13,21,0.39,-,-,-,-,8,0.15,1,0.08,4,0.33,-,-,-,-,-,-,-,-,-,-
Hiroshima,5498,47.81,40,,46,0.64,178,2.47,609,8.46,38,0.53,22,0.31,2,0.03,29,0.4,-,-,1,0.01,21,0.29,1,0.05,6,0.32,-,-,-,-,2,0.1,-,-,-,-
Yamaguchi,5183,75.12,52,,5,0.1,136,2.83,347,7.23,44,0.92,15,0.31,1,0.02,26,0.54,-,-,-,-,1,0.02,-,-,-,-,-,-,-,-,3,0.33,-,-,1,0.11
Tokushima,1422,37.42,32,,10,0.43,37,1.61,194,8.43,13,0.57,1,0.04,1,0.04,15,0.65,1,0.04,-,-,2,0.09,-,-,1,0.25,-,-,-,-,1,0.14,-,-,-,-
Kagawa,1536,32,24,,9,0.31,47,1.62,147,5.07,13,0.45,13,0.45,3,0.1,10,0.34,-,-,-,-,2,0.07,-,-,1,0.2,-,-,-,-,1,0.2,-,-,-,-
Ehime,2235,36.64,54,,1,0.03,115,3.11,457,12.35,12,0.32,18,0.49,3,0.08,23,0.62,-,-,1,0.03,7,0.19,-,-,8,1,-,-,-,-,-,-,-,-,1,0.17
Kochi,2452,51.08,37,,4,0.13,47,1.57,205,6.83,11,0.37,13,0.43,1,0.03,11,0.37,1,0.03,-,-,6,0.2,-,-,-,-,-,-,-,-,7,0.88,-,-,1,0.13
Fukuoka,12023,60.72,128,,50,0.42,417,3.48,821,6.84,92,0.77,102,0.85,90,0.75,74,0.62,3,0.03,3,0.03,61,0.51,2,0.08,13,0.5,3,0.21,-,-,2,0.14,-,-,-,-
Saga,2731,70.03,36,,7,0.3,54,2.35,116,5.04,40,1.74,27,1.17,13,0.57,18,0.78,-,-,-,-,28,1.22,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-
Nagasaki,4035,57.64,35,,5,0.11,73,1.66,425,9.66,18,0.41,42,0.95,4,0.09,13,0.3,-,-,1,0.02,11,0.25,-,-,7,0.88,-,-,-,-,5,0.42,-,-,4,0.33
Kumamoto,5734,71.68,60,,24,0.48,68,1.36,497,9.94,39,0.78,34,0.68,2,0.04,41,0.82,-,-,8,0.16,20,0.4,-,-,2,0.22,-,-,-,-,5,0.33,-,-,-,-
Oita,4151,71.57,49,,6,0.17,81,2.25,416,11.56,51,1.42,9,0.25,12,0.33,23,0.64,-,-,1,0.03,10,0.28,-,-,4,0.8,-,-,-,-,1,0.09,-,-,-,-
Miyazaki,5077,86.05,56,,18,0.5,47,1.31,353,9.81,43,1.19,5,0.14,-,-,32,0.89,-,-,3,0.08,5,0.14,-,-,14,2.33,-,-,-,-,-,-,-,-,-,-
Kagoshima,7309,78.59,34,,17,0.31,210,3.82,444,8.07,39,0.71,65,1.18,10,0.18,20,0.36,-,-,1,0.02,9,0.16,-,-,3,0.43,-,-,-,-,-,-,-,-,-,-
Okinawa,3779,65.16,14,,12,0.35,62,1.82,98,2.88,56,1.65,28,0.82,3,0.09,12,0.35,4,0.12,1,0.03,80,2.35,2,0.2,19,1.9,1,0.14,2,0.29,2,0.29,-,-,2,0.29
