"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38th week, 2012",,,,,,"Data collected as of September 26, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,893,0.18,3562,,793,0.25,2198,0.7,8527,2.72,1329,0.42,2784,0.89,157,0.05,1681,0.54,63,0.02,1790,0.57,998,0.32,2,0,347,0.51,10,0.02,28,0.06,487,1.05,16,0.03
Hokkaido,-,-,50,,29,0.2,193,1.35,170,1.19,33,0.23,514,3.59,2,0.01,64,0.45,7,0.05,140,0.98,25,0.17,-,-,6,0.21,1,0.04,-,-,17,0.74,-,-
Aomori,-,-,40,,-,-,8,0.2,21,0.51,11,0.27,102,2.49,-,-,16,0.39,-,-,59,1.44,10,0.24,-,-,8,0.73,-,-,-,-,13,2.17,-,-
Iwate,-,-,21,,3,0.08,19,0.48,73,1.83,9,0.23,161,4.03,14,0.35,22,0.55,1,0.03,55,1.38,25,0.63,-,-,10,0.71,-,-,-,-,33,1.74,-,-
Miyagi,-,-,32,,7,0.12,62,1.07,203,3.5,35,0.6,254,4.38,7,0.12,41,0.71,1,0.02,70,1.21,47,0.81,-,-,3,0.25,-,-,-,-,26,2.17,1,0.08
Akita,-,-,30,,11,0.31,9,0.26,71,2.03,6,0.17,108,3.09,-,-,16,0.46,-,-,62,1.77,8,0.23,-,-,2,0.29,-,-,-,-,6,0.75,-,-
Yamagata,-,-,38,,8,0.27,27,0.9,87,2.9,14,0.47,184,6.13,1,0.03,19,0.63,-,-,82,2.73,19,0.63,-,-,1,0.13,1,0.1,2,0.2,3,0.3,1,0.1
Fukushima,13,0.16,60,,5,0.1,33,0.69,72,1.5,44,0.92,96,2,6,0.13,36,0.75,1,0.02,25,0.52,10,0.21,-,-,7,0.58,-,-,1,0.14,22,3.14,-,-
Ibaraki,13,0.11,62,,12,0.16,26,0.35,165,2.2,29,0.39,36,0.48,4,0.05,26,0.35,3,0.04,14,0.19,7,0.09,-,-,6,0.35,1,0.08,1,0.08,10,0.77,-,-
Tochigi,-,-,42,,5,0.1,26,0.54,52,1.08,15,0.31,36,0.75,1,0.02,24,0.5,2,0.04,2,0.04,26,0.54,-,-,11,0.92,-,-,1,0.14,24,3.43,1,0.14
Gunma,5,0.05,30,,10,0.17,18,0.3,186,3.1,31,0.52,30,0.5,-,-,24,0.4,3,0.05,29,0.48,25,0.42,-,-,6,0.43,-,-,1,0.13,33,4.13,-,-
Saitama,4,0.02,96,,47,0.3,140,0.9,417,2.69,57,0.37,143,0.92,7,0.05,97,0.63,2,0.01,68,0.44,55,0.35,-,-,22,0.52,-,-,-,-,21,2.33,2,0.22
Chiba,4,0.02,100,,16,0.12,119,0.9,322,2.44,50,0.38,78,0.59,7,0.05,79,0.6,3,0.02,60,0.45,47,0.36,-,-,22,0.65,-,-,2,0.22,9,1,1,0.11
Tokyo,27,0.07,332,,148,0.58,230,0.91,794,3.13,104,0.41,140,0.55,16,0.06,153,0.6,4,0.02,155,0.61,65,0.26,1,0.03,13,0.34,-,-,1,0.04,23,0.92,-,-
Kanagawa,12,0.04,79,,59,0.3,90,0.46,494,2.53,80,0.41,164,0.84,14,0.07,112,0.57,3,0.02,101,0.52,53,0.27,-,-,28,0.62,-,-,-,-,5,0.63,-,-
Niigata,-,-,42,,16,0.27,43,0.72,74,1.23,35,0.58,113,1.88,2,0.03,22,0.37,2,0.03,123,2.05,18,0.3,-,-,2,0.2,-,-,-,-,5,0.38,6,0.46
Toyama,-,-,45,,8,0.28,37,1.28,103,3.55,17,0.59,13,0.45,-,-,10,0.34,-,-,34,1.17,1,0.03,-,-,-,-,-,-,-,-,10,2,-,-
Ishikawa,-,-,72,,4,0.14,33,1.14,83,2.86,9,0.31,36,1.24,1,0.03,12,0.41,-,-,17,0.59,4,0.14,-,-,1,0.14,-,-,-,-,3,0.6,-,-
Fukui,-,-,24,,1,0.05,30,1.36,81,3.68,10,0.45,37,1.68,1,0.05,10,0.45,-,-,5,0.23,4,0.18,-,-,-,-,-,-,-,-,1,0.17,-,-
Yamanashi,2,0.05,1,,-,-,15,0.63,53,2.21,4,0.17,6,0.25,-,-,6,0.25,-,-,9,0.38,5,0.21,-,-,3,0.33,-,-,1,0.1,8,0.8,-,-
Nagano,1,0.01,1,,10,0.19,61,1.13,143,2.65,27,0.5,33,0.61,2,0.04,25,0.46,-,-,60,1.11,8,0.15,-,-,1,0.09,-,-,1,0.09,21,1.91,-,-
Gifu,5,0.06,22,,15,0.28,18,0.34,119,2.25,19,0.36,2,0.04,8,0.15,26,0.49,1,0.02,8,0.15,34,0.64,-,-,6,0.55,-,-,-,-,14,2.8,-,-
Shizuoka,4,0.03,72,,28,0.31,59,0.66,265,2.98,23,0.26,33,0.37,1,0.01,42,0.47,-,-,52,0.58,27,0.3,-,-,5,0.23,-,-,-,-,5,0.56,-,-
Aichi,2,0.01,82,,34,0.19,74,0.41,464,2.56,52,0.29,41,0.23,13,0.07,91,0.5,2,0.01,47,0.26,83,0.46,-,-,15,0.44,-,-,1,0.07,28,2,-,-
