"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50th week, 2014",,,,,,"Data collected as of December 17, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,36455,7.38,8180,,2089,0.66,9419,2.99,34074,10.8,3935,1.25,2468,0.78,1320,0.42,1500,0.48,32,0.01,209,0.07,951,0.3,9,0.01,408,0.6,11,0.02,13,0.03,158,0.33,8,0.02,38,0.08
Hokkaido,3237,14.26,649,,420,2.94,752,5.26,489,3.42,236,1.65,143,1,34,0.24,34,0.24,-,-,11,0.08,59,0.41,-,-,12,0.44,-,-,-,-,15,0.68,-,-,-,-
Aomori,183,2.82,80,,27,0.64,37,0.88,271,6.45,29,0.69,1,0.02,53,1.26,17,0.4,-,-,-,-,1,0.02,-,-,5,0.45,-,-,-,-,6,1,-,-,9,1.5
Iwate,1010,15.78,85,,30,0.75,174,4.35,321,8.03,24,0.6,8,0.2,37,0.93,20,0.5,-,-,-,-,3,0.08,-,-,5,0.36,-,-,-,-,17,0.89,-,-,7,0.37
Miyagi,688,7.4,280,,34,0.59,206,3.55,403,6.95,93,1.6,23,0.4,110,1.9,48,0.83,-,-,6,0.1,16,0.28,-,-,10,0.83,-,-,-,-,2,0.17,-,-,1,0.08
Akita,169,3.13,36,,7,0.2,43,1.23,130,3.71,17,0.49,1,0.03,-,-,12,0.34,-,-,-,-,12,0.34,1,0.14,4,0.57,-,-,-,-,9,1.13,-,-,-,-
Yamagata,421,8.77,72,,49,1.63,141,4.7,350,11.67,98,3.27,48,1.6,3,0.1,22,0.73,-,-,-,-,15,0.5,-,-,-,-,-,-,2,0.2,1,0.1,1,0.1,1,0.1
Fukushima,769,10.12,316,,48,1.07,77,1.71,157,3.49,60,1.33,35,0.78,34,0.76,21,0.47,-,-,1,0.02,33,0.73,-,-,9,0.75,2,0.29,1,0.14,5,0.71,-,-,-,-
Ibaraki,687,5.73,222,,14,0.19,186,2.48,595,7.93,82,1.09,60,0.8,30,0.4,13,0.17,-,-,3,0.04,7,0.09,-,-,18,1.06,-,-,-,-,3,0.23,-,-,-,-
Tochigi,289,3.8,146,,12,0.25,69,1.44,345,7.19,30,0.63,45,0.94,19,0.4,26,0.54,-,-,-,-,5,0.1,-,-,8,0.67,-,-,-,-,3,0.43,-,-,-,-
Gunma,557,5.68,203,,40,0.67,194,3.23,607,10.12,64,1.07,64,1.07,8,0.13,24,0.4,1,0.02,3,0.05,11,0.18,-,-,16,1.23,-,-,-,-,6,0.75,-,-,1,0.13
Saitama,4607,18.8,422,,91,0.58,480,3.08,2028,13,198,1.27,99,0.63,92,0.59,71,0.46,1,0.01,4,0.03,50,0.32,2,0.05,25,0.6,1,0.1,-,-,3,0.3,1,0.1,-,-
Chiba,2317,10.93,236,,73,0.55,392,2.95,1632,12.27,178,1.34,90,0.68,88,0.66,50,0.38,1,0.01,11,0.08,72,0.54,-,-,16,0.47,2,0.22,-,-,2,0.22,1,0.11,-,-
Tokyo,4192,10.15,472,,140,0.53,745,2.84,3281,12.52,322,1.23,114,0.44,230,0.88,121,0.46,1,0,9,0.03,66,0.25,1,0.03,22,0.56,-,-,1,0.04,4,0.16,-,-,-,-
Kanagawa,4208,12.52,354,,68,0.33,528,2.54,2524,12.13,326,1.57,80,0.38,251,1.21,104,0.5,1,0,3,0.01,25,0.12,-,-,39,0.91,-,-,-,-,1,0.1,-,-,-,-
Niigata,429,4.47,147,,115,1.89,281,4.61,432,7.08,131,2.15,9,0.15,33,0.54,30,0.49,-,-,42,0.69,11,0.18,-,-,11,1.1,1,0.08,-,-,1,0.08,1,0.08,-,-
Toyama,124,2.58,97,,37,1.28,77,2.66,312,10.76,25,0.86,30,1.03,4,0.14,14,0.48,-,-,4,0.14,8,0.28,-,-,13,1.86,-,-,-,-,11,2.2,-,-,-,-
Ishikawa,80,1.67,132,,21,0.72,140,4.83,305,10.52,41,1.41,20,0.69,21,0.72,14,0.48,-,-,-,-,5,0.17,-,-,1,0.14,-,-,-,-,4,0.8,-,-,-,-
Fukui,166,5.19,59,,9,0.41,96,4.36,373,16.95,32,1.45,16,0.73,1,0.05,5,0.23,-,-,-,-,11,0.5,-,-,2,0.67,-,-,-,-,-,-,-,-,-,-
Yamanashi,186,4.65,42,,2,0.08,51,2.13,286,11.92,2,0.08,-,-,3,0.13,7,0.29,-,-,1,0.04,2,0.08,-,-,3,0.33,1,0.1,-,-,-,-,-,-,1,0.1
Nagano,549,6.31,216,,12,0.22,134,2.48,408,7.56,64,1.19,41,0.76,10,0.19,23,0.43,-,-,2,0.04,-,-,-,-,7,0.64,-,-,-,-,12,1.09,-,-,-,-
Gifu,219,2.52,111,,34,0.64,64,1.21,244,4.6,43,0.81,10,0.19,1,0.02,21,0.4,1,0.02,3,0.06,1,0.02,-,-,5,0.45,-,-,-,-,1,0.2,-,-,-,-
Shizuoka,493,3.55,360,,33,0.37,317,3.56,965,10.84,92,1.03,28,0.31,40,0.45,37,0.42,2,0.02,10,0.11,7,0.08,1,0.05,4,0.18,-,-,1,0.1,5,0.5,2,0.2,-,-
Aichi,671,3.44,404,,134,0.74,437,2.41,1618,8.94,160,0.88,138,0.76,15,0.08,78,0.43,3,0.02,18,0.1,44,0.24,-,-,11,0.32,-,-,-,-,2,0.14,-,-,-,-
