"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44th week, 2018",,,,,,"Data collected as of November 7, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1767834,358.01,107040,33.95,58775,18.64,290402,92.1,656689,208.27,41648,13.21,107333,34.04,29447,9.34,60918,19.32,96260,30.53,20701,6.57,496,0.71,25683,36.9,426,0.89,694,1.45,4205,8.76,128,0.27,3088,6.43
Hokkaido,74905,337.41,4904,35.28,3324,23.91,20758,149.34,13321,95.83,1926,13.86,7125,51.26,200,1.44,1627,11.71,3131,22.53,453,3.26,20,0.71,648,23.14,9,0.39,15,0.65,245,10.65,-,-,179,7.78
Aomori,23014,354.06,803,19.12,434,10.33,2425,57.74,7749,184.5,393,9.36,1951,46.45,116,2.76,692,16.48,780,18.57,860,20.48,2,0.18,177,16.09,7,1.17,7,1.17,210,35,-,-,112,18.67
Iwate,26237,403.65,1279,31.98,698,17.45,5041,126.03,6337,158.43,368,9.2,1466,36.65,855,21.38,717,17.93,1036,25.9,475,11.88,-,-,361,25.79,8,0.42,4,0.21,176,9.26,7,0.37,57,3
Miyagi,34105,359,2213,37.51,939,15.92,6727,114.02,11388,193.02,995,16.86,2071,35.1,1580,26.78,1296,21.97,3293,55.81,195,3.31,5,0.42,153,12.75,5,0.42,3,0.25,148,12.33,1,0.08,33,2.75
Akita,19920,375.85,795,23.38,452,13.29,1460,42.94,3949,116.15,266,7.82,321,9.44,45,1.32,349,10.26,863,25.38,190,5.59,7,1,79,11.29,7,0.88,1,0.13,513,64.13,3,0.38,67,8.38
Yamagata,16254,345.83,1411,48.66,757,26.1,3984,137.38,6273,216.31,517,17.83,1278,44.07,437,15.07,742,25.59,2830,97.59,130,4.48,1,0.14,99,14.14,8,0.8,6,0.6,127,12.7,-,-,20,2
Fukushima,31417,387.86,2603,54.23,1055,21.98,4366,90.96,6607,137.65,658,13.71,728,15.17,307,6.4,1200,25,2489,51.85,420,8.75,7,0.58,840,70,3,0.5,4,0.67,56,9.33,2,0.33,28,4.67
Ibaraki,41589,346.58,1618,21.57,1459,19.45,6888,91.84,12558,167.44,846,11.28,854,11.39,278,3.71,948,12.64,2050,27.33,239,3.19,6,0.35,923,54.29,1,0.08,6,0.46,190,14.62,-,-,19,1.46
Tochigi,21522,283.18,1240,25.83,409,8.52,2996,62.42,4967,103.48,607,12.65,589,12.27,727,15.15,959,19.98,1289,26.85,150,3.13,1,0.08,276,23,6,0.86,8,1.14,79,11.29,2,0.29,23,3.29
Gunma,29614,340.39,1299,24.51,1097,20.7,5406,102,10987,207.3,577,10.89,2738,51.66,242,4.57,1098,20.72,2183,41.19,452,8.53,7,0.5,729,52.07,3,0.33,10,1.11,78,8.67,-,-,54,6
Saitama,97971,384.2,4355,27.05,3537,21.97,21200,131.68,39426,244.88,3384,21.02,4301,26.71,2188,13.59,3562,22.12,5018,31.17,824,5.12,56,1.4,1765,44.13,6,0.6,55,5.5,69,6.9,4,0.4,42,4.2
Chiba,80453,379.5,2705,20.34,3107,23.36,13996,105.23,22235,167.18,1944,14.62,3159,23.75,1575,11.84,2322,17.46,3901,29.33,664,4.99,24,0.71,1118,32.88,17,2.13,44,5.5,83,10.38,4,0.5,38,4.75
Tokyo,126676,308.21,7255,28.01,3852,14.87,25838,99.76,58111,224.37,3328,12.85,6492,25.07,6855,26.47,5813,22.44,8025,30.98,1087,4.2,14,0.38,918,24.81,27,1.08,30,1.2,141,5.64,33,1.32,106,4.24
Kanagawa,121003,354.85,4498,21.12,2986,14.02,18319,86,38558,181.02,3602,16.91,4148,19.47,7484,35.14,4468,20.98,5691,26.72,1319,6.19,24,0.48,4170,83.4,11,1,26,2.36,69,6.27,-,-,51,4.64
Niigata,34862,391.71,3056,54.57,2518,44.96,7766,138.68,9838,175.68,770,13.75,1005,17.95,759,13.55,1120,20,3802,67.89,617,11.02,35,3.5,653,65.3,11,0.85,7,0.54,103,7.92,12,0.92,17,1.31
Toyama,15362,320.04,1124,38.76,901,31.07,1860,64.14,6434,221.86,292,10.07,376,12.97,191,6.59,506,17.45,942,32.48,82,2.83,17,2.43,49,7,5,1,2,0.4,34,6.8,4,0.8,16,3.2
Ishikawa,15377,320.35,1166,40.21,714,24.62,4164,143.59,6247,215.41,443,15.28,414,14.28,233,8.03,534,18.41,763,26.31,99,3.41,1,0.14,95,13.57,3,0.6,12,2.4,143,28.6,-,-,10,2
Fukui,11697,354.45,825,37.5,516,23.45,2991,135.95,5216,237.09,233,10.59,538,24.45,41,1.86,390,17.73,388,17.64,211,9.59,-,-,21,7,18,3,4,0.67,21,3.5,6,1,84,14
Yamanashi,15096,368.2,539,22.46,253,10.54,1691,70.46,3929,163.71,189,7.88,516,21.5,222,9.25,330,13.75,776,32.33,128,5.33,9,1,347,38.56,9,0.9,12,1.2,93,9.3,4,0.4,28,2.8
Nagano,33349,387.78,1022,19.28,660,12.45,5407,102.02,11039,208.28,550,10.38,605,11.42,259,4.89,715,13.49,3410,64.34,329,6.21,15,1.5,153,15.3,11,1,3,0.27,106,9.64,2,0.18,86,7.82
Gifu,25811,300.13,1231,23.67,705,13.56,2261,43.48,7756,149.15,306,5.88,482,9.27,89,1.71,632,12.15,1065,20.48,249,4.79,3,0.27,154,14,1,0.2,10,2,48,9.6,-,-,95,19
Shizuoka,50369,364.99,2634,29.6,1363,15.31,6033,67.79,16858,189.42,716,8.04,1452,16.31,641,7.2,1365,15.34,4365,49.04,1022,11.48,10,0.48,661,31.48,6,0.67,32,3.56,44,4.89,4,0.44,17,1.89
Aichi,80054,410.53,4738,26.03,1897,10.42,12739,69.99,31758,174.49,2084,11.45,2510,13.79,515,2.83,2676,14.7,5377,29.54,859,4.72,8,0.23,986,28.17,10,0.67,30,2,171,11.4,2,0.13,147,9.8
Mie,27018,380.54,2142,48.68,901,20.48,3797,86.3,9551,217.07,469,10.66,673,15.3,104,2.36,936,21.27,2075,47.16,203,4.61,5,0.42,58,4.83,12,1.33,19,2.11,62,6.89,2,0.22,16,1.78
Shiga,17580,338.08,546,17.61,394,12.71,1553,50.1,5448,175.74,462,14.9,1174,37.87,73,2.35,443,14.29,1061,34.23,298,9.61,1,0.13,148,18.5,6,0.86,14,2,12,1.71,-,-,11,1.57
Kyoto,39799,318.39,1694,22.29,847,11.14,4549,59.86,14662,192.92,694,9.13,1825,24.01,144,1.89,1053,13.86,1437,18.91,244,3.21,3,0.18,304,17.88,7,1,2,0.29,37,5.29,-,-,52,7.43
Osaka,89236,293.54,9233,46.63,3911,19.75,17159,86.66,44044,222.44,2994,15.12,4032,20.36,954,4.82,3908,19.74,5078,25.65,1125,5.68,35,0.69,1073,21.04,17,1,24,1.41,126,7.41,2,0.12,184,10.82
Hyogo,65191,329.25,4065,31.76,2197,17.16,7230,56.48,30863,241.12,1856,14.5,2677,20.91,242,1.89,2050,16.02,2721,21.26,577,4.51,31,0.91,967,28.44,31,2.38,27,2.08,73,5.62,2,0.15,111,8.54
Nara,15731,291.31,1484,43.65,553,16.26,2424,71.29,6939,204.09,364,10.71,901,26.5,241,7.09,622,18.29,920,27.06,101,2.97,1,0.1,307,30.7,12,2,10,1.67,49,8.17,-,-,56,9.33
