"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36th week, 2017",,,,,,"Data collected as of September 13, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,899,0.18,10123,,1602,0.51,4580,1.45,10475,3.32,616,0.2,13166,4.17,193,0.06,1526,0.48,32,0.01,3346,1.06,1165,0.37,14,0.02,684,0.98,9,0.02,37,0.08,129,0.27,7,0.01,8,0.02
Hokkaido,-,-,202,,153,1.09,335,2.39,170,1.21,33,0.24,533,3.81,-,-,49,0.35,6,0.04,115,0.82,17,0.12,1,0.03,21,0.72,-,-,11,0.48,10,0.43,-,-,1,0.04
Aomori,2,0.03,87,,4,0.1,25,0.6,96,2.29,1,0.02,229,5.45,-,-,18,0.43,-,-,39,0.93,24,0.57,1,0.09,2,0.18,-,-,-,-,3,0.5,-,-,-,-
Iwate,-,-,127,,11,0.28,61,1.53,92,2.3,5,0.13,329,8.23,12,0.3,12,0.3,-,-,94,2.35,52,1.3,-,-,4,0.29,1,0.05,3,0.16,8,0.42,-,-,1,0.05
Miyagi,61,0.64,187,,8,0.14,96,1.63,201,3.41,6,0.1,610,10.34,8,0.14,34,0.58,-,-,85,1.44,15,0.25,-,-,4,0.33,-,-,-,-,6,0.5,-,-,-,-
Akita,-,-,94,,18,0.51,24,0.69,45,1.29,3,0.09,74,2.11,-,-,14,0.4,-,-,100,2.86,4,0.11,-,-,2,0.29,-,-,-,-,14,1.75,-,-,-,-
Yamagata,-,-,237,,26,0.87,92,3.07,77,2.57,5,0.17,195,6.5,18,0.6,17,0.57,-,-,81,2.7,21,0.7,-,-,16,2,-,-,-,-,6,0.6,-,-,-,-
Fukushima,-,-,168,,9,0.2,56,1.22,59,1.28,1,0.02,564,12.26,8,0.17,31,0.67,-,-,65,1.41,43,0.93,-,-,14,1.17,1,0.14,-,-,-,-,-,-,-,-
Ibaraki,27,0.23,197,,30,0.4,97,1.29,216,2.88,14,0.19,595,7.93,-,-,22,0.29,-,-,112,1.49,9,0.12,-,-,24,1.41,-,-,-,-,5,0.38,-,-,-,-
