"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23rd week, 2015",,,,,,"Data collected as of June 10, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,49,0.25,2,,83,0.46,504,2.78,947,5.23,49,0.27,112,0.62,46,0.25,101,0.56,5,0.03,148,0.82,72,0.4,-,-,6,0.18,1,0.07,-,-,4,0.29,-,-,8,0.57
Mie,16,0.22,-,,48,1.07,111,2.47,235,5.22,27,0.6,93,2.07,22,0.49,39,0.87,2,0.04,85,1.89,4,0.09,-,-,1,0.08,1,0.11,-,-,2,0.22,-,-,-,-
Shiga,2,0.04,1,,16,0.5,102,3.19,189,5.91,28,0.88,55,1.72,46,1.44,16,0.5,-,-,38,1.19,10,0.31,-,-,1,0.13,-,-,-,-,-,-,-,-,1,0.14
Kyoto,13,0.11,1,,43,0.58,129,1.74,383,5.18,30,0.41,179,2.42,20,0.27,38,0.51,1,0.01,25,0.34,17,0.23,-,-,11,0.61,-,-,-,-,-,-,-,-,-,-
Osaka,25,0.08,12,,131,0.66,658,3.29,1389,6.95,86,0.43,584,2.92,103,0.52,142,0.71,6,0.03,59,0.3,78,0.39,1,0.02,27,0.53,-,-,-,-,6,0.35,-,-,4,0.24
Hyogo,51,0.26,2,,138,1.08,322,2.52,955,7.46,75,0.59,426,3.33,49,0.38,81,0.63,-,-,24,0.19,32,0.25,1,0.03,48,1.37,1,0.09,-,-,-,-,-,-,3,0.27
Nara,1,0.02,3,,45,1.32,97,2.85,124,3.65,7,0.21,77,2.26,8,0.24,19,0.56,-,-,6,0.18,1,0.03,-,-,2,0.22,-,-,-,-,-,-,-,-,4,0.67
Wakayama,9,0.18,1,,6,0.19,44,1.42,116,3.74,16,0.52,78,2.52,6,0.19,16,0.52,-,-,15,0.48,2,0.06,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Tottori,18,0.62,2,,12,0.63,121,6.37,133,7,2,0.11,61,3.21,2,0.11,16,0.84,-,-,6,0.32,3,0.16,-,-,-,-,1,0.2,1,0.2,2,0.4,-,-,1,0.2
Shimane,2,0.05,2,,27,1.17,101,4.39,172,7.48,10,0.43,57,2.48,1,0.04,9,0.39,-,-,4,0.17,11,0.48,-,-,-,-,-,-,-,-,1,0.13,-,-,3,0.38
Okayama,15,0.18,-,,24,0.44,61,1.13,328,6.07,21,0.39,97,1.8,7,0.13,22,0.41,3,0.06,22,0.41,13,0.24,-,-,3,0.25,-,-,-,-,-,-,-,-,2,0.4
Hiroshima,30,0.26,3,,108,1.5,307,4.26,482,6.69,30,0.42,105,1.46,9,0.13,43,0.6,3,0.04,25,0.35,64,0.89,-,-,13,0.68,-,-,1,0.05,5,0.24,-,-,3,0.14
Yamaguchi,-,-,7,,19,0.4,213,4.53,397,8.45,18,0.38,166,3.53,7,0.15,51,1.09,1,0.02,18,0.38,6,0.13,-,-,3,0.33,-,-,-,-,2,0.22,-,-,2,0.22
Tokushima,11,0.29,1,,8,0.35,42,1.83,123,5.35,7,0.3,241,10.48,2,0.09,17,0.74,1,0.04,5,0.22,2,0.09,-,-,-,-,1,0.14,1,0.14,1,0.14,-,-,-,-
Kagawa,4,0.09,-,,26,0.93,79,2.82,211,7.54,14,0.5,153,5.46,4,0.14,12,0.43,4,0.14,27,0.96,11,0.39,-,-,1,0.2,-,-,-,-,3,0.6,-,-,3,0.6
Ehime,26,0.43,4,,8,0.22,164,4.43,353,9.54,12,0.32,48,1.3,5,0.14,35,0.95,1,0.03,50,1.35,13,0.35,-,-,5,0.63,-,-,-,-,2,0.33,-,-,1,0.17
Kochi,10,0.21,10,,5,0.17,81,2.7,137,4.57,15,0.5,35,1.17,1,0.03,21,0.7,1,0.03,-,-,14,0.47,-,-,1,0.33,-,-,-,-,11,1.38,1,0.13,2,0.25
Fukuoka,57,0.29,23,,108,0.9,510,4.25,918,7.65,57,0.48,488,4.07,128,1.07,102,0.85,6,0.05,208,1.73,121,1.01,-,-,17,0.65,1,0.07,2,0.13,3,0.2,-,-,-,-
Saga,5,0.13,1,,12,0.52,58,2.52,108,4.7,12,0.52,86,3.74,31,1.35,20,0.87,1,0.04,12,0.52,52,2.26,-,-,2,0.5,-,-,1,0.17,1,0.17,-,-,-,-
Nagasaki,28,0.4,9,,24,0.55,149,3.39,276,6.27,15,0.34,178,4.05,42,0.95,14,0.32,-,-,12,0.27,53,1.2,1,0.13,2,0.25,-,-,1,0.08,6,0.5,-,-,1,0.08
Kumamoto,19,0.24,1,,10,0.2,87,1.74,485,9.7,10,0.2,242,4.84,14,0.28,46,0.92,-,-,44,0.88,22,0.44,-,-,20,2.22,-,-,1,0.07,4,0.27,-,-,1,0.07
Oita,9,0.16,1,,13,0.36,112,3.11,505,14.03,22,0.61,114,3.17,42,1.17,47,1.31,-,-,31,0.86,23,0.64,-,-,3,0.6,-,-,-,-,-,-,-,-,1,0.09
Miyazaki,33,0.56,1,,38,1.06,126,3.5,383,10.64,26,0.72,75,2.08,5,0.14,39,1.08,-,-,99,2.75,10,0.28,-,-,13,2.17,-,-,-,-,-,-,-,-,3,0.43
Kagoshima,119,1.28,32,,57,1.04,282,5.13,601,10.93,15,0.27,188,3.42,49,0.89,33,0.6,3,0.05,75,1.36,14,0.25,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Okinawa,268,4.62,99,,30,0.88,36,1.06,87,2.56,10,0.29,134,3.94,6,0.18,17,0.5,10,0.29,24,0.71,88,2.59,-,-,9,0.9,1,0.14,1,0.14,2,0.29,-,-,-,-
