"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39th week, 2017",,,,,,"Data collected as of October 4, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,27808,323.35,804,15.17,341,6.43,4394,82.91,12449,234.89,667,12.58,6065,114.43,151,2.85,673,12.7,28,0.53,1123,21.19,3761,70.96,11,1.1,148,14.8,2,0.18,2,0.18,165,15,-,-,142,12.91
Gifu,22562,262.35,1226,23.58,751,14.44,1963,37.75,6705,128.94,415,7.98,3898,74.96,65,1.25,569,10.94,15,0.29,561,10.79,1368,26.31,-,-,188,17.09,1,0.2,12,2.4,150,30,-,-,90,18
Shizuoka,38839,279.42,2439,27.4,1592,17.89,8472,95.19,18759,210.78,834,9.37,8370,94.04,259,2.91,1229,13.81,19,0.21,1130,12.7,1389,15.61,10,0.48,519,24.71,10,1,34,3.4,159,15.9,41,4.1,75,7.5
Aichi,66058,338.76,4085,22.45,2703,14.85,11337,62.29,29757,163.5,2045,11.24,16718,91.86,318,1.75,2432,13.36,37,0.2,2419,13.29,2041,11.21,6,0.17,625,17.86,12,0.8,26,1.73,265,17.67,6,0.4,198,13.2
Mie,19308,268.17,1673,37.18,1283,28.51,2563,56.96,8868,197.07,508,11.29,5072,112.71,104,2.31,861,19.13,19,0.42,1258,27.96,608,13.51,8,0.67,44,3.67,18,2,26,2.89,95,10.56,11,1.22,19,2.11
Shiga,12097,232.63,499,16.1,495,15.97,1324,42.71,6247,201.52,552,17.81,3530,113.87,21,0.68,489,15.77,6,0.19,870,28.06,656,21.16,1,0.13,61,7.63,5,0.71,13,1.86,42,6,1,0.14,16,2.29
Kyoto,27892,224.94,1285,17.13,1379,18.39,4325,57.67,14126,188.35,566,7.55,5356,71.41,73,0.97,1005,13.4,22,0.29,1065,14.2,1064,14.19,5,0.29,259,15.24,3,0.43,5,0.71,58,8.29,-,-,67,9.57
Osaka,67539,220,7822,39.31,4196,21.09,16133,81.07,40695,204.5,2774,13.94,20713,104.09,316,1.59,3576,17.97,79,0.4,4299,21.6,4384,22.03,32,0.62,812,15.62,14,0.88,38,2.38,247,15.44,3,0.19,230,14.38
Hyogo,45157,228.07,3485,27.23,3076,24.03,7067,55.21,31787,248.34,1562,12.2,14284,111.59,506,3.95,1977,15.45,39,0.3,3026,23.64,3020,23.59,15,0.43,642,18.34,23,1.77,39,3,140,10.77,9,0.69,161,12.38
Nara,10278,190.33,1221,35.91,968,28.47,2652,78,5700,167.65,457,13.44,2690,79.12,83,2.44,640,18.82,8,0.24,556,16.35,765,22.5,1,0.1,219,21.9,16,2.67,25,4.17,105,17.5,1,0.17,52,8.67
Wakayama,8432,172.08,839,27.97,426,14.2,834,27.8,4688,156.27,353,11.77,2298,76.6,31,1.03,490,16.33,10,0.33,515,17.17,1738,57.93,13,3.25,100,25,4,0.36,19,1.73,79,7.18,6,0.55,68,6.18
Tottori,6027,207.83,655,34.47,466,24.53,4097,215.63,3612,190.11,362,19.05,1827,96.16,29,1.53,297,15.63,22,1.16,571,30.05,819,43.11,2,0.4,168,33.6,9,1.8,24,4.8,53,10.6,-,-,74,14.8
