"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2017",,,,,,"Data collected as of August 9, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,993,0.2,4934,,2233,0.71,4741,1.5,11855,3.76,844,0.27,29972,9.51,241,0.08,1529,0.48,45,0.01,7675,2.43,1486,0.47,7,0.01,687,0.99,15,0.03,33,0.07,121,0.25,5,0.01,8,0.02
Hokkaido,9,0.04,245,,234,1.67,279,1.99,163,1.16,35,0.25,1752,12.51,1,0.01,47,0.34,2,0.01,335,2.39,11,0.08,-,-,13,0.45,-,-,-,-,6,0.26,-,-,-,-
Aomori,2,0.03,45,,4,0.1,31,0.74,116,2.76,8,0.19,281,6.69,-,-,18,0.43,-,-,82,1.95,34,0.81,-,-,1,0.09,-,-,-,-,3,0.5,-,-,-,-
Iwate,-,-,100,,21,0.53,71,1.78,150,3.75,5,0.13,180,4.5,5,0.13,13,0.33,1,0.03,61,1.53,30,0.75,-,-,3,0.21,1,0.05,-,-,5,0.26,2,0.11,1,0.05
Miyagi,-,-,158,,39,0.66,88,1.49,264,4.47,13,0.22,521,8.83,4,0.07,34,0.58,2,0.03,89,1.51,24,0.41,-,-,5,0.42,-,-,-,-,4,0.33,-,-,-,-
Akita,4,0.08,11,,15,0.44,15,0.44,45,1.32,7,0.21,106,3.12,-,-,7,0.21,-,-,45,1.32,4,0.12,-,-,-,-,-,-,-,-,22,2.75,-,-,-,-
Yamagata,1,0.02,35,,31,1.07,53,1.83,124,4.28,2,0.07,333,11.48,30,1.03,26,0.9,3,0.1,177,6.1,6,0.21,-,-,5,0.63,-,-,-,-,7,0.7,-,-,-,-
Fukushima,1,0.01,189,,11,0.24,58,1.26,96,2.09,20,0.43,217,4.72,6,0.13,32,0.7,1,0.02,62,1.35,19,0.41,-,-,16,1.33,-,-,2,0.29,2,0.29,-,-,-,-
Ibaraki,4,0.03,48,,51,0.68,147,1.96,238,3.17,20,0.27,533,7.11,3,0.04,34,0.45,1,0.01,127,1.69,15,0.2,-,-,22,1.29,-,-,-,-,2,0.15,-,-,-,-
Tochigi,-,-,19,,14,0.29,30,0.63,85,1.77,8,0.17,387,8.06,4,0.08,27,0.56,-,-,65,1.35,19,0.4,-,-,8,0.67,-,-,-,-,-,-,-,-,-,-
Gunma,3,0.03,36,,44,0.76,124,2.14,206,3.55,8,0.14,553,9.53,8,0.14,31,0.53,-,-,260,4.48,55,0.95,-,-,16,1.14,-,-,-,-,7,0.88,-,-,3,0.38
Saitama,13,0.05,310,,211,1.32,291,1.82,697,4.36,61,0.38,1880,11.75,23,0.14,95,0.59,1,0.01,467,2.92,69,0.43,1,0.02,56,1.37,-,-,4,0.4,3,0.3,-,-,-,-
Chiba,67,0.32,161,,129,0.98,285,2.16,405,3.07,29,0.22,1024,7.76,20,0.15,56,0.42,-,-,559,4.23,31,0.23,-,-,27,0.77,-,-,1,0.11,3,0.33,-,-,-,-
Tokyo,95,0.23,583,,244,0.94,402,1.55,1020,3.94,64,0.25,3066,11.84,17,0.07,143,0.55,1,0,653,2.52,46,0.18,-,-,32,0.82,2,0.08,4,0.16,2,0.08,-,-,-,-
Kanagawa,13,0.04,519,,116,0.54,374,1.73,699,3.24,56,0.26,2554,11.82,17,0.08,134,0.62,1,0,629,2.91,74,0.34,1,0.02,85,1.7,-,-,1,0.13,-,-,-,-,-,-
Niigata,1,0.01,152,,28,0.49,60,1.05,145,2.54,15,0.26,1209,21.21,6,0.11,19,0.33,1,0.02,181,3.18,98,1.72,-,-,9,0.9,-,-,-,-,8,0.62,-,-,-,-
Toyama,2,0.04,30,,9,0.31,26,0.9,112,3.86,5,0.17,383,13.21,-,-,9,0.31,-,-,67,2.31,20,0.69,-,-,7,1,-,-,-,-,-,-,-,-,-,-
Ishikawa,1,0.02,51,,10,0.34,66,2.28,86,2.97,13,0.45,527,18.17,5,0.17,16,0.55,-,-,66,2.28,6,0.21,-,-,9,1.29,-,-,1,0.2,4,0.8,-,-,-,-
Fukui,-,-,30,,7,0.32,27,1.23,81,3.68,36,1.64,513,23.32,-,-,6,0.27,1,0.05,57,2.59,5,0.23,-,-,-,-,1,0.17,1,0.17,1,0.17,-,-,-,-
Yamanashi,-,-,2,,23,0.96,25,1.04,83,3.46,2,0.08,229,9.54,-,-,3,0.13,-,-,30,1.25,8,0.33,-,-,17,1.89,-,-,1,0.1,-,-,-,-,-,-
Nagano,-,-,18,,9,0.17,80,1.48,162,3,7,0.13,754,13.96,6,0.11,21,0.39,3,0.06,145,2.69,96,1.78,-,-,7,0.64,-,-,-,-,5,0.45,-,-,-,-
Gifu,2,0.02,28,,27,0.51,37,0.7,144,2.72,3,0.06,624,11.77,-,-,13,0.25,-,-,86,1.62,47,0.89,-,-,16,1.45,-,-,-,-,5,1,-,-,-,-
Shizuoka,14,0.1,90,,48,0.54,134,1.51,353,3.97,15,0.17,1232,13.84,11,0.12,36,0.4,2,0.02,149,1.67,43,0.48,-,-,32,1.45,-,-,-,-,3,0.3,3,0.3,-,-
Aichi,14,0.07,175,,78,0.43,252,1.38,614,3.37,56,0.31,2252,12.37,26,0.14,68,0.37,-,-,299,1.64,61,0.34,-,-,19,0.54,1,0.07,1,0.07,4,0.27,-,-,1,0.07
Mie,3,0.04,53,,30,0.67,33,0.73,193,4.29,13,0.29,445,9.89,1,0.02,27,0.6,-,-,126,2.8,31,0.69,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Shiga,-,-,4,,17,0.53,27,0.84,125,3.91,23,0.72,202,6.31,-,-,9,0.28,-,-,59,1.84,12,0.38,-,-,1,0.13,-,-,1,0.14,1,0.14,-,-,-,-
Kyoto,17,0.14,51,,42,0.55,78,1.03,270,3.55,13,0.17,259,3.41,5,0.07,36,0.47,-,-,52,0.68,24,0.32,-,-,7,0.39,-,-,-,-,2,0.29,-,-,-,-
Osaka,14,0.05,400,,139,0.7,275,1.38,747,3.74,71,0.36,1366,6.83,10,0.05,87,0.44,8,0.04,386,1.93,75,0.38,1,0.02,32,0.62,-,-,1,0.06,2,0.12,-,-,1,0.06
Hyogo,8,0.04,78,,91,0.71,97,0.76,654,5.11,24,0.19,1190,9.3,8,0.06,58,0.45,2,0.02,257,2.01,61,0.48,-,-,19,0.54,1,0.07,-,-,-,-,-,-,-,-
Nara,-,-,38,,23,0.68,52,1.53,105,3.09,9,0.26,368,10.82,2,0.06,12,0.35,-,-,48,1.41,9,0.26,-,-,2,0.2,-,-,-,-,3,0.5,-,-,-,-
Wakayama,2,0.04,50,,1,0.03,16,0.53,66,2.2,11,0.37,173,5.77,-,-,10,0.33,-,-,23,0.77,27,0.9,-,-,5,1.25,-,-,-,-,3,0.27,-,-,-,-
Tottori,-,-,61,,13,0.68,62,3.26,76,4,4,0.21,81,4.26,-,-,6,0.32,3,0.16,22,1.16,13,0.68,-,-,5,1,1,0.2,1,0.2,1,0.2,-,-,-,-
Shimane,15,0.39,2,,4,0.17,44,1.91,112,4.87,3,0.13,172,7.48,1,0.04,18,0.78,-,-,45,1.96,28,1.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Okayama,1,0.01,2,,11,0.2,41,0.76,316,5.85,19,0.35,401,7.43,-,-,27,0.5,2,0.04,97,1.8,12,0.22,-,-,16,1.33,-,-,-,-,-,-,-,-,-,-
Hiroshima,2,0.02,93,,30,0.42,112,1.56,273,3.79,11,0.15,405,5.63,-,-,35,0.49,-,-,92,1.28,11,0.15,-,-,18,0.95,-,-,-,-,1,0.05,-,-,-,-
Yamaguchi,2,0.03,98,,20,0.42,69,1.44,147,3.06,5,0.1,394,8.21,3,0.06,20,0.42,1,0.02,220,4.58,36,0.75,-,-,15,1.67,-,-,-,-,-,-,-,-,-,-
Tokushima,5,0.14,29,,17,0.74,46,2,132,5.74,2,0.09,163,7.09,3,0.13,18,0.78,-,-,55,2.39,8,0.35,-,-,3,0.75,-,-,-,-,-,-,-,-,-,-
Kagawa,-,-,12,,15,0.54,36,1.29,123,4.39,4,0.14,178,6.36,3,0.11,16,0.57,-,-,38,1.36,26,0.93,-,-,7,1.4,-,-,-,-,-,-,-,-,1,0.2
Ehime,1,0.02,120,,41,1.11,99,2.68,185,5,5,0.14,351,9.49,-,-,26,0.7,-,-,67,1.81,59,1.59,-,-,36,4.5,-,-,-,-,-,-,-,-,-,-
Kochi,1,0.02,20,,13,0.43,37,1.23,75,2.5,8,0.27,85,2.83,2,0.07,10,0.33,-,-,16,0.53,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukuoka,13,0.07,374,,51,0.43,267,2.23,619,5.16,42,0.35,831,6.93,3,0.03,75,0.63,4,0.03,383,3.19,45,0.38,-,-,24,0.92,8,0.53,3,0.2,5,0.33,-,-,-,-
Saga,-,-,10,,22,0.96,20,0.87,33,1.43,5,0.22,146,6.35,3,0.13,19,0.83,-,-,109,4.74,-,-,-,-,2,0.5,-,-,1,0.17,1,0.17,-,-,-,-
Nagasaki,4,0.06,64,,10,0.23,55,1.25,95,2.16,9,0.2,222,5.05,-,-,17,0.39,1,0.02,115,2.61,26,0.59,-,-,-,-,-,-,4,0.33,3,0.25,-,-,1,0.08
Kumamoto,7,0.09,46,,47,0.94,45,0.9,267,5.34,7,0.14,355,7.1,-,-,31,0.62,-,-,236,4.72,17,0.34,1,0.11,21,2.33,-,-,1,0.07,1,0.07,-,-,-,-
Oita,32,0.55,30,,22,0.61,87,2.42,333,9.25,25,0.69,480,13.33,1,0.03,26,0.72,1,0.03,179,4.97,37,1.03,-,-,1,0.2,-,-,-,-,2,0.18,-,-,-,-
