"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2016",,,,,,"Data collected as of June 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,8,0.04,17,,84,0.46,437,2.41,742,4.1,63,0.35,15,0.08,105,0.58,91,0.5,4,0.02,21,0.12,108,0.6,-,-,13,0.38,2,0.14,1,0.07,3,0.21,-,-,5,0.36
Mie,3,0.04,6,,52,1.16,94,2.09,299,6.64,19,0.42,4,0.09,48,1.07,20,0.44,1,0.02,6,0.13,13,0.29,-,-,1,0.08,-,-,-,-,5,0.56,-,-,-,-
Shiga,4,0.08,-,,25,0.78,57,1.78,192,6,18,0.56,6,0.19,2,0.06,15,0.47,-,-,19,0.59,19,0.59,-,-,1,0.13,-,-,-,-,1,0.14,-,-,1,0.14
Kyoto,22,0.18,2,,26,0.34,127,1.67,560,7.37,40,0.53,25,0.33,17,0.22,32,0.42,1,0.01,49,0.64,69,0.91,-,-,4,0.24,-,-,-,-,1,0.14,-,-,4,0.57
Osaka,16,0.05,12,,174,0.87,635,3.19,1611,8.1,142,0.71,53,0.27,35,0.18,149,0.75,1,0.01,77,0.39,255,1.28,-,-,25,0.48,-,-,-,-,11,0.65,-,-,4,0.24
Hyogo,26,0.13,1,,79,0.61,297,2.28,1002,7.71,84,0.65,14,0.11,42,0.32,66,0.51,3,0.02,23,0.18,116,0.89,2,0.06,15,0.43,1,0.09,2,0.18,2,0.18,-,-,-,-
Nara,-,-,3,,33,0.97,79,2.32,201,5.91,13,0.38,1,0.03,27,0.79,20,0.59,-,-,5,0.15,44,1.29,-,-,2,0.2,-,-,-,-,6,1,-,-,2,0.33
Wakayama,2,0.04,-,,32,1.03,23,0.74,125,4.03,13,0.42,1,0.03,23,0.74,15,0.48,-,-,8,0.26,31,1,-,-,-,-,-,-,-,-,2,0.18,-,-,1,0.09
Tottori,12,0.41,-,,20,1.05,87,4.58,139,7.32,14,0.74,6,0.32,19,1,9,0.47,2,0.11,17,0.89,3,0.16,-,-,7,1.4,1,0.2,-,-,2,0.4,-,-,-,-
Shimane,12,0.32,-,,59,2.57,56,2.43,148,6.43,10,0.43,9,0.39,26,1.13,20,0.87,1,0.04,14,0.61,12,0.52,-,-,4,1.33,-,-,1,0.13,3,0.38,-,-,6,0.75
Okayama,6,0.07,3,,34,0.63,63,1.17,339,6.28,11,0.2,8,0.15,22,0.41,19,0.35,1,0.02,23,0.43,61,1.13,-,-,5,0.42,-,-,-,-,1,0.2,-,-,-,-
Hiroshima,12,0.1,15,,64,0.89,191,2.65,457,6.35,43,0.6,10,0.14,29,0.4,39,0.54,2,0.03,95,1.32,49,0.68,-,-,13,0.72,-,-,1,0.05,6,0.29,-,-,5,0.24
