"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2015",,,,,,"Data collected as of December 2, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,831,0.17,6598,,1436,0.46,7353,2.35,20077,6.42,2021,0.65,838,0.27,1893,0.61,1410,0.45,59,0.02,155,0.05,2401,0.77,4,0.01,582,0.86,6,0.01,17,0.04,311,0.66,9,0.02,21,0.04
Hokkaido,61,0.27,392,,73,0.51,570,4.01,398,2.8,114,0.8,97,0.68,160,1.13,29,0.2,2,0.01,11,0.08,200,1.41,-,-,7,0.25,2,0.09,-,-,29,1.26,-,-,2,0.09
Aomori,1,0.02,54,,19,0.45,53,1.26,154,3.67,20,0.48,27,0.64,5,0.12,21,0.5,-,-,7,0.17,25,0.6,-,-,4,0.36,-,-,-,-,4,0.67,-,-,-,-
Iwate,12,0.18,89,,6,0.15,188,4.7,196,4.9,19,0.48,26,0.65,9,0.23,15,0.38,-,-,3,0.08,13,0.33,-,-,10,0.71,-,-,-,-,8,0.42,-,-,-,-
Miyagi,16,0.17,151,,15,0.25,165,2.8,358,6.07,44,0.75,27,0.46,13,0.22,31,0.53,-,-,2,0.03,10,0.17,1,0.08,2,0.17,-,-,-,-,7,0.58,-,-,-,-
Akita,16,0.3,96,,7,0.2,25,0.71,94,2.69,18,0.51,8,0.23,49,1.4,8,0.23,-,-,1,0.03,6,0.17,-,-,1,0.14,-,-,-,-,3,0.38,-,-,-,-
Yamagata,2,0.04,117,,26,0.87,145,4.83,169,5.63,18,0.6,15,0.5,39,1.3,15,0.5,-,-,3,0.1,54,1.8,-,-,-,-,-,-,-,-,2,0.2,-,-,1,0.1
Fukushima,25,0.32,226,,12,0.26,90,1.96,218,4.74,54,1.17,15,0.33,42,0.91,32,0.7,3,0.07,6,0.13,11,0.24,-,-,11,0.92,-,-,-,-,2,0.29,-,-,-,-
Ibaraki,7,0.06,191,,30,0.4,134,1.79,474,6.32,58,0.77,19,0.25,45,0.6,25,0.33,2,0.03,3,0.04,82,1.09,-,-,22,1.29,-,-,-,-,11,0.85,-,-,1,0.08
Tochigi,8,0.11,156,,7,0.15,83,1.73,129,2.69,34,0.71,16,0.33,38,0.79,27,0.56,1,0.02,-,-,18,0.38,-,-,11,0.92,-,-,1,0.14,4,0.57,-,-,1,0.14
Gunma,9,0.09,116,,21,0.35,159,2.65,408,6.8,17,0.28,4,0.07,30,0.5,27,0.45,3,0.05,1,0.02,31,0.52,-,-,25,1.79,-,-,-,-,10,1.25,-,-,-,-
Saitama,26,0.1,274,,85,0.52,469,2.9,1066,6.58,170,1.05,30,0.19,144,0.89,78,0.48,1,0.01,7,0.04,149,0.92,-,-,38,0.95,-,-,-,-,7,0.7,-,-,-,-
Chiba,31,0.14,118,,87,0.64,378,2.8,765,5.67,82,0.61,54,0.4,72,0.53,66,0.49,3,0.02,3,0.02,141,1.04,-,-,26,0.76,-,-,-,-,6,0.67,1,0.11,-,-
Tokyo,75,0.18,310,,98,0.38,643,2.47,1974,7.59,167,0.64,56,0.22,94,0.36,137,0.53,6,0.02,13,0.05,171,0.66,-,-,40,1.03,-,-,1,0.04,28,1.12,-,-,-,-
Kanagawa,27,0.08,157,,83,0.4,348,1.7,1488,7.26,164,0.8,47,0.23,38,0.19,99,0.48,3,0.01,12,0.06,106,0.52,-,-,66,1.4,-,-,1,0.11,7,0.78,-,-,-,-
Niigata,2,0.02,133,,73,1.24,166,2.81,274,4.64,74,1.25,36,0.61,27,0.46,27,0.46,1,0.02,5,0.08,50,0.85,1,0.1,9,0.9,-,-,-,-,6,0.46,2,0.15,1,0.08
Toyama,21,0.44,127,,8,0.28,83,2.86,183,6.31,20,0.69,18,0.62,2,0.07,12,0.41,-,-,5,0.17,11,0.38,-,-,1,0.14,-,-,-,-,10,2,-,-,-,-
Ishikawa,1,0.02,92,,23,0.79,72,2.48,259,8.93,8,0.28,3,0.1,4,0.14,5,0.17,-,-,-,-,70,2.41,-,-,-,-,-,-,-,-,6,1.2,-,-,-,-
Fukui,7,0.22,147,,19,0.86,53,2.41,206,9.36,5,0.23,2,0.09,22,1,4,0.18,-,-,3,0.14,5,0.23,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-
Yamanashi,7,0.18,40,,7,0.29,75,3.13,103,4.29,10,0.42,6,0.25,11,0.46,9,0.38,-,-,-,-,4,0.17,-,-,1,0.11,-,-,1,0.1,7,0.7,1,0.1,-,-
Nagano,22,0.25,191,,12,0.22,112,2.07,195,3.61,29,0.54,25,0.46,48,0.89,21,0.39,2,0.04,3,0.06,54,1,1,0.09,4,0.36,-,-,-,-,5,0.45,-,-,-,-
Gifu,28,0.32,133,,8,0.15,55,1.04,187,3.53,17,0.32,9,0.17,26,0.49,24,0.45,2,0.04,2,0.04,8,0.15,-,-,3,0.27,-,-,1,0.2,4,0.8,-,-,-,-
Shizuoka,19,0.14,139,,52,0.58,374,4.2,440,4.94,42,0.47,11,0.12,53,0.6,35,0.39,2,0.02,4,0.04,104,1.17,-,-,6,0.27,1,0.1,-,-,8,0.8,-,-,-,-
Aichi,75,0.38,355,,47,0.26,389,2.15,1035,5.72,79,0.44,62,0.34,134,0.74,56,0.31,3,0.02,5,0.03,51,0.28,-,-,12,0.35,-,-,3,0.21,18,1.29,-,-,2,0.14
Mie,8,0.11,139,,11,0.24,55,1.22,246,5.47,31,0.69,5,0.11,33,0.73,24,0.53,-,-,-,-,2,0.04,1,0.08,-,-,-,-,1,0.11,3,0.33,-,-,-,-
Shiga,8,0.15,76,,9,0.28,31,0.97,216,6.75,29,0.91,7,0.22,8,0.25,14,0.44,-,-,3,0.09,12,0.38,-,-,-,-,1,0.14,1,0.14,3,0.43,-,-,3,0.43
Kyoto,12,0.1,157,,21,0.29,115,1.58,373,5.11,51,0.7,3,0.04,32,0.44,10,0.14,-,-,6,0.08,49,0.67,-,-,10,0.56,-,-,-,-,3,0.43,-,-,-,-
Osaka,27,0.09,724,,94,0.47,401,2.01,1614,8.07,158,0.79,13,0.07,128,0.64,103,0.52,9,0.05,6,0.03,92,0.46,-,-,29,0.56,1,0.06,-,-,8,0.47,-,-,1,0.06
Hyogo,20,0.13,236,,50,0.51,186,1.9,850,8.67,67,0.68,7,0.07,39,0.4,33,0.34,1,0.01,-,-,68,0.69,-,-,15,0.6,-,-,1,0.09,6,0.55,-,-,-,-
Nara,6,0.11,112,,31,0.91,55,1.62,225,6.62,19,0.56,5,0.15,20,0.59,15,0.44,-,-,3,0.09,18,0.53,-,-,2,0.22,-,-,-,-,11,1.83,-,-,1,0.17
Wakayama,9,0.18,52,,25,0.81,29,0.94,154,4.97,8,0.26,7,0.23,20,0.65,11,0.35,1,0.03,-,-,-,-,-,-,1,0.25,-,-,-,-,7,0.64,-,-,-,-
Tottori,2,0.07,155,,31,1.63,84,4.42,129,6.79,6,0.32,-,-,11,0.58,8,0.42,2,0.11,-,-,-,-,-,-,8,2.67,-,-,-,-,1,0.2,-,-,2,0.4
Shimane,1,0.03,45,,8,0.35,59,2.57,164,7.13,11,0.48,8,0.35,2,0.09,10,0.43,-,-,2,0.09,22,0.96,-,-,3,1,-,-,-,-,-,-,-,-,-,-
Okayama,20,0.24,62,,7,0.13,77,1.43,348,6.44,21,0.39,7,0.13,20,0.37,21,0.39,1,0.02,1,0.02,40,0.74,-,-,4,0.33,-,-,-,-,-,-,-,-,-,-
Hiroshima,25,0.22,209,,26,0.36,170,2.36,645,8.96,37,0.51,36,0.5,71,0.99,21,0.29,3,0.04,7,0.1,89,1.24,-,-,23,1.21,-,-,-,-,11,0.52,-,-,-,-
Yamaguchi,-,-,153,,17,0.35,154,3.21,292,6.08,8,0.17,29,0.6,37,0.77,30,0.63,2,0.04,8,0.17,17,0.35,-,-,15,1.67,-,-,-,-,5,0.56,-,-,-,-
Tokushima,8,0.21,85,,6,0.25,16,0.67,166,6.92,8,0.33,-,-,11,0.46,17,0.71,1,0.04,2,0.08,9,0.38,-,-,-,-,-,-,-,-,2,0.29,-,-,-,-
Kagawa,-,-,158,,12,0.43,30,1.07,88,3.14,14,0.5,4,0.14,15,0.54,16,0.57,-,-,-,-,6,0.21,-,-,2,0.4,-,-,-,-,6,1.2,2,0.4,-,-
Ehime,5,0.08,142,,7,0.19,109,2.95,302,8.16,13,0.35,14,0.38,25,0.68,27,0.73,-,-,-,-,16,0.43,-,-,13,1.63,-,-,-,-,-,-,-,-,-,-
Kochi,17,0.35,23,,4,0.13,58,1.93,84,2.8,7,0.23,4,0.13,4,0.13,8,0.27,1,0.03,-,-,10,0.33,-,-,-,-,-,-,-,-,10,1.25,3,0.38,2,0.25
Fukuoka,72,0.36,116,,109,0.91,312,2.6,1101,9.18,91,0.76,27,0.23,72,0.6,80,0.67,-,-,1,0.01,228,1.9,-,-,48,1.85,-,-,-,-,13,0.87,-,-,-,-
Saga,2,0.05,15,,3,0.13,46,2,150,6.52,11,0.48,-,-,13,0.57,11,0.48,-,-,-,-,91,3.96,-,-,5,1.25,-,-,-,-,4,0.67,-,-,-,-
Nagasaki,3,0.04,17,,13,0.3,99,2.25,328,7.45,27,0.61,2,0.05,30,0.68,10,0.23,1,0.02,-,-,52,1.18,-,-,25,3.13,-,-,-,-,3,0.25,-,-,-,-
Kumamoto,-,-,63,,19,0.38,68,1.36,404,8.08,9,0.18,19,0.38,63,1.26,28,0.56,-,-,7,0.14,43,0.86,-,-,32,3.56,-,-,-,-,5,0.33,-,-,2,0.13
Oita,9,0.16,12,,25,0.69,124,3.44,532,14.78,43,1.19,7,0.19,66,1.83,22,0.61,1,0.03,2,0.06,15,0.42,-,-,2,0.4,-,-,-,-,6,0.55,-,-,1,0.09
Miyazaki,5,0.08,29,,22,0.61,96,2.67,356,9.89,46,1.28,12,0.33,24,0.67,48,1.33,-,-,3,0.08,51,1.42,-,-,20,3.33,-,-,1,0.14,2,0.29,-,-,-,-
Kagoshima,10,0.11,8,,56,1.02,125,2.27,434,7.89,37,0.67,9,0.16,42,0.76,28,0.51,1,0.02,4,0.07,21,0.38,-,-,17,2.43,-,-,1,0.08,1,0.08,-,-,-,-
Okinawa,64,1.1,6,,12,0.35,25,0.74,103,3.03,6,0.18,-,-,2,0.06,12,0.35,1,0.03,1,0.03,76,2.24,-,-,9,0.9,1,0.14,4,0.57,8,1.14,-,-,1,0.14
