"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16th week, 2013",,,,,,"Data collected as of April 24, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,144,2.72,1,,10,0.31,74,2.31,271,8.47,18,0.56,7,0.22,1,0.03,15,0.47,-,-,4,0.13,3,0.09,-,-,2,0.25,-,-,-,-,5,0.71,-,-
Kyoto,326,2.69,5,,3,0.04,105,1.42,379,5.12,58,0.78,1,0.01,1,0.01,34,0.46,-,-,5,0.07,17,0.23,-,-,5,0.29,-,-,-,-,-,-,-,-
Osaka,927,3.01,55,,69,0.35,411,2.06,1784,8.92,179,0.9,60,0.3,7,0.04,127,0.64,4,0.02,6,0.03,36,0.18,-,-,15,0.29,-,-,-,-,1,0.06,1,0.06
Hyogo,534,2.67,7,,58,0.45,132,1.02,1303,10.1,123,0.95,8,0.06,7,0.05,76,0.59,2,0.02,-,-,11,0.09,-,-,17,0.49,-,-,-,-,9,0.82,-,-
Nara,116,2.11,5,,17,0.49,27,0.77,255,7.29,17,0.49,10,0.29,-,-,12,0.34,-,-,-,-,3,0.09,-,-,4,0.44,1,0.17,-,-,-,-,-,-
Wakayama,102,2.04,2,,3,0.1,19,0.61,131,4.23,21,0.68,1,0.03,2,0.06,17,0.55,-,-,1,0.03,6,0.19,2,0.5,2,0.5,-,-,2,0.18,4,0.36,-,-
Tottori,112,3.86,3,,4,0.21,75,3.95,166,8.74,27,1.42,9,0.47,2,0.11,14,0.74,1,0.05,-,-,2,0.11,-,-,-,-,-,-,-,-,-,-,-,-
Shimane,173,4.55,7,,1,0.04,20,0.87,322,14,33,1.43,83,3.61,2,0.09,18,0.78,-,-,-,-,4,0.17,-,-,1,0.33,-,-,-,-,1,0.13,-,-
Okayama,182,2.17,6,,10,0.19,47,0.87,618,11.44,47,0.87,2,0.04,3,0.06,17,0.31,1,0.02,8,0.15,4,0.07,-,-,4,0.33,-,-,-,-,5,1,3,0.6
Hiroshima,333,2.9,24,,46,0.64,114,1.58,650,9.03,56,0.78,36,0.5,-,-,44,0.61,1,0.01,2,0.03,24,0.33,-,-,15,0.79,-,-,-,-,4,0.19,-,-
Yamaguchi,485,7.13,14,,10,0.21,126,2.68,384,8.17,97,2.06,3,0.06,2,0.04,41,0.87,1,0.02,5,0.11,4,0.09,-,-,3,0.33,-,-,-,-,-,-,-,-
Tokushima,74,1.95,2,,2,0.09,27,1.17,166,7.22,16,0.7,-,-,-,-,13,0.57,-,-,-,-,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,85,1.73,1,,8,0.27,58,1.93,186,6.2,36,1.2,2,0.07,2,0.07,16,0.53,-,-,1,0.03,8,0.27,-,-,3,1,1,0.2,-,-,-,-,-,-
Ehime,121,1.98,20,,8,0.22,72,1.95,365,9.86,85,2.3,6,0.16,2,0.05,31,0.84,-,-,-,-,8,0.22,-,-,16,2,-,-,-,-,3,0.5,-,-
Kochi,87,1.81,2,,3,0.1,14,0.47,192,6.4,34,1.13,-,-,2,0.07,13,0.43,3,0.1,-,-,4,0.13,-,-,1,0.33,1,0.13,-,-,8,1,1,0.13
Fukuoka,860,4.34,56,,84,0.7,244,2.03,1208,10.07,242,2.02,260,2.17,3,0.03,100,0.83,1,0.01,11,0.09,57,0.48,1,0.04,10,0.38,-,-,-,-,2,0.13,-,-
Saga,273,7,13,,19,0.83,31,1.35,162,7.04,39,1.7,15,0.65,-,-,34,1.48,1,0.04,15,0.65,17,0.74,-,-,-,-,-,-,1,0.17,6,1,-,-
Nagasaki,478,6.83,4,,11,0.25,61,1.39,203,4.61,49,1.11,23,0.52,2,0.05,27,0.61,1,0.02,20,0.45,17,0.39,2,0.25,7,0.88,-,-,-,-,2,0.17,-,-
Kumamoto,475,5.94,5,,19,0.38,95,1.9,431,8.62,118,2.36,19,0.38,3,0.06,45,0.9,-,-,11,0.22,7,0.14,-,-,16,1.78,-,-,-,-,5,0.33,-,-
Oita,256,4.41,3,,25,0.69,59,1.64,620,17.22,56,1.56,9,0.25,2,0.06,39,1.08,1,0.03,2,0.06,16,0.44,-,-,-,-,-,-,-,-,7,0.64,-,-
Miyazaki,451,7.64,18,,45,1.25,95,2.64,417,11.58,74,2.06,1,0.03,-,-,44,1.22,-,-,1,0.03,13,0.36,-,-,18,3,-,-,-,-,-,-,-,-
Kagoshima,418,4.49,34,,35,0.64,81,1.47,417,7.58,103,1.87,6,0.11,-,-,33,0.6,-,-,2,0.04,14,0.25,-,-,14,2,1,0.08,-,-,3,0.25,-,-
Okinawa,276,4.76,42,,6,0.18,21,0.62,87,2.56,60,1.76,158,4.65,5,0.15,6,0.18,2,0.06,8,0.24,7,0.21,1,0.1,9,0.9,-,-,-,-,13,1.86,-,-
