"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50th week, 2012",,,,,,"Data collected as of December 19, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,5789,1.17,4022,,1422,0.45,6390,2.03,60604,19.23,6638,2.11,1329,0.42,171,0.05,1545,0.49,39,0.01,121,0.04,1060,0.34,5,0.01,428,0.63,6,0.01,15,0.03,502,1.07,15,0.03
Hokkaido,197,0.87,427,,133,0.93,461,3.22,1121,7.84,352,2.46,58,0.41,6,0.04,49,0.34,3,0.02,3,0.02,13,0.09,-,-,13,0.45,-,-,-,-,26,1.13,-,-
Aomori,6,0.09,46,,6,0.15,57,1.39,483,11.78,88,2.15,11,0.27,-,-,16,0.39,-,-,-,-,20,0.49,-,-,4,0.36,-,-,-,-,40,6.67,-,-
Iwate,86,1.34,41,,4,0.1,76,1.9,374,9.35,62,1.55,33,0.83,11,0.28,15,0.38,-,-,3,0.08,64,1.6,-,-,5,0.36,1,0.05,-,-,47,2.47,-,-
Miyagi,58,0.62,36,,16,0.28,110,1.9,917,15.81,242,4.17,38,0.66,-,-,34,0.59,-,-,8,0.14,46,0.79,-,-,1,0.08,-,-,-,-,37,3.08,-,-
Akita,17,0.31,26,,29,0.83,42,1.2,471,13.46,99,2.83,38,1.09,2,0.06,7,0.2,-,-,-,-,21,0.6,-,-,3,0.43,-,-,-,-,20,2.5,-,-
Yamagata,7,0.15,50,,27,0.9,106,3.53,707,23.57,118,3.93,29,0.97,-,-,30,1,1,0.03,3,0.1,50,1.67,-,-,3,0.38,-,-,-,-,8,0.8,1,0.1
Fukushima,67,0.84,103,,9,0.19,95,1.98,764,15.92,91,1.9,65,1.35,5,0.1,20,0.42,1,0.02,1,0.02,18,0.38,-,-,8,0.67,-,-,-,-,28,4,2,0.29
Ibaraki,54,0.45,38,,21,0.28,121,1.61,1450,19.33,90,1.2,126,1.68,7,0.09,21,0.28,1,0.01,1,0.01,5,0.07,2,0.12,18,1.06,-,-,-,-,9,0.69,-,-
Tochigi,152,2.03,64,,14,0.3,57,1.21,743,15.81,66,1.4,67,1.43,1,0.02,23,0.49,-,-,-,-,15,0.32,-,-,11,0.92,-,-,-,-,14,2,1,0.14
Gunma,673,6.87,51,,6,0.1,65,1.08,1307,21.78,96,1.6,26,0.43,2,0.03,22,0.37,4,0.07,3,0.05,24,0.4,-,-,15,1.07,1,0.13,-,-,15,1.88,-,-
Saitama,562,2.28,135,,63,0.4,365,2.32,4123,26.26,318,2.03,61,0.39,6,0.04,83,0.53,-,-,5,0.03,58,0.37,-,-,15,0.37,-,-,-,-,24,2.67,-,-
Chiba,470,2.27,54,,45,0.34,414,3.16,2908,22.2,260,1.98,67,0.51,7,0.05,67,0.51,6,0.05,4,0.03,34,0.26,-,-,23,0.7,-,-,-,-,9,1,1,0.11
Tokyo,467,1.12,135,,184,0.7,646,2.46,6873,26.13,381,1.45,107,0.41,22,0.08,136,0.52,1,0,16,0.06,59,0.22,-,-,20,0.53,-,-,7,0.28,22,0.88,1,0.04
Kanagawa,238,0.73,125,,103,0.5,415,2.01,4834,23.47,434,2.11,97,0.47,10,0.05,131,0.64,2,0.01,6,0.03,83,0.4,-,-,54,1.23,1,0.11,3,0.33,9,1,-,-
Niigata,193,2.03,128,,40,0.67,174,2.9,1185,19.75,200,3.33,43,0.72,7,0.12,29,0.48,-,-,3,0.05,13,0.22,-,-,12,1.2,-,-,-,-,5,0.38,5,0.38
Toyama,24,0.5,19,,13,0.45,162,5.59,610,21.03,101,3.48,14,0.48,2,0.07,8,0.28,-,-,2,0.07,-,-,-,-,5,0.71,-,-,-,-,6,1.2,-,-
Ishikawa,6,0.13,21,,15,0.52,93,3.21,416,14.34,31,1.07,40,1.38,2,0.07,11,0.38,-,-,-,-,4,0.14,-,-,-,-,-,-,-,-,8,1.6,-,-
Fukui,10,0.31,19,,12,0.55,63,2.86,527,23.95,77,3.5,4,0.18,-,-,12,0.55,-,-,-,-,14,0.64,-,-,3,1,-,-,-,-,1,0.17,-,-
Yamanashi,123,3.08,14,,6,0.25,34,1.42,559,23.29,35,1.46,6,0.25,-,-,6,0.25,-,-,-,-,2,0.08,-,-,3,0.33,-,-,-,-,7,0.7,2,0.2
Nagano,95,1.08,115,,5,0.09,120,2.18,1057,19.22,138,2.51,4,0.07,10,0.18,18,0.33,1,0.02,3,0.05,5,0.09,-,-,8,0.73,-,-,-,-,13,1.18,-,-
Gifu,113,1.3,74,,12,0.23,40,0.75,641,12.09,52,0.98,5,0.09,5,0.09,20,0.38,-,-,1,0.02,43,0.81,-,-,1,0.09,-,-,-,-,5,1,-,-
Shizuoka,156,1.12,99,,17,0.19,129,1.45,1737,19.52,147,1.65,3,0.03,-,-,38,0.43,1,0.01,4,0.04,17,0.19,-,-,11,0.5,-,-,1,0.1,6,0.6,-,-
Aichi,185,0.95,285,,61,0.34,249,1.38,3429,18.94,283,1.56,3,0.02,12,0.07,76,0.42,3,0.02,2,0.01,60,0.33,-,-,15,0.44,-,-,-,-,27,1.93,-,-
Mie,25,0.35,69,,21,0.47,63,1.4,1202,26.71,72,1.6,12,0.27,1,0.02,31,0.69,-,-,-,-,27,0.6,-,-,1,0.08,-,-,-,-,6,0.67,-,-
Shiga,50,0.94,81,,6,0.19,80,2.5,523,16.34,45,1.41,2,0.06,2,0.06,12,0.38,-,-,3,0.09,1,0.03,-,-,1,0.13,-,-,-,-,6,0.86,-,-
Kyoto,27,0.22,59,,19,0.26,109,1.47,956,12.92,166,2.24,3,0.04,3,0.04,16,0.22,1,0.01,1,0.01,9,0.12,-,-,11,0.61,-,-,-,-,3,0.5,-,-
Osaka,187,0.61,380,,90,0.45,417,2.1,2674,13.44,341,1.71,32,0.16,8,0.04,92,0.46,1,0.01,6,0.03,33,0.17,-,-,10,0.19,-,-,-,-,10,0.59,-,-
Hyogo,39,0.2,332,,35,0.27,131,1.02,1540,11.94,236,1.83,11,0.09,2,0.02,49,0.38,3,0.02,2,0.02,19,0.15,1,0.03,11,0.31,-,-,-,-,7,0.64,-,-
Nara,30,0.55,28,,5,0.14,21,0.6,361,10.31,36,1.03,3,0.09,-,-,7,0.2,-,-,-,-,5,0.14,-,-,5,0.56,-,-,-,-,1,0.17,-,-
Wakayama,16,0.32,36,,7,0.23,22,0.71,285,9.19,50,1.61,2,0.06,1,0.03,15,0.48,-,-,-,-,2,0.06,-,-,-,-,-,-,-,-,11,1,-,-
Tottori,17,0.59,43,,4,0.21,82,4.32,322,16.95,46,2.42,1,0.05,-,-,4,0.21,-,-,1,0.05,4,0.21,-,-,-,-,1,0.2,-,-,-,-,-,-
Shimane,5,0.13,51,,9,0.39,18,0.78,502,21.83,61,2.65,-,-,-,-,10,0.43,-,-,-,-,1,0.04,-,-,-,-,-,-,-,-,3,0.38,-,-
Okayama,12,0.14,47,,8,0.15,97,1.8,1085,20.09,106,1.96,13,0.24,2,0.04,27,0.5,-,-,2,0.04,16,0.3,-,-,3,0.25,-,-,1,0.2,2,0.4,-,-
