"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5th week, 2018",,,,,,"Data collected as of February 7, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,268811,54.33,1420,,984,0.31,8245,2.61,16159,5.11,796,0.25,564,0.18,223,0.07,964,0.3,53,0.02,463,0.15,11,0.02,449,0.64,14,0.03,6,0.01,71,0.15,5,0.01,38,0.08
Hokkaido,10074,45.38,176,,80,0.58,787,5.66,278,2,30,0.22,15,0.11,3,0.02,30,0.22,-,-,9,0.06,-,-,16,0.55,-,-,-,-,7,0.3,-,-,4,0.17
Aomori,3537,54.42,8,,9,0.21,78,1.86,134,3.19,5,0.12,20,0.48,-,-,8,0.19,-,-,18,0.43,-,-,3,0.27,-,-,-,-,3,0.5,-,-,-,-
Iwate,3704,56.98,17,,17,0.43,190,4.75,169,4.23,12,0.3,13,0.33,9,0.23,9,0.23,-,-,23,0.58,-,-,5,0.36,-,-,-,-,6,0.32,-,-,-,-
Miyagi,5145,54.16,29,,19,0.32,200,3.39,246,4.17,16,0.27,3,0.05,2,0.03,18,0.31,2,0.03,5,0.08,1,0.08,7,0.58,-,-,-,-,3,0.25,-,-,1,0.08
Akita,2401,44.46,14,,6,0.17,49,1.4,84,2.4,10,0.29,3,0.09,-,-,10,0.29,1,0.03,11,0.31,2,0.29,1,0.14,-,-,-,-,5,0.63,-,-,-,-
Yamagata,2394,49.88,14,,21,0.7,131,4.37,171,5.7,28,0.93,15,0.5,7,0.23,9,0.3,1,0.03,1,0.03,-,-,-,-,1,0.1,-,-,1,0.1,-,-,3,0.3
Fukushima,4422,57.43,25,,9,0.2,141,3.07,113,2.46,8,0.17,14,0.3,13,0.28,23,0.5,2,0.04,9,0.2,-,-,22,1.83,-,-,-,-,-,-,1,0.14,-,-
Ibaraki,6154,51.28,19,,27,0.36,224,2.99,343,4.57,16,0.21,5,0.07,4,0.05,11,0.15,1,0.01,4,0.05,-,-,27,1.59,-,-,-,-,3,0.23,-,-,-,-
