"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40th week, 2018",,,,,,"Data collected as of October 10, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1764238,357.5,95489,30.3,54955,17.44,268879,85.33,610294,193.68,38022,12.07,95764,30.39,24118,7.65,55938,17.75,90893,28.85,19264,6.11,463,0.67,23286,33.46,381,0.79,621,1.29,3565,7.43,118,0.25,3071,6.4
Hokkaido,74668,336.34,4404,31.68,3141,22.6,19152,137.78,12459,89.63,1743,12.54,6577,47.32,147,1.06,1467,10.55,2891,20.8,421,3.03,20,0.71,608,21.71,6,0.26,15,0.65,210,9.13,-,-,179,7.78
Aomori,22973,364.65,667,16.68,382,9.55,2294,57.35,7263,181.58,357,8.93,1703,42.58,65,1.63,616,15.4,731,18.28,809,20.23,2,0.2,169,16.9,6,1.2,6,1.2,184,36.8,-,-,112,22.4
Iwate,26217,403.34,1079,26.98,632,15.8,4720,118,5923,148.08,337,8.43,1090,27.25,759,18.98,648,16.2,907,22.68,431,10.78,-,-,338,24.14,6,0.32,4,0.21,141,7.42,6,0.32,57,3
Miyagi,34046,358.38,2089,35.41,880,14.92,6249,105.92,10589,179.47,890,15.08,1822,30.88,969,16.42,1165,19.75,3159,53.54,185,3.14,5,0.42,137,11.42,5,0.42,1,0.08,130,10.83,1,0.08,33,2.75
Akita,19920,375.85,727,21.38,436,12.82,1353,39.79,3764,110.71,239,7.03,231,6.79,24,0.71,320,9.41,807,23.74,187,5.5,6,0.86,72,10.29,6,0.75,1,0.13,442,55.25,3,0.38,67,8.38
Yamagata,16187,344.4,1170,40.34,714,24.62,3740,128.97,5958,205.45,479,16.52,1218,42,370,12.76,684,23.59,2764,95.31,124,4.28,-,-,93,13.29,8,0.8,6,0.6,114,11.4,-,-,20,2
Fukushima,31396,387.6,2318,48.29,1010,21.04,3995,83.23,6163,128.4,592,12.33,596,12.42,206,4.29,1103,22.98,2309,48.1,395,8.23,7,0.58,764,63.67,3,0.5,4,0.67,49,8.17,1,0.17,28,4.67
Ibaraki,41524,346.03,1303,17.37,1386,18.48,6499,86.65,11743,156.57,762,10.16,661,8.81,230,3.07,866,11.55,1896,25.28,223,2.97,6,0.35,853,50.18,1,0.08,5,0.38,172,13.23,-,-,19,1.46
Tochigi,21513,283.07,1038,21.63,382,7.96,2770,57.71,4679,97.48,555,11.56,396,8.25,644,13.42,871,18.15,1234,25.71,142,2.96,1,0.08,253,21.08,6,0.86,8,1.14,70,10,2,0.29,23,3.29
