"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17th week, 2013",,,,,,"Data collected as of May 1, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,15007,3.07,520,,1265,0.4,6844,2.19,27647,8.84,3561,1.14,1142,0.36,229,0.07,2007,0.64,34,0.01,193,0.06,737,0.24,15,0.02,383,0.57,12,0.03,25,0.05,247,0.53,19,0.04
Hokkaido,900,3.96,29,,87,0.61,577,4.03,753,5.27,149,1.04,2,0.01,6,0.04,59,0.41,1,0.01,2,0.01,11,0.08,-,-,9,0.31,-,-,-,-,8,0.35,1,0.04
Aomori,205,3.2,4,,7,0.17,57,1.39,331,8.07,14,0.34,-,-,-,-,26,0.63,-,-,-,-,12,0.29,-,-,2,0.18,-,-,-,-,7,1.17,-,-
Iwate,215,3.41,1,,6,0.15,59,1.48,291,7.28,82,2.05,1,0.03,8,0.2,22,0.55,-,-,-,-,17,0.43,-,-,5,0.36,-,-,-,-,19,1,-,-
Miyagi,218,2.34,8,,18,0.31,123,2.12,574,9.9,49,0.84,3,0.05,17,0.29,34,0.59,-,-,-,-,16,0.28,-,-,4,0.33,1,0.08,-,-,14,1.17,1,0.08
Akita,280,5.09,10,,19,0.54,45,1.29,319,9.11,23,0.66,-,-,1,0.03,9,0.26,-,-,-,-,39,1.11,-,-,-,-,-,-,-,-,4,0.5,-,-
Yamagata,293,6.1,5,,28,0.93,108,3.6,375,12.5,16,0.53,5,0.17,-,-,26,0.87,-,-,1,0.03,16,0.53,-,-,3,0.38,-,-,-,-,5,0.5,1,0.1
Fukushima,176,2.32,11,,17,0.38,129,2.87,376,8.36,61,1.36,4,0.09,1,0.02,27,0.6,-,-,1,0.02,25,0.56,-,-,13,1.08,-,-,-,-,5,0.71,-,-
Ibaraki,41,0.34,2,,33,0.44,179,2.39,688,9.17,88,1.17,15,0.2,3,0.04,24,0.32,1,0.01,3,0.04,5,0.07,-,-,26,1.53,-,-,2,0.15,3,0.23,-,-
