"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27th week, 2013",,,,,,"Data collected as of July 10, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,479,0.1,511,,2078,0.66,5043,1.6,13160,4.18,2916,0.93,14878,4.73,304,0.1,2054,0.65,36,0.01,5609,1.78,994,0.32,18,0.03,441,0.65,13,0.03,30,0.06,222,0.47,14,0.03
Hokkaido,2,0.01,68,,171,1.2,365,2.57,472,3.32,178,1.25,21,0.15,3,0.02,63,0.44,-,-,13,0.09,9,0.06,-,-,16,0.55,-,-,-,-,13,0.57,-,-
Aomori,16,0.25,8,,5,0.12,44,1.07,59,1.44,20,0.49,41,1,3,0.07,26,0.63,-,-,14,0.34,17,0.41,-,-,7,0.64,-,-,-,-,8,1.33,-,-
Iwate,-,-,-,,22,0.55,51,1.28,153,3.83,41,1.03,4,0.1,4,0.1,23,0.58,-,-,16,0.4,21,0.53,-,-,4,0.29,-,-,-,-,20,1.05,-,-
Miyagi,2,0.02,7,,27,0.47,119,2.05,253,4.36,83,1.43,49,0.84,20,0.34,55,0.95,-,-,73,1.26,19,0.33,-,-,7,0.58,-,-,-,-,27,2.25,-,-
Akita,-,-,1,,12,0.34,31,0.89,95,2.71,23,0.66,2,0.06,2,0.06,14,0.4,-,-,5,0.14,27,0.77,1,0.14,3,0.43,-,-,-,-,4,0.5,-,-
Yamagata,-,-,5,,9,0.3,80,2.67,138,4.6,18,0.6,36,1.2,1,0.03,19,0.63,-,-,64,2.13,28,0.93,-,-,-,-,-,-,1,0.1,3,0.3,1,0.1
Fukushima,2,0.03,6,,30,0.67,86,1.91,103,2.29,59,1.31,26,0.58,1,0.02,33,0.73,1,0.02,11,0.24,38,0.84,1,0.08,8,0.67,-,-,-,-,11,1.57,2,0.29
Ibaraki,-,-,5,,43,0.57,114,1.52,354,4.72,55,0.73,244,3.25,2,0.03,41,0.55,1,0.01,83,1.11,14,0.19,2,0.12,18,1.06,-,-,-,-,8,0.62,-,-
Tochigi,1,0.01,-,,13,0.27,74,1.54,76,1.58,48,1,143,2.98,1,0.02,33,0.69,-,-,31,0.65,17,0.35,-,-,1,0.08,-,-,-,-,2,0.29,1,0.14
Gunma,5,0.05,-,,14,0.23,87,1.45,257,4.28,29,0.48,75,1.25,3,0.05,35,0.58,-,-,125,2.08,18,0.3,-,-,14,1,-,-,2,0.25,4,0.5,-,-
Saitama,1,0,25,,184,1.16,371,2.35,792,5.01,186,1.18,1229,7.78,27,0.17,125,0.79,-,-,233,1.47,70,0.44,3,0.07,29,0.69,-,-,-,-,14,1.4,-,-
Chiba,18,0.09,11,,102,0.78,316,2.41,559,4.27,165,1.26,618,4.72,24,0.18,77,0.59,2,0.02,211,1.61,41,0.31,2,0.06,19,0.58,-,-,4,0.44,1,0.11,1,0.11
Tokyo,13,0.03,33,,236,0.9,512,1.95,1161,4.43,219,0.84,1575,6.01,32,0.12,193,0.74,1,0,548,2.09,79,0.3,-,-,22,0.58,2,0.08,-,-,9,0.36,2,0.08
Kanagawa,7,0.02,15,,87,0.42,312,1.51,806,3.91,173,0.84,910,4.42,31,0.15,161,0.78,3,0.01,382,1.85,77,0.37,1,0.02,36,0.84,-,-,1,0.1,1,0.1,-,-
Niigata,-,-,4,,34,0.56,174,2.85,188,3.08,64,1.05,238,3.9,34,0.56,37,0.61,1,0.02,57,0.93,11,0.18,2,0.2,3,0.3,-,-,1,0.08,4,0.31,4,0.31
Toyama,-,-,8,,7,0.24,62,2.14,112,3.86,27,0.93,160,5.52,28,0.97,8,0.28,-,-,63,2.17,6,0.21,-,-,1,0.17,1,0.2,-,-,10,2,-,-
Ishikawa,-,-,1,,27,0.93,55,1.9,81,2.79,48,1.66,27,0.93,1,0.03,15,0.52,-,-,68,2.34,4,0.14,-,-,-,-,-,-,-,-,3,0.6,-,-
Fukui,-,-,6,,9,0.41,52,2.36,115,5.23,23,1.05,49,2.23,-,-,14,0.64,1,0.05,33,1.5,26,1.18,-,-,1,0.33,-,-,1,0.17,1,0.17,-,-
Yamanashi,1,0.03,2,,4,0.17,39,1.63,69,2.88,17,0.71,145,6.04,1,0.04,9,0.38,1,0.04,9,0.38,4,0.17,-,-,2,0.22,-,-,-,-,3,0.3,-,-
Nagano,-,-,-,,16,0.3,125,2.31,244,4.52,56,1.04,57,1.06,5,0.09,23,0.43,-,-,21,0.39,2,0.04,-,-,5,0.45,-,-,1,0.09,7,0.64,-,-
Gifu,48,0.55,2,,12,0.23,34,0.64,153,2.89,37,0.7,75,1.42,-,-,24,0.45,1,0.02,65,1.23,21,0.4,-,-,-,-,-,-,-,-,1,0.2,-,-
Shizuoka,8,0.06,13,,75,0.84,116,1.3,362,4.07,28,0.31,365,4.1,2,0.02,53,0.6,-,-,54,0.61,20,0.22,-,-,16,0.73,-,-,-,-,9,0.9,-,-
Aichi,4,0.02,25,,88,0.49,179,0.99,687,3.8,122,0.67,521,2.88,15,0.08,123,0.68,2,0.01,176,0.97,70,0.39,-,-,6,0.18,2,0.15,-,-,12,0.92,1,0.08
Mie,-,-,9,,21,0.47,34,0.76,194,4.31,28,0.62,284,6.31,3,0.07,23,0.51,-,-,45,1,7,0.16,-,-,2,0.17,1,0.11,1,0.11,3,0.33,-,-
