"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23th week, 2014",,,,,,"Data collected as of June 11, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,835,0.17,252,,2663,0.85,8269,2.63,20934,6.65,4244,1.35,1221,0.39,778,0.25,2189,0.7,73,0.02,1525,0.48,1111,0.35,5,0.01,437,0.64,6,0.01,23,0.05,116,0.25,4,0.01,148,0.31
Hokkaido,12,0.05,39,,201,1.41,481,3.36,812,5.68,241,1.69,13,0.09,7,0.05,56,0.39,-,-,4,0.03,22,0.15,-,-,17,0.61,1,0.04,3,0.13,4,0.17,-,-,24,1.04
Aomori,2,0.03,2,,11,0.26,32,0.76,216,5.14,45,1.07,1,0.02,19,0.45,39,0.93,1,0.02,6,0.14,10,0.24,-,-,8,0.73,-,-,4,0.67,3,0.5,-,-,12,2
Iwate,23,0.36,1,,16,0.4,89,2.23,255,6.38,117,2.93,-,-,21,0.53,19,0.48,-,-,-,-,8,0.2,-,-,7,0.5,-,-,-,-,6,0.32,-,-,2,0.11
Miyagi,11,0.12,6,,25,0.43,150,2.59,473,8.16,44,0.76,5,0.09,70,1.21,47,0.81,-,-,1,0.02,11,0.19,1,0.08,4,0.33,-,-,-,-,7,0.58,-,-,1,0.08
Akita,12,0.22,-,,8,0.23,37,1.06,173,4.94,43,1.23,4,0.11,1,0.03,11,0.31,-,-,-,-,8,0.23,-,-,1,0.14,-,-,-,-,3,0.38,-,-,5,0.63
Yamagata,36,0.75,1,,15,0.5,131,4.37,211,7.03,29,0.97,3,0.1,14,0.47,20,0.67,1,0.03,3,0.1,12,0.4,-,-,1,0.13,-,-,-,-,2,0.2,-,-,-,-
Fukushima,11,0.14,18,,23,0.51,104,2.31,245,5.44,68,1.51,3,0.07,13,0.29,29,0.64,-,-,-,-,50,1.11,-,-,5,0.42,-,-,-,-,2,0.29,-,-,7,1
Ibaraki,3,0.03,2,,38,0.51,175,2.33,359,4.79,89,1.19,17,0.23,19,0.25,32,0.43,1,0.01,8,0.11,8,0.11,-,-,14,0.82,-,-,1,0.08,1,0.08,-,-,-,-
