"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44th week, 2012",,,,,,"Data collected as of November 7, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,369,0.07,3092,,609,0.19,3859,1.23,17562,5.58,2487,0.79,1718,0.55,120,0.04,1705,0.54,77,0.02,319,0.1,1058,0.34,3,0,274,0.4,4,0.01,21,0.04,614,1.31,24,0.05
Hokkaido,23,0.1,175,,49,0.34,379,2.65,286,2,151,1.06,127,0.89,-,-,52,0.36,9,0.06,13,0.09,29,0.2,-,-,6,0.21,1,0.04,-,-,29,1.26,-,-
Aomori,1,0.02,49,,2,0.05,38,0.93,70,1.71,43,1.05,18,0.44,3,0.07,15,0.37,-,-,2,0.05,12,0.29,-,-,1,0.09,-,-,-,-,27,4.5,-,-
Iwate,-,-,67,,4,0.1,29,0.73,151,3.78,42,1.05,112,2.8,11,0.28,15,0.38,-,-,10,0.25,45,1.13,-,-,6,0.43,-,-,-,-,80,4.21,-,-
Miyagi,1,0.01,24,,3,0.05,78,1.34,358,6.17,64,1.1,61,1.05,3,0.05,34,0.59,-,-,5,0.09,45,0.78,-,-,1,0.08,-,-,-,-,39,3.25,-,-
Akita,3,0.05,28,,5,0.14,15,0.43,100,2.86,23,0.66,94,2.69,-,-,18,0.51,-,-,2,0.06,14,0.4,-,-,2,0.29,-,-,-,-,6,0.75,-,-
Yamagata,-,-,63,,20,0.67,69,2.3,88,2.93,85,2.83,86,2.87,1,0.03,17,0.57,-,-,6,0.2,41,1.37,-,-,1,0.13,-,-,1,0.1,12,1.2,-,-
Fukushima,8,0.1,101,,2,0.04,46,0.96,145,3.02,41,0.85,98,2.04,1,0.02,22,0.46,1,0.02,4,0.08,11,0.23,-,-,3,0.25,-,-,1,0.14,18,2.57,1,0.14
Ibaraki,4,0.03,29,,4,0.05,63,0.84,322,4.29,22,0.29,76,1.01,4,0.05,27,0.36,2,0.03,3,0.04,7,0.09,-,-,9,0.53,-,-,-,-,17,1.31,-,-
Tochigi,3,0.04,52,,3,0.06,37,0.77,69,1.44,19,0.4,64,1.33,1,0.02,19,0.4,2,0.04,-,-,11,0.23,-,-,4,0.33,-,-,-,-,20,2.86,1,0.14
Gunma,5,0.05,93,,6,0.1,51,0.85,184,3.07,31,0.52,14,0.23,4,0.07,20,0.33,-,-,5,0.08,21,0.35,-,-,5,0.36,-,-,-,-,24,3,-,-
Saitama,17,0.07,112,,20,0.13,237,1.5,769,4.87,136,0.86,105,0.66,4,0.03,114,0.72,1,0.01,12,0.08,50,0.32,-,-,11,0.26,-,-,-,-,25,2.78,1,0.11
Chiba,14,0.07,85,,16,0.12,240,1.79,492,3.67,97,0.72,94,0.7,7,0.05,85,0.63,3,0.02,18,0.13,45,0.34,-,-,10,0.3,-,-,1,0.11,21,2.33,5,0.56
Tokyo,20,0.05,171,,77,0.3,369,1.42,1461,5.62,141,0.54,103,0.4,10,0.04,145,0.56,11,0.04,25,0.1,48,0.18,1,0.03,15,0.38,-,-,4,0.16,29,1.16,1,0.04
Kanagawa,11,0.03,67,,37,0.18,181,0.9,744,3.7,101,0.5,134,0.67,12,0.06,125,0.62,2,0.01,12,0.06,56,0.28,1,0.02,34,0.76,-,-,2,0.22,16,1.78,-,-
Niigata,10,0.11,198,,16,0.27,127,2.12,139,2.32,95,1.58,23,0.38,2,0.03,35,0.58,3,0.05,8,0.13,19,0.32,-,-,1,0.1,-,-,-,-,11,0.85,12,0.92
Toyama,2,0.04,32,,3,0.1,42,1.45,111,3.83,24,0.83,17,0.59,-,-,10,0.34,1,0.03,4,0.14,3,0.1,-,-,-,-,-,-,-,-,12,2.4,-,-
Ishikawa,-,-,57,,2,0.07,49,1.69,345,11.9,14,0.48,25,0.86,1,0.03,23,0.79,-,-,1,0.03,6,0.21,-,-,1,0.14,-,-,1,0.2,4,0.8,-,-
Fukui,1,0.03,61,,1,0.05,42,1.91,155,7.05,12,0.55,7,0.32,2,0.09,9,0.41,1,0.05,2,0.09,12,0.55,-,-,-,-,-,-,-,-,1,0.17,-,-
Yamanashi,2,0.05,6,,2,0.08,41,1.71,55,2.29,16,0.67,5,0.21,-,-,7,0.29,-,-,1,0.04,6,0.25,-,-,6,0.67,-,-,-,-,6,0.6,1,0.1
Nagano,1,0.01,19,,2,0.04,94,1.71,269,4.89,83,1.51,18,0.33,4,0.07,32,0.58,-,-,4,0.07,7,0.13,-,-,5,0.45,-,-,-,-,10,0.91,-,-
Gifu,20,0.23,47,,9,0.17,31,0.58,188,3.55,16,0.3,1,0.02,9,0.17,26,0.49,1,0.02,1,0.02,34,0.64,-,-,-,-,-,-,-,-,14,2.8,-,-
Shizuoka,12,0.09,115,,14,0.16,78,0.88,413,4.64,46,0.52,15,0.17,1,0.01,45,0.51,4,0.04,5,0.06,21,0.24,-,-,7,0.32,-,-,-,-,24,2.4,1,0.1
Aichi,5,0.03,127,,11,0.06,157,0.87,778,4.3,86,0.48,9,0.05,3,0.02,97,0.54,3,0.02,3,0.02,76,0.42,-,-,9,0.26,-,-,-,-,26,1.86,-,-
Mie,2,0.03,41,,14,0.31,26,0.58,142,3.16,16,0.36,9,0.2,1,0.02,38,0.84,-,-,1,0.02,29,0.64,-,-,2,0.17,-,-,-,-,6,0.67,-,-
Shiga,4,0.08,30,,9,0.28,43,1.34,148,4.63,23,0.72,4,0.13,-,-,15,0.47,4,0.13,8,0.25,2,0.06,-,-,2,0.25,-,-,-,-,7,1,-,-
Kyoto,4,0.03,66,,3,0.04,60,0.82,381,5.22,47,0.64,14,0.19,-,-,16,0.22,1,0.01,5,0.07,13,0.18,-,-,5,0.28,-,-,-,-,2,0.33,-,-
Osaka,11,0.04,221,,24,0.12,300,1.51,1923,9.66,183,0.92,33,0.17,7,0.04,96,0.48,7,0.04,9,0.05,42,0.21,1,0.02,19,0.37,-,-,1,0.06,23,1.35,-,-
Hyogo,5,0.03,116,,8,0.06,106,0.82,1719,13.33,115,0.89,4,0.03,1,0.01,66,0.51,2,0.02,5,0.04,22,0.17,-,-,8,0.23,-,-,-,-,10,0.91,-,-
Nara,-,-,21,,3,0.09,16,0.46,168,4.8,21,0.6,3,0.09,-,-,12,0.34,-,-,-,-,2,0.06,-,-,4,0.44,-,-,-,-,-,-,-,-
Wakayama,-,-,15,,4,0.13,24,0.77,177,5.71,32,1.03,3,0.1,-,-,16,0.52,-,-,2,0.06,2,0.06,-,-,1,0.25,1,0.09,1,0.09,8,0.73,1,0.09
Tottori,-,-,30,,1,0.05,24,1.26,76,4,7,0.37,-,-,-,-,10,0.53,1,0.05,7,0.37,2,0.11,-,-,-,-,-,-,2,0.4,6,1.2,-,-
Shimane,-,-,33,,3,0.13,17,0.74,122,5.3,30,1.3,2,0.09,-,-,17,0.74,-,-,12,0.52,1,0.04,-,-,-,-,-,-,-,-,13,1.63,-,-
Okayama,1,0.01,49,,8,0.15,28,0.52,323,5.98,27,0.5,7,0.13,3,0.06,25,0.46,-,-,7,0.13,19,0.35,-,-,4,0.33,-,-,-,-,6,1.2,-,-
Hiroshima,3,0.03,77,,15,0.21,60,0.83,237,3.29,73,1.01,1,0.01,-,-,32,0.44,7,0.1,7,0.1,22,0.31,-,-,4,0.21,2,0.1,2,0.1,7,0.33,-,-
Yamaguchi,1,0.01,67,,4,0.08,142,2.96,245,5.1,56,1.17,2,0.04,4,0.08,33,0.69,1,0.02,15,0.31,11,0.23,-,-,1,0.11,-,-,-,-,13,1.44,-,-
Tokushima,-,-,22,,10,0.43,22,0.96,114,4.96,22,0.96,-,-,2,0.09,21,0.91,-,-,-,-,6,0.26,-,-,-,-,-,-,-,-,2,0.4,-,-
Kagawa,1,0.02,84,,3,0.1,16,0.53,183,6.1,13,0.43,23,0.77,4,0.13,20,0.67,-,-,27,0.9,3,0.1,-,-,-,-,-,-,-,-,-,-,-,-
Ehime,2,0.03,38,,4,0.11,47,1.27,283,7.65,22,0.59,7,0.19,3,0.08,32,0.86,-,-,7,0.19,11,0.3,-,-,8,1,-,-,-,-,8,1.33,-,-
Kochi,2,0.04,16,,1,0.03,26,0.87,79,2.63,43,1.43,-,-,5,0.17,4,0.13,-,-,9,0.3,8,0.27,-,-,4,1.33,-,-,2,0.25,5,0.63,-,-
Fukuoka,3,0.02,116,,38,0.32,124,1.03,1599,13.33,115,0.96,40,0.33,-,-,88,0.73,4,0.03,10,0.08,66,0.55,-,-,7,0.27,-,-,-,-,1,0.07,-,-
Saga,31,0.79,46,,29,1.26,35,1.52,99,4.3,40,1.74,2,0.09,-,-,17,0.74,-,-,1,0.04,12,0.52,-,-,-,-,-,-,-,-,4,0.67,-,-
Nagasaki,-,-,56,,22,0.5,32,0.73,208,4.73,53,1.2,6,0.14,1,0.02,18,0.41,1,0.02,-,-,25,0.57,-,-,2,0.25,-,-,2,0.17,2,0.17,-,-
Kumamoto,6,0.08,69,,29,0.6,46,0.96,460,9.58,40,0.83,16,0.33,-,-,36,0.75,-,-,20,0.42,14,0.29,-,-,20,2.22,-,-,-,-,6,0.4,-,-
Oita,-,-,30,,8,0.22,68,1.89,309,8.58,27,0.75,8,0.22,2,0.06,24,0.67,3,0.08,2,0.06,70,1.94,-,-,1,0.2,-,-,-,-,6,0.55,-,-
Miyazaki,1,0.02,46,,22,0.61,56,1.56,361,10.03,33,0.92,107,2.97,1,0.03,41,1.14,-,-,7,0.19,25,0.69,-,-,16,2.67,-,-,-,-,1,0.14,-,-
Kagoshima,1,0.01,17,,32,0.58,41,0.75,310,5.64,41,0.75,96,1.75,1,0.02,23,0.42,-,-,12,0.22,21,0.38,-,-,8,1.14,-,-,-,-,4,0.33,-,-
Okinawa,128,2.21,8,,7,0.21,7,0.21,204,6,20,0.59,25,0.74,2,0.06,13,0.38,2,0.06,-,-,11,0.32,-,-,21,2.1,-,-,1,0.14,3,0.43,-,-
