"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2017",,,,,,"Data collected as of October 18, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,6,0.08,96,,23,0.51,37,0.82,109,2.42,9,0.2,53,1.18,2,0.04,28,0.62,-,-,-,-,11,0.24,-,-,3,0.25,1,0.11,-,-,2,0.22,-,-,-,-
Shiga,7,0.13,26,,5,0.16,39,1.22,78,2.44,5,0.16,43,1.34,1,0.03,5,0.16,-,-,10,0.31,16,0.5,-,-,-,-,-,-,2,0.29,-,-,-,-,-,-
Kyoto,36,0.29,99,,18,0.23,74,0.96,217,2.82,11,0.14,86,1.12,-,-,23,0.3,-,-,38,0.49,10,0.13,-,-,5,0.28,-,-,-,-,-,-,-,-,-,-
Osaka,45,0.15,353,,55,0.28,317,1.59,576,2.88,67,0.34,228,1.14,10,0.05,96,0.48,2,0.01,63,0.32,41,0.21,1,0.02,19,0.37,-,-,-,-,-,-,-,-,1,0.06
Hyogo,22,0.11,259,,29,0.22,96,0.74,451,3.5,46,0.36,74,0.57,10,0.08,40,0.31,-,-,53,0.41,17,0.13,-,-,8,0.23,-,-,1,0.07,4,0.29,-,-,-,-
Nara,4,0.07,61,,12,0.35,61,1.79,92,2.71,16,0.47,60,1.76,3,0.09,13,0.38,-,-,9,0.26,6,0.18,1,0.1,5,0.5,-,-,1,0.17,2,0.33,-,-,-,-
Wakayama,-,-,36,,15,0.5,15,0.5,78,2.6,5,0.17,14,0.47,-,-,14,0.47,-,-,7,0.23,13,0.43,-,-,1,0.25,-,-,-,-,1,0.09,-,-,-,-
Tottori,3,0.1,27,,13,0.68,45,2.37,91,4.79,2,0.11,17,0.89,-,-,6,0.32,-,-,5,0.26,3,0.16,-,-,16,3.2,-,-,-,-,4,0.8,-,-,-,-
Shimane,1,0.03,53,,5,0.22,41,1.78,69,3,6,0.26,31,1.35,-,-,13,0.57,1,0.04,5,0.22,14,0.61,-,-,-,-,-,-,1,0.13,-,-,-,-,-,-
Okayama,8,0.1,111,,7,0.13,43,0.8,297,5.5,15,0.28,83,1.54,2,0.04,17,0.31,1,0.02,7,0.13,13,0.24,-,-,9,0.75,-,-,-,-,-,-,-,-,-,-
Hiroshima,15,0.13,187,,22,0.31,126,1.75,220,3.06,11,0.15,89,1.24,2,0.03,24,0.33,-,-,7,0.1,13,0.18,-,-,14,0.74,-,-,-,-,3,0.14,-,-,-,-
Yamaguchi,24,0.35,89,,8,0.17,87,1.81,135,2.81,13,0.27,49,1.02,-,-,22,0.46,1,0.02,7,0.15,18,0.38,-,-,12,1.33,-,-,1,0.11,2,0.22,-,-,-,-
Tokushima,1,0.03,73,,7,0.3,22,0.96,79,3.43,6,0.26,32,1.39,2,0.09,20,0.87,1,0.04,4,0.17,5,0.22,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kagawa,3,0.06,72,,8,0.29,43,1.54,108,3.86,8,0.29,22,0.79,-,-,8,0.29,-,-,12,0.43,9,0.32,1,0.2,9,1.8,-,-,-,-,2,0.4,-,-,-,-
Ehime,2,0.03,61,,5,0.14,57,1.54,154,4.16,11,0.3,115,3.11,3,0.08,27,0.73,-,-,7,0.19,48,1.3,-,-,14,1.75,-,-,-,-,3,0.5,-,-,-,-
Kochi,3,0.06,75,,6,0.2,30,1,76,2.53,7,0.23,18,0.6,-,-,6,0.2,-,-,6,0.2,3,0.1,-,-,-,-,1,0.13,-,-,1,0.13,1,0.13,-,-
Fukuoka,23,0.12,368,,37,0.31,244,2.03,505,4.21,41,0.34,194,1.62,4,0.03,66,0.55,2,0.02,36,0.3,34,0.28,-,-,27,1.04,2,0.13,-,-,3,0.2,-,-,-,-
Saga,2,0.05,59,,6,0.26,11,0.48,35,1.52,4,0.17,84,3.65,-,-,11,0.48,-,-,7,0.3,3,0.13,-,-,3,0.75,-,-,-,-,1,0.17,-,-,-,-
Nagasaki,35,0.5,58,,8,0.18,59,1.34,91,2.07,8,0.18,27,0.61,-,-,9,0.2,-,-,14,0.32,11,0.25,1,0.13,1,0.13,-,-,1,0.08,3,0.25,-,-,-,-
Kumamoto,9,0.11,201,,20,0.4,35,0.7,209,4.18,15,0.3,87,1.74,1,0.02,30,0.6,-,-,27,0.54,28,0.56,-,-,11,1.22,-,-,1,0.07,2,0.13,-,-,-,-
Oita,1,0.02,52,,6,0.17,38,1.06,208,5.78,13,0.36,35,0.97,-,-,22,0.61,-,-,13,0.36,41,1.14,-,-,1,0.2,-,-,-,-,3,0.27,-,-,-,-
Miyazaki,6,0.1,93,,46,1.28,21,0.58,191,5.31,11,0.31,41,1.14,3,0.08,34,0.94,1,0.03,24,0.67,20,0.56,-,-,24,4,-,-,1,0.14,-,-,-,-,-,-
Kagoshima,14,0.15,90,,44,0.81,76,1.41,264,4.89,23,0.43,158,2.93,-,-,19,0.35,1,0.02,73,1.35,56,1.04,-,-,7,1,-,-,-,-,-,-,-,-,-,-
Okinawa,240,4.14,10,,20,0.59,27,0.79,85,2.5,15,0.44,60,1.76,-,-,8,0.24,-,-,7,0.21,6,0.18,-,-,58,6.44,1,0.14,-,-,3,0.43,-,-,-,-
