"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2017",,,,,,"Data collected as of November 15, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1380405,279.26,123216,39.03,75822,24.02,305525,96.78,714830,226.43,47997,15.2,339034,107.39,10693,3.39,64362,20.39,1427,0.45,83259,26.37,71658,22.7,375,0.54,22761,32.75,463,0.97,855,1.79,7025,14.73,231,0.48,4887,10.25
Hokkaido,49815,223.39,5473,39.09,8287,59.19,20891,149.22,15351,109.65,2526,18.04,13589,97.06,238,1.7,1823,13.02,87,0.62,2816,20.11,1762,12.59,11,0.39,518,18.5,8,0.35,52,2.26,249,10.83,-,-,208,9.04
Aomori,15458,241.53,1033,25.2,530,12.93,2788,68,7181,175.15,468,11.41,3594,87.66,210,5.12,815,19.88,7,0.17,857,20.9,947,23.1,4,0.36,123,11.18,12,2,6,1,190,31.67,-,-,74,12.33
Iwate,14638,228.72,1362,34.92,1058,27.13,4600,117.95,7776,199.38,395,10.13,3098,79.44,323,8.28,786,20.15,8,0.21,844,21.64,1789,45.87,5,0.36,224,16,10,0.53,9,0.47,338,17.79,7,0.37,108,5.68
Miyagi,27559,293.18,2301,39.67,1490,25.69,6363,109.71,12604,217.31,895,15.43,7270,125.34,214,3.69,1436,24.76,10,0.17,1009,17.4,574,9.9,1,0.08,138,11.5,3,0.25,1,0.08,267,22.25,-,-,51,4.25
Akita,13151,243.54,920,26.29,505,14.43,1892,54.06,4403,125.8,473,13.51,2094,59.83,53,1.51,391,11.17,15,0.43,715,20.43,162,4.63,9,1.29,70,10,4,0.5,-,-,473,59.13,4,0.5,56,7
Yamagata,11428,243.15,1680,57.93,1062,36.62,6136,211.59,6147,211.97,555,19.14,3523,121.48,654,22.55,835,28.79,24,0.83,1257,43.34,577,19.9,-,-,165,20.63,5,0.5,8,0.8,207,20.7,-,-,82,8.2
Fukushima,23840,313.68,2669,59.31,652,14.49,4506,100.13,7119,158.2,883,19.62,4898,108.84,380,8.44,1292,28.71,12,0.27,915,20.33,914,20.31,2,0.17,485,40.42,7,1,17,2.43,109,15.57,7,1,218,31.14
Ibaraki,31155,259.63,1807,24.09,1357,18.09,7635,101.8,14186,189.15,1078,14.37,7748,103.31,188,2.51,989,13.19,23,0.31,1442,19.23,650,8.67,6,0.35,822,48.35,2,0.15,1,0.08,132,10.15,-,-,122,9.38
