"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9th week, 2016",,,,,,"Data collected as of March 9, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,174970,35.35,980,,938,0.3,9435,2.99,20470,6.49,1090,0.35,93,0.03,1554,0.49,1089,0.35,29,0.01,45,0.01,2482,0.79,6,0.01,374,0.55,11,0.02,18,0.04,208,0.44,13,0.03,269,0.57
Hokkaido,6433,28.46,37,,45,0.32,803,5.65,380,2.68,55,0.39,6,0.04,94,0.66,35,0.25,1,0.01,2,0.01,211,1.49,-,-,5,0.18,-,-,1,0.04,7,0.3,-,-,7,0.3
Aomori,998,15.35,4,,9,0.21,67,1.6,138,3.29,4,0.1,1,0.02,2,0.05,22,0.52,-,-,1,0.02,29,0.69,-,-,2,0.18,-,-,-,-,3,0.5,-,-,-,-
Iwate,1686,25.94,5,,7,0.18,212,5.3,307,7.68,4,0.1,-,-,11,0.28,13,0.33,-,-,-,-,10,0.25,-,-,3,0.21,-,-,-,-,6,0.32,1,0.05,5,0.26
Miyagi,3041,32.01,13,,16,0.27,329,5.58,421,7.14,16,0.27,1,0.02,12,0.2,27,0.46,1,0.02,-,-,21,0.36,-,-,10,0.83,1,0.08,-,-,5,0.42,-,-,-,-
Akita,919,17.02,-,,12,0.34,61,1.74,148,4.23,9,0.26,2,0.06,72,2.06,10,0.29,-,-,-,-,4,0.11,-,-,1,0.14,-,-,-,-,2,0.25,-,-,9,1.13
Yamagata,1488,31,1,,8,0.27,205,6.83,211,7.03,14,0.47,-,-,64,2.13,20,0.67,-,-,-,-,46,1.53,-,-,1,0.13,-,-,-,-,4,0.4,1,0.1,-,-
Fukushima,2370,30.78,17,,10,0.22,113,2.46,137,2.98,23,0.5,-,-,21,0.46,17,0.37,1,0.02,-,-,8,0.17,-,-,10,0.83,1,0.14,-,-,1,0.14,-,-,1,0.14
Ibaraki,3035,25.29,5,,13,0.17,146,1.95,442,5.89,15,0.2,3,0.04,29,0.39,13,0.17,-,-,-,-,47,0.63,-,-,19,1.12,-,-,-,-,5,0.38,-,-,-,-
Tochigi,1770,23.29,5,,5,0.1,100,2.08,150,3.13,23,0.48,-,-,30,0.63,15,0.31,-,-,1,0.02,39,0.81,-,-,3,0.25,-,-,1,0.14,4,0.57,-,-,3,0.43
Gunma,3021,31.8,6,,16,0.28,166,2.86,275,4.74,14,0.24,-,-,27,0.47,19,0.33,1,0.02,-,-,9,0.16,-,-,3,0.21,1,0.13,-,-,5,0.63,-,-,5,0.63
Saitama,8593,34.24,14,,37,0.23,522,3.3,885,5.6,82,0.52,3,0.02,41,0.26,61,0.39,-,-,1,0.01,167,1.06,-,-,15,0.37,-,-,-,-,4,0.4,-,-,1,0.1
Chiba,7128,33.62,6,,15,0.11,508,3.79,810,6.04,83,0.62,27,0.2,73,0.54,44,0.33,2,0.01,15,0.11,166,1.24,1,0.03,12,0.38,-,-,3,0.33,5,0.56,-,-,1,0.11
Tokyo,9499,22.89,33,,43,0.17,740,2.85,1821,7,98,0.38,2,0.01,80,0.31,105,0.4,1,0,9,0.03,121,0.47,-,-,7,0.18,1,0.04,2,0.08,6,0.24,3,0.12,2,0.08
Kanagawa,8683,25.61,24,,31,0.15,434,2.06,1344,6.37,72,0.34,3,0.01,41,0.19,77,0.36,-,-,1,0,116,0.55,1,0.02,41,0.89,-,-,2,0.22,2,0.22,-,-,1,0.11
Niigata,2179,23.18,18,,38,0.64,243,4.12,362,6.14,20,0.34,1,0.02,18,0.31,22,0.37,1,0.02,-,-,71,1.2,1,0.1,8,0.8,1,0.08,2,0.15,3,0.23,5,0.38,-,-
Toyama,1675,34.9,6,,20,0.69,121,4.17,150,5.17,27,0.93,4,0.14,20,0.69,13,0.45,-,-,-,-,27,0.93,-,-,-,-,-,-,-,-,-,-,-,-,1,0.2
