"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8th week, 2013",,,,,,"Data collected as of February 27, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,1151,21.72,14,,6,0.19,59,1.84,182,5.69,47,1.47,7,0.22,-,-,10,0.31,-,-,-,-,2,0.06,-,-,1,0.13,-,-,1,0.14,1,0.14,-,-
Kyoto,1777,14.57,2,,7,0.09,175,2.36,533,7.2,95,1.28,3,0.04,1,0.01,21,0.28,-,-,2,0.03,11,0.15,-,-,5,0.28,-,-,-,-,-,-,-,-
Osaka,4122,13.34,102,,35,0.18,489,2.45,1555,7.78,210,1.05,31,0.16,5,0.03,100,0.5,7,0.04,4,0.02,18,0.09,-,-,9,0.17,-,-,-,-,3,0.18,1,0.06
Hyogo,3267,16.42,50,,36,0.28,160,1.24,1378,10.68,162,1.26,12,0.09,8,0.06,47,0.36,-,-,-,-,10,0.08,-,-,8,0.23,-,-,-,-,5,0.45,-,-
Nara,700,12.73,12,,5,0.14,35,1,212,6.06,27,0.77,2,0.06,3,0.09,12,0.34,-,-,-,-,2,0.06,-,-,2,0.22,-,-,-,-,1,0.17,-,-
Wakayama,772,15.44,13,,4,0.13,22,0.71,192,6.19,28,0.9,1,0.03,1,0.03,12,0.39,-,-,-,-,3,0.1,2,0.5,-,-,1,0.09,-,-,5,0.45,-,-
Tottori,489,16.86,4,,5,0.26,113,5.95,174,9.16,33,1.74,3,0.16,1,0.05,7,0.37,-,-,-,-,2,0.11,-,-,-,-,-,-,1,0.2,1,0.2,-,-
Shimane,714,18.79,8,,7,0.3,33,1.43,261,11.35,22,0.96,31,1.35,1,0.04,16,0.7,-,-,1,0.04,1,0.04,-,-,-,-,-,-,-,-,2,0.25,-,-
Okayama,1410,16.79,9,,5,0.09,45,0.83,500,9.26,58,1.07,5,0.09,2,0.04,21,0.39,-,-,-,-,8,0.15,-,-,3,0.25,-,-,-,-,-,-,-,-
Hiroshima,2841,24.7,41,,24,0.33,102,1.42,587,8.15,94,1.31,13,0.18,3,0.04,33,0.46,3,0.04,-,-,8,0.11,-,-,6,0.32,1,0.05,1,0.05,3,0.14,-,-
Yamaguchi,1297,18.8,51,,8,0.17,133,2.77,481,10.02,90,1.88,1,0.02,3,0.06,30,0.63,-,-,3,0.06,5,0.1,-,-,1,0.11,1,0.11,-,-,2,0.22,-,-
Tokushima,853,22.45,14,,7,0.3,25,1.09,217,9.43,35,1.52,-,-,1,0.04,17,0.74,-,-,-,-,13,0.57,-,-,1,0.25,-,-,-,-,-,-,-,-
Kagawa,896,18.29,6,,10,0.33,30,1,274,9.13,33,1.1,-,-,7,0.23,15,0.5,-,-,3,0.1,2,0.07,-,-,-,-,1,0.2,-,-,-,-,-,-
Ehime,1371,22.48,38,,10,0.27,94,2.54,433,11.7,67,1.81,1,0.03,-,-,32,0.86,-,-,1,0.03,12,0.32,-,-,6,0.75,-,-,-,-,1,0.17,-,-
Kochi,1090,22.71,45,,2,0.07,20,0.67,263,8.77,25,0.83,9,0.3,4,0.13,6,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0.25,-,-
Fukuoka,2593,13.1,73,,62,0.52,333,2.78,1389,11.58,295,2.46,180,1.5,3,0.03,85,0.71,1,0.01,6,0.05,64,0.53,-,-,11,0.42,1,0.07,1,0.07,1,0.07,-,-
Saga,349,9.18,14,,19,0.86,48,2.18,132,6,37,1.68,8,0.36,1,0.05,14,0.64,-,-,1,0.05,7,0.32,-,-,-,-,-,-,-,-,5,0.83,-,-
Nagasaki,1151,16.44,9,,10,0.23,50,1.14,442,10.05,81,1.84,11,0.25,-,-,14,0.32,-,-,9,0.2,18,0.41,7,0.88,1,0.13,-,-,-,-,2,0.17,-,-
Kumamoto,1054,13.18,35,,21,0.42,89,1.78,814,16.28,107,2.14,10,0.2,2,0.04,29,0.58,-,-,1,0.02,8,0.16,-,-,15,1.67,-,-,1,0.07,2,0.13,-,-
Oita,847,14.6,34,,18,0.5,55,1.53,487,13.53,96,2.67,18,0.5,1,0.03,26,0.72,-,-,1,0.03,16,0.44,-,-,3,0.6,-,-,1,0.09,4,0.36,-,-
Miyazaki,1039,17.61,53,,37,1.03,103,2.86,654,18.17,133,3.69,1,0.03,1,0.03,27,0.75,-,-,3,0.08,18,0.5,-,-,12,2,-,-,1,0.14,1,0.14,-,-
Kagoshima,2262,24.32,64,,27,0.49,84,1.53,698,12.69,154,2.8,12,0.22,5,0.09,27,0.49,1,0.02,1,0.02,19,0.35,-,-,4,0.57,-,-,-,-,11,0.92,-,-
Okinawa,978,16.86,18,,11,0.32,24,0.71,115,3.38,120,3.53,14,0.41,-,-,10,0.29,1,0.03,1,0.03,10,0.29,2,0.2,14,1.4,-,-,1,0.14,10,1.43,-,-
