"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11th week, 2013",,,,,,"Data collected as of March 21, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,756,14.26,12,,9,0.28,51,1.59,260,8.13,34,1.06,12,0.38,4,0.13,12,0.38,-,-,2,0.06,1,0.03,-,-,2,0.25,-,-,-,-,4,0.57,-,-
Kyoto,1087,8.91,3,,2,0.03,96,1.3,577,7.8,84,1.14,5,0.07,2,0.03,32,0.43,-,-,2,0.03,16,0.22,-,-,5,0.29,-,-,-,-,-,-,-,-
Osaka,1939,6.28,71,,59,0.3,419,2.1,1722,8.61,170,0.85,32,0.16,9,0.05,82,0.41,2,0.01,8,0.04,21,0.11,-,-,7,0.13,-,-,-,-,7,0.41,-,-
Hyogo,1560,7.8,27,,66,0.51,175,1.36,1663,12.89,154,1.19,2,0.02,5,0.04,59,0.46,-,-,4,0.03,12,0.09,-,-,15,0.43,-,-,-,-,3,0.27,-,-
Nara,393,7.15,18,,7,0.2,30,0.86,270,7.71,26,0.74,1,0.03,1,0.03,10,0.29,-,-,-,-,-,-,-,-,1,0.11,-,-,-,-,1,0.17,-,-
Wakayama,624,12.48,9,,3,0.1,25,0.81,188,6.06,26,0.84,1,0.03,2,0.06,9,0.29,-,-,-,-,2,0.06,1,0.25,-,-,-,-,-,-,2,0.18,-,-
Tottori,345,11.9,7,,2,0.11,93,4.89,161,8.47,22,1.16,8,0.42,1,0.05,6,0.32,-,-,-,-,2,0.11,-,-,-,-,1,0.2,2,0.4,1,0.2,-,-
Shimane,461,12.13,10,,3,0.13,30,1.3,294,12.78,29,1.26,35,1.52,-,-,18,0.78,-,-,-,-,11,0.48,-,-,1,0.33,-,-,-,-,1,0.13,-,-
Okayama,765,9.11,11,,9,0.17,32,0.59,521,9.65,48,0.89,11,0.2,2,0.04,10,0.19,-,-,1,0.02,11,0.2,-,-,3,0.25,-,-,-,-,4,0.8,2,0.4
Hiroshima,1721,14.97,40,,21,0.29,100,1.39,527,7.32,71,0.99,12,0.17,1,0.01,32,0.44,2,0.03,-,-,15,0.21,-,-,10,0.53,1,0.05,-,-,3,0.14,-,-
Yamaguchi,1205,17.46,55,,12,0.25,142,2.96,515,10.73,86,1.79,2,0.04,1,0.02,30,0.63,-,-,1,0.02,10,0.21,-,-,4,0.44,-,-,-,-,3,0.33,-,-
Tokushima,579,15.24,4,,3,0.13,29,1.26,272,11.83,10,0.43,-,-,2,0.09,20,0.87,-,-,-,-,9,0.39,-,-,-,-,-,-,-,-,1,0.2,-,-
Kagawa,275,5.61,9,,5,0.17,25,0.83,253,8.43,52,1.73,2,0.07,2,0.07,9,0.3,-,-,2,0.07,4,0.13,-,-,-,-,-,-,-,-,-,-,-,-
Ehime,523,8.57,21,,6,0.16,96,2.59,390,10.54,57,1.54,1,0.03,3,0.08,24,0.65,1,0.03,-,-,14,0.38,-,-,6,0.75,-,-,1,0.17,2,0.33,-,-
Kochi,621,12.94,22,,2,0.07,16,0.53,296,9.87,49,1.63,-,-,-,-,7,0.23,1,0.03,-,-,2,0.07,-,-,-,-,-,-,-,-,4,0.5,-,-
Fukuoka,1906,9.63,96,,97,0.81,311,2.59,1677,13.98,215,1.79,167,1.39,7,0.06,86,0.72,-,-,4,0.03,67,0.56,-,-,13,0.5,-,-,-,-,5,0.33,1,0.07
Saga,242,6.21,16,,15,0.65,49,2.13,223,9.7,41,1.78,8,0.35,-,-,19,0.83,-,-,1,0.04,3,0.13,-,-,1,0.25,-,-,-,-,7,1.17,-,-
Nagasaki,454,6.49,5,,17,0.39,52,1.18,391,8.89,32,0.73,6,0.14,-,-,21,0.48,1,0.02,10,0.23,29,0.66,4,0.5,2,0.25,1,0.08,-,-,-,-,-,-
Kumamoto,937,11.71,19,,22,0.44,101,2.02,807,16.14,90,1.8,7,0.14,-,-,41,0.82,-,-,3,0.06,6,0.12,-,-,16,1.78,-,-,1,0.07,3,0.2,-,-
Oita,408,7.03,23,,40,1.11,55,1.53,569,15.81,52,1.44,9,0.25,-,-,22,0.61,1,0.03,1,0.03,18,0.5,-,-,-,-,-,-,-,-,11,1,-,-
Miyazaki,741,12.56,36,,38,1.06,71,1.97,557,15.47,99,2.75,-,-,2,0.06,26,0.72,2,0.06,2,0.06,13,0.36,-,-,13,2.17,-,-,-,-,1,0.14,-,-
Kagoshima,1620,17.42,72,,26,0.47,86,1.56,593,10.78,128,2.33,5,0.09,7,0.13,28,0.51,1,0.02,4,0.07,20,0.36,-,-,7,1,-,-,-,-,7,0.58,-,-
Okinawa,433,7.47,32,,5,0.15,24,0.71,103,3.03,122,3.59,39,1.15,2,0.06,15,0.44,1,0.03,2,0.06,5,0.15,2,0.2,25,2.5,1,0.14,-,-,11,1.57,-,-
