"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52nd week, 2017",,,,,,"Data collected as of January 5, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,85976,17.88,2132,,1919,0.63,7460,2.44,22316,7.29,1510,0.49,1312,0.43,204,0.07,996,0.33,29,0.01,135,0.04,696,0.23,9,0.01,505,0.75,9,0.02,11,0.02,165,0.35,5,0.01,25,0.05
Hokkaido,2610,11.81,160,,132,0.95,647,4.65,409,2.94,126,0.91,13,0.09,2,0.01,19,0.14,-,-,-,-,10,0.07,1,0.03,10,0.34,-,-,-,-,7,0.3,-,-,-,-
Aomori,494,7.6,27,,21,0.5,90,2.14,171,4.07,28,0.67,49,1.17,2,0.05,9,0.21,-,-,2,0.05,43,1.02,-,-,3,0.27,-,-,-,-,8,1.33,-,-,1,0.17
Iwate,648,9.97,30,,17,0.43,156,3.9,153,3.83,14,0.35,27,0.68,8,0.2,21,0.53,-,-,1,0.03,37,0.93,-,-,9,0.64,-,-,-,-,9,0.47,-,-,-,-
Miyagi,1351,14.22,49,,28,0.47,177,3,303,5.14,31,0.53,51,0.86,2,0.03,22,0.37,-,-,3,0.05,4,0.07,-,-,4,0.33,-,-,-,-,6,0.5,-,-,-,-
Akita,522,9.67,14,,9,0.26,44,1.26,63,1.8,17,0.49,13,0.37,1,0.03,14,0.4,-,-,1,0.03,9,0.26,-,-,4,0.57,-,-,-,-,28,3.5,-,-,-,-
Yamagata,278,5.79,22,,42,1.45,190,6.55,139,4.79,10,0.34,22,0.76,6,0.21,17,0.59,-,-,1,0.03,4,0.14,-,-,1,0.13,-,-,1,0.1,-,-,-,-,-,-
Fukushima,843,10.95,48,,24,0.52,121,2.63,211,4.59,24,0.52,49,1.07,3,0.07,38,0.83,-,-,4,0.09,25,0.54,-,-,22,1.83,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,2079,17.33,49,,39,0.52,248,3.31,434,5.79,28,0.37,27,0.36,2,0.03,15,0.2,-,-,3,0.04,2,0.03,-,-,20,1.18,-,-,-,-,4,0.31,-,-,-,-
Tochigi,1036,13.63,35,,21,0.44,62,1.29,217,4.52,24,0.5,21,0.44,15,0.31,17,0.35,1,0.02,-,-,2,0.04,-,-,11,0.92,1,0.14,-,-,6,0.86,-,-,-,-
Gunma,1288,13.7,29,,66,1.14,179,3.09,482,8.31,40,0.69,34,0.59,9,0.16,16,0.28,-,-,4,0.07,26,0.45,-,-,34,2.43,-,-,-,-,1,0.13,-,-,2,0.25
Saitama,5848,23.49,81,,98,0.63,434,2.78,1484,9.51,92,0.59,52,0.33,17,0.11,50,0.32,-,-,5,0.03,22,0.14,1,0.03,21,0.55,-,-,1,0.1,2,0.2,-,-,-,-
Chiba,3166,17.99,37,,41,0.36,246,2.18,700,6.19,40,0.35,44,0.39,6,0.05,23,0.2,2,0.02,2,0.02,12,0.11,1,0.04,15,0.56,-,-,1,0.11,3,0.33,1,0.11,-,-
Tokyo,6325,17.52,89,,136,0.62,573,2.59,2282,10.33,118,0.53,54,0.24,11,0.05,81,0.37,3,0.01,2,0.01,27,0.12,-,-,18,0.55,2,0.08,1,0.04,6,0.25,2,0.08,-,-
Kanagawa,4820,15.55,50,,170,0.88,515,2.65,1712,8.82,98,0.51,35,0.18,48,0.25,67,0.35,1,0.01,3,0.02,17,0.09,-,-,75,1.83,-,-,-,-,3,0.33,-,-,-,-
Niigata,1454,16.16,53,,111,1.95,206,3.61,427,7.49,43,0.75,27,0.47,11,0.19,24,0.42,3,0.05,13,0.23,42,0.74,1,0.1,22,2.2,-,-,-,-,10,0.77,-,-,-,-
Toyama,200,4.17,13,,70,2.41,38,1.31,258,8.9,4,0.14,22,0.76,-,-,8,0.28,-,-,2,0.07,-,-,-,-,2,0.29,1,0.2,-,-,3,0.6,-,-,-,-
Ishikawa,345,7.19,6,,40,1.38,100,3.45,260,8.97,30,1.03,11,0.38,4,0.14,10,0.34,-,-,-,-,5,0.17,-,-,1,0.14,-,-,-,-,5,1,-,-,-,-
Fukui,527,16.47,8,,22,1,85,3.86,164,7.45,3,0.14,17,0.77,1,0.05,5,0.23,2,0.09,5,0.23,6,0.27,-,-,2,0.67,2,0.33,-,-,-,-,-,-,-,-
Yamanashi,796,19.41,15,,13,0.54,47,1.96,235,9.79,4,0.17,22,0.92,1,0.04,7,0.29,2,0.08,-,-,1,0.04,-,-,4,0.44,-,-,-,-,2,0.2,-,-,-,-
Nagano,2207,27.25,71,,14,0.29,81,1.65,256,5.22,27,0.55,20,0.41,-,-,15,0.31,-,-,1,0.02,28,0.57,-,-,8,0.8,-,-,1,0.09,3,0.27,-,-,-,-
Gifu,1045,12.01,22,,40,0.78,50,0.98,295,5.78,14,0.27,20,0.39,-,-,8,0.16,3,0.06,1,0.02,5,0.1,-,-,6,0.55,-,-,-,-,2,0.4,-,-,-,-
Shizuoka,3118,22.43,38,,38,0.43,152,1.71,661,7.43,17,0.19,16,0.18,2,0.02,17,0.19,2,0.02,2,0.02,40,0.45,-,-,20,0.91,-,-,1,0.1,2,0.2,1,0.1,-,-
Aichi,3342,17.14,78,,74,0.41,294,1.62,1324,7.27,77,0.42,57,0.31,8,0.04,35,0.19,3,0.02,3,0.02,23,0.13,2,0.06,19,0.54,-,-,-,-,2,0.13,-,-,1,0.07
Mie,1303,18.1,39,,50,1.11,104,2.31,391,8.69,16,0.36,6,0.13,-,-,22,0.49,-,-,2,0.04,7,0.16,-,-,-,-,-,-,1,0.11,-,-,-,-,1,0.11
Shiga,1117,21.08,29,,9,0.28,49,1.53,217,6.78,14,0.44,12,0.38,1,0.03,10,0.31,-,-,1,0.03,5,0.16,-,-,1,0.13,1,0.14,-,-,1,0.14,-,-,-,-
Kyoto,1866,14.81,34,,19,0.25,147,1.91,473,6.14,26,0.34,21,0.27,4,0.05,10,0.13,-,-,4,0.05,9,0.12,-,-,4,0.24,-,-,-,-,5,0.71,-,-,-,-
Osaka,3283,10.73,205,,50,0.25,301,1.51,1063,5.32,85,0.43,54,0.27,14,0.07,37,0.19,-,-,22,0.11,21,0.11,-,-,20,0.38,-,-,-,-,2,0.12,-,-,2,0.12
Hyogo,2558,13.05,179,,65,0.51,199,1.57,967,7.61,59,0.46,25,0.2,6,0.05,41,0.32,-,-,4,0.03,18,0.14,-,-,26,0.74,-,-,-,-,2,0.14,-,-,-,-
Nara,688,12.74,63,,16,0.47,59,1.74,180,5.29,20,0.59,5,0.15,3,0.09,10,0.29,-,-,3,0.09,3,0.09,-,-,2,0.2,-,-,-,-,3,0.5,-,-,2,0.33
Wakayama,360,7.5,40,,14,0.47,36,1.2,156,5.2,3,0.1,3,0.1,-,-,8,0.27,-,-,2,0.07,13,0.43,2,0.5,1,0.25,-,-,-,-,3,0.27,-,-,4,0.36
Tottori,522,18,11,,7,0.37,156,8.21,116,6.11,8,0.42,10,0.53,1,0.05,7,0.37,1,0.05,-,-,-,-,-,-,3,0.6,-,-,-,-,-,-,-,-,-,-
Shimane,564,14.84,12,,9,0.39,81,3.52,160,6.96,6,0.26,19,0.83,-,-,12,0.52,-,-,-,-,12,0.52,-,-,-,-,-,-,1,0.13,-,-,-,-,3,0.38
Okayama,2286,27.21,22,,13,0.24,82,1.52,456,8.44,14,0.26,18,0.33,4,0.07,12,0.22,-,-,1,0.02,-,-,-,-,6,0.5,-,-,-,-,-,-,-,-,-,-
Hiroshima,2965,25.78,41,,38,0.53,177,2.46,702,9.75,24,0.33,19,0.26,3,0.04,20,0.28,-,-,2,0.03,9,0.13,1,0.05,14,0.74,-,-,1,0.05,3,0.14,-,-,3,0.14
Yamaguchi,1718,25.26,84,,10,0.21,157,3.27,360,7.5,13,0.27,18,0.38,-,-,19,0.4,-,-,-,-,8,0.17,-,-,8,0.89,1,0.11,1,0.11,5,0.56,-,-,2,0.22
Tokushima,717,19.38,35,,15,0.65,48,2.09,237,10.3,7,0.3,27,1.17,2,0.09,19,0.83,-,-,4,0.17,21,0.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,912,19.4,20,,15,0.54,70,2.5,220,7.86,10,0.36,25,0.89,-,-,11,0.39,-,-,5,0.18,4,0.14,-,-,2,0.4,-,-,-,-,5,1,-,-,-,-
Ehime,1430,23.44,22,,4,0.11,125,3.38,439,11.86,12,0.32,7,0.19,-,-,21,0.57,-,-,1,0.03,17,0.46,-,-,5,0.63,-,-,-,-,6,1,-,-,-,-
Kochi,567,11.81,23,,8,0.27,46,1.53,79,2.63,15,0.5,6,0.2,-,-,13,0.43,1,0.03,-,-,1,0.03,-,-,-,-,-,-,-,-,3,0.38,1,0.13,-,-
Fukuoka,5379,27.17,78,,72,0.6,397,3.31,1143,9.53,109,0.91,95,0.79,2,0.02,65,0.54,1,0.01,7,0.06,26,0.22,-,-,16,0.62,-,-,-,-,-,-,-,-,-,-
Saga,958,25.21,10,,16,0.73,38,1.73,165,7.5,6,0.27,49,2.23,-,-,16,0.73,-,-,-,-,2,0.09,-,-,4,1,1,0.17,-,-,3,0.5,-,-,1,0.17
Nagasaki,2136,30.51,15,,11,0.25,127,2.89,179,4.07,30,0.68,70,1.59,1,0.02,18,0.41,-,-,1,0.02,2,0.05,-,-,1,0.13,-,-,-,-,3,0.25,-,-,1,0.08
Kumamoto,2037,25.46,30,,50,1,48,0.96,435,8.7,23,0.46,33,0.66,-,-,21,0.42,-,-,5,0.1,4,0.08,-,-,22,2.44,-,-,1,0.07,2,0.13,-,-,-,-
Oita,2037,35.12,23,,26,0.72,63,1.75,580,16.11,25,0.69,13,0.36,1,0.03,15,0.42,-,-,3,0.08,30,0.83,-,-,4,0.8,-,-,-,-,2,0.18,-,-,1,0.09
Miyazaki,2663,45.14,36,,56,1.56,54,1.5,357,9.92,15,0.42,16,0.44,-,-,20,0.56,-,-,-,-,28,0.78,-,-,14,2.33,-,-,-,-,-,-,-,-,1,0.14
Kagoshima,2007,21.58,45,,73,1.33,114,2.07,505,9.18,37,0.67,31,0.56,3,0.05,21,0.38,-,-,4,0.07,62,1.13,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Okinawa,1561,26.91,12,,7,0.21,47,1.38,96,2.82,24,0.71,27,0.79,-,-,10,0.29,4,0.12,6,0.18,4,0.12,-,-,20,2.22,-,-,-,-,4,0.57,-,-,-,-
