"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2016",,,,,,"Data collected as of August 10, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,80,0.02,1082,,1309,0.42,4821,1.53,11310,3.59,875,0.28,2373,0.75,769,0.24,1558,0.49,73,0.02,11421,3.62,3682,1.17,6,0.01,559,0.81,14,0.03,35,0.07,438,0.93,5,0.01,7,0.01
Hokkaido,-,-,83,,58,0.41,289,2.04,196,1.38,56,0.39,63,0.44,41,0.29,51,0.36,3,0.02,481,3.39,168,1.18,-,-,10,0.36,1,0.04,-,-,31,1.35,1,0.04,-,-
Aomori,-,-,14,,14,0.33,59,1.4,102,2.43,7,0.17,8,0.19,11,0.26,18,0.43,-,-,42,1,17,0.4,-,-,6,0.55,-,-,-,-,3,0.5,-,-,1,0.17
Iwate,1,0.02,2,,25,0.63,112,2.8,118,2.95,5,0.13,15,0.38,3,0.08,23,0.58,-,-,66,1.65,16,0.4,-,-,9,0.64,-,-,-,-,9,0.47,-,-,1,0.05
Miyagi,-,-,16,,14,0.24,119,2.02,162,2.75,23,0.39,172,2.92,-,-,47,0.8,-,-,418,7.08,27,0.46,-,-,3,0.25,1,0.08,-,-,6,0.5,-,-,-,-
Akita,-,-,-,,6,0.17,44,1.26,62,1.77,7,0.2,22,0.63,9,0.26,9,0.26,5,0.14,45,1.29,6,0.17,-,-,1,0.14,-,-,-,-,6,0.75,-,-,-,-
Yamagata,-,-,17,,18,0.6,86,2.87,88,2.93,4,0.13,23,0.77,9,0.3,25,0.83,-,-,420,14,37,1.23,-,-,6,0.75,1,0.1,-,-,5,0.5,-,-,-,-
Fukushima,-,-,21,,21,0.46,55,1.2,59,1.28,13,0.28,20,0.43,30,0.65,33,0.72,-,-,284,6.17,6,0.13,-,-,15,1.25,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,5,0.04,2,,19,0.25,107,1.43,276,3.68,19,0.25,83,1.11,10,0.13,23,0.31,4,0.05,269,3.59,75,1,-,-,30,1.76,-,-,-,-,14,1.08,-,-,-,-
Tochigi,-,-,6,,9,0.19,36,0.75,57,1.19,12,0.25,38,0.79,34,0.71,25,0.52,-,-,350,7.29,36,0.75,-,-,10,0.83,-,-,-,-,7,1,-,-,-,-
Gunma,-,-,9,,23,0.4,103,1.81,187,3.28,16,0.28,12,0.21,19,0.33,25,0.44,1,0.02,295,5.18,57,1,-,-,8,0.57,-,-,-,-,12,1.5,-,-,-,-
Saitama,5,0.02,49,,51,0.32,296,1.85,606,3.79,71,0.44,147,0.92,29,0.18,65,0.41,1,0.01,926,5.79,210,1.31,-,-,17,0.41,-,-,2,0.2,5,0.5,-,-,-,-
Chiba,1,0,34,,47,0.35,344,2.55,388,2.87,39,0.29,302,2.24,24,0.18,56,0.41,8,0.06,714,5.29,110,0.81,-,-,28,0.8,-,-,4,0.44,12,1.33,-,-,-,-
Tokyo,5,0.01,93,,78,0.3,423,1.64,1139,4.41,86,0.33,261,1.01,48,0.19,145,0.56,7,0.03,1352,5.24,235,0.91,-,-,21,0.54,2,0.08,2,0.08,23,0.92,-,-,-,-
Kanagawa,5,0.02,51,,79,0.38,283,1.36,729,3.5,80,0.38,206,0.99,44,0.21,108,0.52,1,0,1013,4.87,277,1.33,2,0.04,110,2.29,-,-,-,-,6,0.67,-,-,-,-
Niigata,8,0.09,28,,26,0.45,71,1.22,208,3.59,11,0.19,29,0.5,8,0.14,27,0.47,8,0.14,636,10.97,152,2.62,1,0.1,5,0.5,1,0.08,-,-,5,0.38,2,0.15,-,-
Toyama,-,-,3,,6,0.21,20,0.69,113,3.9,9,0.31,13,0.45,6,0.21,13,0.45,-,-,147,5.07,65,2.24,-,-,1,0.14,-,-,-,-,7,1.4,-,-,-,-
Ishikawa,-,-,4,,7,0.24,52,1.79,87,3,1,0.03,17,0.59,2,0.07,8,0.28,-,-,116,4,31,1.07,-,-,1,0.14,-,-,-,-,5,1,-,-,1,0.2
Fukui,-,-,-,,34,1.55,44,2,83,3.77,3,0.14,1,0.05,6,0.27,7,0.32,1,0.05,78,3.55,14,0.64,-,-,-,-,-,-,-,-,7,1.17,-,-,-,-
