"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8th week, 2015",,,,,,"Data collected as of February 25, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,40817,8.26,1420,,980,0.31,9063,2.88,23744,7.54,1586,0.5,953,0.3,952,0.3,1345,0.43,29,0.01,58,0.02,958,0.3,7,0.01,277,0.4,8,0.02,11,0.02,94,0.2,5,0.01,147,0.31
Hokkaido,2458,10.83,69,,72,0.5,547,3.83,424,2.97,61,0.43,51,0.36,41,0.29,46,0.32,-,-,1,0.01,67,0.47,-,-,14,0.5,-,-,-,-,1,0.04,-,-,-,-
Aomori,602,9.26,12,,8,0.19,50,1.19,151,3.6,42,1,-,-,19,0.45,13,0.31,-,-,-,-,4,0.1,-,-,3,0.27,1,0.17,-,-,-,-,-,-,5,0.83
Iwate,812,12.49,20,,5,0.13,144,3.6,279,6.98,17,0.43,-,-,15,0.38,17,0.43,-,-,-,-,6,0.15,-,-,2,0.14,-,-,1,0.05,8,0.42,-,-,11,0.58
Miyagi,708,7.61,12,,16,0.28,199,3.43,689,11.88,65,1.12,1,0.02,47,0.81,26,0.45,-,-,1,0.02,8,0.14,-,-,5,0.42,1,0.08,-,-,7,0.58,-,-,4,0.33
Akita,638,11.81,1,,5,0.14,49,1.4,186,5.31,9,0.26,1,0.03,3,0.09,5,0.14,-,-,-,-,18,0.51,-,-,-,-,-,-,-,-,4,0.5,-,-,-,-
Yamagata,333,7.09,6,,18,0.62,184,6.34,278,9.59,17,0.59,35,1.21,6,0.21,21,0.72,-,-,-,-,20,0.69,-,-,-,-,-,-,-,-,-,-,-,-,1,0.1
Fukushima,684,9,20,,17,0.38,109,2.42,346,7.69,15,0.33,20,0.44,7,0.16,18,0.4,1,0.02,-,-,21,0.47,-,-,7,0.58,-,-,2,0.29,5,0.71,-,-,8,1.14
Ibaraki,659,5.49,10,,20,0.27,241,3.21,559,7.45,24,0.32,16,0.21,19,0.25,23,0.31,1,0.01,-,-,12,0.16,-,-,11,0.65,-,-,-,-,3,0.23,-,-,4,0.31
Tochigi,732,9.63,8,,9,0.19,82,1.71,230,4.79,13,0.27,9,0.19,7,0.15,28,0.58,1,0.02,-,-,8,0.17,-,-,3,0.25,-,-,-,-,-,-,-,-,3,0.43
Gunma,803,8.19,20,,17,0.28,196,3.27,364,6.07,13,0.22,31,0.52,11,0.18,27,0.45,-,-,2,0.03,20,0.33,-,-,11,0.79,-,-,-,-,2,0.25,-,-,3,0.38
Saitama,1567,6.32,42,,47,0.3,547,3.48,1398,8.9,138,0.88,11,0.07,66,0.42,76,0.48,1,0.01,-,-,78,0.5,-,-,17,0.41,1,0.1,-,-,4,0.4,-,-,7,0.7
