"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13th week, 2013",,,,,,"Data collected as of Aplir 3, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,21546,4.38,741,,917,0.29,5308,1.69,25151,8,3696,1.18,537,0.17,154,0.05,1604,0.51,37,0.01,90,0.03,797,0.25,14,0.02,347,0.51,9,0.02,8,0.02,220,0.48,12,0.03
Hokkaido,392,1.73,46,,62,0.43,397,2.78,529,3.7,182,1.27,1,0.01,6,0.04,51,0.36,1,0.01,1,0.01,21,0.15,-,-,8,0.28,-,-,-,-,7,0.32,-,-
Aomori,173,2.7,3,,6,0.15,45,1.1,217,5.29,37,0.9,-,-,-,-,15,0.37,-,-,-,-,12,0.29,-,-,9,0.82,-,-,-,-,12,2,-,-
Iwate,265,4.14,-,,5,0.13,56,1.4,192,4.8,36,0.9,-,-,7,0.18,18,0.45,-,-,1,0.03,28,0.7,-,-,3,0.23,-,-,-,-,12,0.63,1,0.05
Miyagi,205,2.2,7,,22,0.38,136,2.34,445,7.67,67,1.16,6,0.1,6,0.1,35,0.6,-,-,-,-,17,0.29,2,0.17,4,0.33,-,-,1,0.08,12,1,2,0.17
Akita,416,7.56,4,,5,0.14,35,1,198,5.66,18,0.51,3,0.09,1,0.03,11,0.31,-,-,-,-,33,0.94,-,-,1,0.14,-,-,-,-,10,1.25,-,-
Yamagata,87,1.85,7,,17,0.57,80,2.67,279,9.3,33,1.1,9,0.3,1,0.03,13,0.43,-,-,-,-,28,0.93,-,-,2,0.25,-,-,-,-,8,0.8,-,-
Fukushima,227,2.99,8,,7,0.16,96,2.13,268,5.96,44,0.98,6,0.13,3,0.07,20,0.44,1,0.02,-,-,21,0.47,-,-,4,0.33,-,-,-,-,4,0.57,-,-
Ibaraki,165,1.38,3,,20,0.27,106,1.41,690,9.2,102,1.36,10,0.13,6,0.08,20,0.27,-,-,-,-,10,0.13,-,-,19,1.12,-,-,-,-,4,0.31,-,-
Tochigi,77,1.03,1,,4,0.09,68,1.45,270,5.74,54,1.15,2,0.04,-,-,18,0.38,1,0.02,-,-,12,0.26,-,-,13,1.08,-,-,-,-,2,0.29,1,0.14
Gunma,262,2.67,3,,8,0.13,86,1.43,726,12.1,42,0.7,3,0.05,3,0.05,24,0.4,1,0.02,4,0.07,22,0.37,-,-,15,1.07,-,-,-,-,10,1.25,-,-
Saitama,408,1.71,17,,30,0.2,292,1.92,1586,10.43,167,1.1,15,0.1,3,0.02,92,0.61,1,0.01,4,0.03,49,0.32,2,0.05,25,0.61,-,-,-,-,11,1.22,-,-
Chiba,250,1.2,20,,55,0.42,346,2.62,1007,7.63,174,1.32,41,0.31,6,0.05,83,0.63,2,0.02,6,0.05,43,0.33,1,0.03,11,0.34,-,-,-,-,7,0.78,2,0.22
Tokyo,423,1.02,46,,66,0.25,568,2.18,2247,8.64,178,0.68,19,0.07,20,0.08,158,0.61,2,0.01,2,0.01,36,0.14,-,-,21,0.55,-,-,2,0.08,7,0.29,1,0.04
Kanagawa,544,1.67,12,,40,0.2,301,1.48,1514,7.42,204,1,10,0.05,9,0.04,135,0.66,1,0,2,0.01,55,0.27,-,-,37,0.84,1,0.14,-,-,1,0.14,-,-
Niigata,319,3.36,12,,17,0.28,221,3.68,443,7.38,66,1.1,39,0.65,19,0.32,33,0.55,5,0.08,2,0.03,6,0.1,-,-,8,0.8,-,-,-,-,4,0.31,2,0.15
Toyama,312,6.5,5,,19,0.66,119,4.1,217,7.48,34,1.17,8,0.28,7,0.24,11,0.38,-,-,2,0.07,2,0.07,-,-,-,-,-,-,-,-,9,1.8,-,-
Ishikawa,643,13.4,3,,5,0.17,143,4.93,168,5.79,37,1.28,8,0.28,1,0.03,14,0.48,-,-,-,-,6,0.21,-,-,-,-,-,-,-,-,2,0.4,-,-
