"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2017",,,,,,"Data collected as of May 31, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,75,0.38,20,,113,0.62,422,2.32,1046,5.75,100,0.55,129,0.71,9,0.05,78,0.43,1,0.01,10,0.05,68,0.37,-,-,23,0.66,-,-,1,0.07,6,0.4,-,-,3,0.2
Mie,5,0.07,8,,65,1.44,105,2.33,397,8.82,19,0.42,31,0.69,-,-,24,0.53,-,-,8,0.18,16,0.36,-,-,1,0.08,-,-,-,-,3,0.33,-,-,-,-
Shiga,21,0.4,2,,26,0.81,61,1.91,259,8.09,18,0.56,69,2.16,-,-,18,0.56,-,-,9,0.28,11,0.34,1,0.13,2,0.25,-,-,-,-,2,0.29,-,-,1,0.14
Kyoto,36,0.29,2,,80,1.05,210,2.76,657,8.64,12,0.16,190,2.5,4,0.05,35,0.46,-,-,28,0.37,25,0.33,-,-,5,0.28,1,0.14,-,-,-,-,-,-,3,0.43
Osaka,90,0.29,54,,223,1.12,722,3.61,1628,8.14,82,0.41,454,2.27,13,0.07,122,0.61,2,0.01,63,0.32,94,0.47,3,0.06,20,0.38,-,-,-,-,3,0.18,-,-,12,0.71
Hyogo,49,0.25,17,,159,1.23,300,2.33,1239,9.6,56,0.43,159,1.23,21,0.16,58,0.45,-,-,32,0.25,75,0.58,-,-,15,0.43,-,-,2,0.14,3,0.21,-,-,15,1.07
Nara,14,0.26,5,,54,1.59,84,2.47,273,8.03,12,0.35,26,0.76,3,0.09,20,0.59,-,-,9,0.26,20,0.59,-,-,11,1.1,-,-,2,0.33,3,0.5,-,-,3,0.5
Wakayama,3,0.06,6,,13,0.43,27,0.9,184,6.13,13,0.43,26,0.87,-,-,13,0.43,-,-,8,0.27,36,1.2,-,-,22,5.5,-,-,-,-,1,0.09,-,-,4,0.36
Tottori,3,0.1,4,,21,1.11,162,8.53,127,6.68,7,0.37,9,0.47,-,-,5,0.26,-,-,8,0.42,15,0.79,-,-,5,1,-,-,1,0.2,-,-,-,-,6,1.2
Shimane,20,0.53,1,,20,0.87,65,2.83,138,6,6,0.26,11,0.48,10,0.43,21,0.91,-,-,4,0.17,38,1.65,-,-,-,-,-,-,1,0.13,1,0.13,-,-,1,0.13
Okayama,40,0.48,4,,31,0.57,60,1.11,338,6.26,28,0.52,44,0.81,1,0.02,28,0.52,1,0.02,21,0.39,23,0.43,-,-,23,1.92,-,-,-,-,1,0.2,-,-,2,0.4
Hiroshima,15,0.13,4,,74,1.03,259,3.6,478,6.64,24,0.33,177,2.46,8,0.11,36,0.5,2,0.03,21,0.29,18,0.25,-,-,16,0.84,1,0.05,-,-,-,-,-,-,3,0.14
Yamaguchi,33,0.49,7,,31,0.65,172,3.58,288,6,14,0.29,64,1.33,1,0.02,27,0.56,3,0.06,24,0.5,48,1,-,-,15,1.67,-,-,-,-,2,0.22,-,-,4,0.44
Tokushima,4,0.11,5,,20,0.87,67,2.91,142,6.17,11,0.48,7,0.3,-,-,18,0.78,-,-,6,0.26,15,0.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,14,0.3,12,,31,1.11,97,3.46,184,6.57,11,0.39,71,2.54,2,0.07,21,0.75,-,-,14,0.5,14,0.5,-,-,2,0.4,-,-,-,-,-,-,-,-,5,1
Ehime,46,0.75,3,,33,0.89,113,3.05,368,9.95,8,0.22,77,2.08,10,0.27,24,0.65,-,-,5,0.14,52,1.41,-,-,12,1.5,-,-,-,-,3,0.5,-,-,6,1
Kochi,21,0.44,-,,10,0.33,66,2.2,137,4.57,18,0.6,32,1.07,3,0.1,12,0.4,-,-,6,0.2,3,0.1,-,-,-,-,-,-,-,-,3,0.38,-,-,13,1.63
Fukuoka,119,0.6,39,,110,0.92,654,5.45,904,7.53,107,0.89,345,2.88,37,0.31,98,0.82,-,-,209,1.74,65,0.54,-,-,20,0.77,-,-,-,-,3,0.2,-,-,2,0.13
Saga,14,0.36,9,,23,1,55,2.39,115,5,11,0.48,94,4.09,1,0.04,16,0.7,-,-,5,0.22,5,0.22,-,-,1,0.25,-,-,-,-,-,-,-,-,5,0.83
Nagasaki,63,0.9,5,,26,0.59,144,3.27,207,4.7,23,0.52,51,1.16,-,-,26,0.59,-,-,3,0.07,21,0.48,-,-,2,0.25,-,-,3,0.25,2,0.17,-,-,8,0.67
Kumamoto,183,2.29,1,,24,0.48,201,4.02,439,8.78,19,0.38,124,2.48,4,0.08,37,0.74,-,-,36,0.72,12,0.24,1,0.11,15,1.67,-,-,1,0.07,-,-,-,-,3,0.2
Oita,127,2.19,2,,14,0.39,177,4.92,387,10.75,30,0.83,41,1.14,1,0.03,39,1.08,-,-,25,0.69,14,0.39,-,-,6,1.2,-,-,-,-,1,0.09,-,-,1,0.09
Miyazaki,34,0.58,1,,36,1,115,3.19,353,9.81,31,0.86,125,3.47,7,0.19,46,1.28,-,-,13,0.36,10,0.28,-,-,16,2.67,-,-,-,-,-,-,-,-,4,0.57
Kagoshima,95,1.02,15,,102,1.85,124,2.25,493,8.96,18,0.33,89,1.62,3,0.05,26,0.47,-,-,20,0.36,64,1.16,-,-,10,1.43,-,-,1,0.08,2,0.17,-,-,5,0.42
Okinawa,375,6.58,96,,38,1.12,36,1.06,115,3.38,15,0.44,10,0.29,6,0.18,12,0.35,4,0.12,9,0.26,11,0.32,-,-,8,0.89,-,-,-,-,1,0.14,-,-,1,0.14
