"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31th week, 2013",,,,,,"Data collected as of August 7, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,103,0.02,1109,,1815,0.58,2982,0.95,10180,3.24,2077,0.66,27187,8.66,188,0.06,2011,0.64,37,0.01,10255,3.26,884,0.28,10,0.01,465,0.68,8,0.02,45,0.1,180,0.39,13,0.03
Hokkaido,-,-,111,,139,0.97,208,1.45,207,1.45,154,1.08,186,1.3,1,0.01,81,0.57,1,0.01,86,0.6,7,0.05,-,-,15,0.52,-,-,-,-,14,0.61,-,-
Aomori,-,-,15,,2,0.05,25,0.61,48,1.17,32,0.78,125,3.05,1,0.02,10,0.24,-,-,91,2.22,17,0.41,-,-,3,0.27,-,-,-,-,7,1.17,-,-
Iwate,-,-,-,,1,0.03,42,1.08,74,1.9,27,0.69,162,4.15,4,0.1,20,0.51,1,0.03,106,2.72,26,0.67,-,-,5,0.36,-,-,1,0.05,13,0.68,-,-
Miyagi,1,0.01,52,,19,0.33,86,1.48,162,2.79,67,1.16,324,5.59,18,0.31,47,0.81,-,-,270,4.66,48,0.83,-,-,5,0.42,-,-,-,-,15,1.25,-,-
Akita,-,-,-,,6,0.18,18,0.55,74,2.24,21,0.64,47,1.42,2,0.06,9,0.27,-,-,35,1.06,21,0.64,-,-,1,0.14,-,-,-,-,3,0.38,-,-
Yamagata,-,-,2,,5,0.17,37,1.23,64,2.13,23,0.77,176,5.87,-,-,14,0.47,-,-,269,8.97,17,0.57,-,-,-,-,1,0.1,-,-,5,0.5,-,-
Fukushima,-,-,25,,13,0.29,42,0.93,57,1.27,31,0.69,284,6.31,4,0.09,26,0.58,-,-,155,3.44,30,0.67,-,-,6,0.5,-,-,-,-,3,0.43,2,0.29
Ibaraki,1,0.01,17,,34,0.45,85,1.13,492,6.56,35,0.47,706,9.41,2,0.03,28,0.37,-,-,155,2.07,16,0.21,1,0.06,32,1.88,-,-,2,0.15,2,0.15,-,-
