"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39th week, 2018",,,,,,"Data collected as of October 3, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,2,0.03,129,2.87,6,0.13,38,0.84,151,3.36,13,0.29,14,0.31,3,0.07,16,0.36,89,1.98,3,0.07,-,-,1,0.08,1,0.11,-,-,5,0.56,-,-,-,-
Shiga,7,0.13,52,1.63,3,0.09,22,0.69,82,2.56,11,0.34,23,0.72,1,0.03,9,0.28,10,0.31,3,0.09,-,-,9,1.13,-,-,1,0.14,-,-,-,-,-,-
Kyoto,6,0.05,111,1.44,3,0.04,60,0.78,199,2.58,24,0.31,45,0.58,2,0.03,10,0.13,29,0.38,5,0.06,-,-,13,0.72,1,0.14,-,-,-,-,-,-,-,-
Osaka,45,0.15,504,2.52,56,0.28,304,1.52,572,2.86,58,0.29,142,0.71,25,0.13,65,0.33,179,0.9,21,0.11,-,-,47,0.9,-,-,-,-,8,0.47,-,-,-,-
Hyogo,15,0.08,252,1.95,15,0.12,101,0.78,450,3.49,55,0.43,116,0.9,7,0.05,42,0.33,69,0.53,13,0.1,-,-,28,0.8,1,0.07,-,-,3,0.21,-,-,-,-
Nara,2,0.04,105,3.09,18,0.53,29,0.85,75,2.21,6,0.18,33,0.97,4,0.12,5,0.15,15,0.44,1,0.03,-,-,19,1.9,-,-,1,0.17,1,0.17,-,-,-,-
Wakayama,1,0.02,71,2.37,3,0.1,15,0.5,35,1.17,4,0.13,26,0.87,6,0.2,13,0.43,17,0.57,3,0.1,-,-,2,0.5,-,-,-,-,1,0.09,1,0.09,-,-
Tottori,1,0.03,45,2.37,5,0.26,60,3.16,53,2.79,1,0.05,29,1.53,1,0.05,7,0.37,14,0.74,-,-,-,-,2,0.4,-,-,1,0.2,-,-,-,-,-,-
Shimane,-,-,33,1.5,3,0.14,21,0.95,79,3.59,5,0.23,47,2.14,1,0.05,8,0.36,10,0.45,1,0.05,-,-,5,1.67,-,-,1,0.13,2,0.25,-,-,-,-
Okayama,3,0.04,76,1.41,8,0.15,36,0.67,228,4.22,17,0.31,29,0.54,4,0.07,13,0.24,29,0.54,9,0.17,-,-,6,0.5,-,-,-,-,1,0.2,-,-,-,-
Hiroshima,15,0.13,111,1.54,11,0.15,81,1.13,286,3.97,8,0.11,74,1.03,8,0.11,15,0.21,35,0.49,14,0.19,-,-,24,1.26,-,-,-,-,1,0.05,-,-,-,-
Yamaguchi,1,0.01,106,2.26,1,0.02,62,1.32,156,3.32,3,0.06,29,0.62,8,0.17,21,0.45,19,0.4,6,0.13,-,-,12,1.33,-,-,1,0.11,-,-,-,-,-,-
Tokushima,-,-,96,4.17,1,0.04,18,0.78,78,3.39,-,-,30,1.3,1,0.04,18,0.78,43,1.87,1,0.04,-,-,2,0.5,-,-,-,-,2,0.29,-,-,-,-
Kagawa,-,-,98,3.5,8,0.29,30,1.07,88,3.14,9,0.32,49,1.75,-,-,10,0.36,64,2.29,5,0.18,-,-,3,0.6,-,-,-,-,-,-,-,-,-,-
Ehime,8,0.13,118,3.19,3,0.08,50,1.35,131,3.54,8,0.22,117,3.16,5,0.14,9,0.24,32,0.86,3,0.08,-,-,14,1.75,-,-,-,-,4,0.67,-,-,-,-
Kochi,3,0.06,97,3.23,16,0.53,21,0.7,46,1.53,-,-,22,0.73,3,0.1,3,0.1,56,1.87,1,0.03,-,-,4,1.33,-,-,-,-,3,0.38,-,-,-,-
Fukuoka,32,0.16,257,2.14,53,0.44,273,2.28,649,5.41,30,0.25,129,1.08,13,0.11,70,0.58,123,1.03,34,0.28,-,-,49,1.88,-,-,2,0.13,3,0.2,-,-,-,-
Saga,2,0.05,78,3.39,7,0.3,18,0.78,63,2.74,3,0.13,18,0.78,1,0.04,17,0.74,16,0.7,1,0.04,-,-,3,0.75,-,-,-,-,-,-,-,-,-,-
Nagasaki,8,0.11,53,1.2,23,0.52,46,1.05,95,2.16,10,0.23,19,0.43,2,0.05,18,0.41,13,0.3,5,0.11,-,-,5,0.63,-,-,2,0.17,-,-,-,-,-,-
Kumamoto,28,0.35,125,2.5,10,0.2,53,1.06,249,4.98,6,0.12,42,0.84,-,-,20,0.4,91,1.82,5,0.1,1,0.11,27,3,1,0.07,-,-,2,0.13,-,-,-,-
Oita,7,0.12,52,1.44,15,0.42,32,0.89,229,6.36,11,0.31,41,1.14,2,0.06,14,0.39,48,1.33,23,0.64,-,-,7,1.4,-,-,-,-,3,0.27,-,-,-,-
Miyazaki,4,0.07,131,3.74,19,0.54,29,0.83,319,9.11,15,0.43,22,0.63,-,-,27,0.77,58,1.66,12,0.34,-,-,26,4.33,-,-,-,-,-,-,-,-,-,-
Kagoshima,23,0.25,137,2.54,59,1.09,99,1.83,249,4.61,11,0.2,20,0.37,3,0.06,37,0.69,115,2.13,15,0.28,-,-,19,2.71,-,-,-,-,1,0.08,-,-,-,-
Okinawa,214,3.69,20,0.59,12,0.35,28,0.82,132,3.88,19,0.56,103,3.03,4,0.12,15,0.44,8,0.24,4,0.12,-,-,48,5.33,-,-,1,0.14,1,0.14,-,-,2,0.29
