"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39th week, 2012",,,,,,"Data collected as of October 3, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,692,0.14,4706,,800,0.25,2950,0.94,9703,3.08,1418,0.45,3003,0.95,159,0.05,2052,0.65,80,0.03,1591,0.51,1202,0.38,6,0.01,415,0.61,5,0.01,26,0.06,545,1.18,16,0.03
Hokkaido,-,-,66,,38,0.27,273,1.91,164,1.15,42,0.29,479,3.35,-,-,61,0.43,7,0.05,117,0.82,9,0.06,-,-,14,0.48,-,-,-,-,15,0.65,-,-
Aomori,-,-,27,,2,0.05,18,0.44,28,0.68,12,0.29,73,1.78,-,-,10,0.24,1,0.02,52,1.27,10,0.24,1,0.09,5,0.45,-,-,-,-,12,2,-,-
Iwate,-,-,64,,2,0.05,23,0.58,52,1.3,13,0.33,163,4.08,13,0.33,15,0.38,1,0.03,33,0.83,46,1.15,1,0.07,13,0.93,-,-,-,-,33,1.74,-,-
Miyagi,-,-,29,,5,0.09,73,1.26,254,4.38,33,0.57,292,5.03,4,0.07,45,0.78,2,0.03,71,1.22,45,0.78,-,-,3,0.25,-,-,-,-,37,3.08,-,-
Akita,3,0.05,45,,11,0.31,8,0.23,86,2.46,17,0.49,104,2.97,1,0.03,9,0.26,1,0.03,38,1.09,5,0.14,-,-,2,0.29,-,-,-,-,2,0.25,-,-
Yamagata,-,-,60,,12,0.4,40,1.33,67,2.23,23,0.77,222,7.4,2,0.07,13,0.43,-,-,69,2.3,43,1.43,-,-,-,-,-,-,-,-,2,0.2,-,-
Fukushima,10,0.13,78,,2,0.04,38,0.79,64,1.33,14,0.29,93,1.94,6,0.13,25,0.52,1,0.02,17,0.35,5,0.1,-,-,3,0.25,-,-,3,0.43,13,1.86,-,-
Ibaraki,5,0.04,97,,15,0.2,71,0.95,216,2.88,17,0.23,60,0.8,5,0.07,33,0.44,2,0.03,9,0.12,6,0.08,-,-,16,0.94,1,0.08,-,-,16,1.23,-,-
Tochigi,5,0.07,70,,5,0.1,32,0.67,63,1.31,12,0.25,59,1.23,2,0.04,27,0.56,3,0.06,-,-,20,0.42,-,-,9,0.75,-,-,-,-,37,5.29,3,0.43
Gunma,15,0.15,66,,12,0.2,32,0.53,191,3.18,21,0.35,20,0.33,3,0.05,44,0.73,1,0.02,21,0.35,29,0.48,-,-,14,1,-,-,1,0.13,38,4.75,-,-
Saitama,6,0.02,175,,41,0.26,190,1.2,517,3.27,60,0.38,190,1.2,7,0.04,118,0.75,1,0.01,68,0.43,58,0.37,1,0.02,12,0.29,-,-,-,-,27,3,-,-
Chiba,5,0.02,160,,32,0.24,145,1.1,363,2.75,40,0.3,83,0.63,5,0.04,88,0.67,6,0.05,59,0.45,44,0.33,-,-,24,0.71,-,-,-,-,13,1.44,-,-
Tokyo,15,0.04,569,,133,0.51,290,1.12,975,3.75,103,0.4,133,0.51,5,0.02,187,0.72,7,0.03,154,0.59,58,0.22,-,-,17,0.45,-,-,3,0.12,29,1.16,2,0.08
Kanagawa,23,0.07,157,,58,0.29,150,0.74,561,2.78,106,0.52,221,1.09,11,0.05,177,0.88,5,0.02,120,0.59,72,0.36,-,-,51,1.16,-,-,-,-,4,0.57,-,-
Niigata,1,0.01,94,,16,0.27,72,1.2,72,1.2,33,0.55,77,1.28,3,0.05,33,0.55,8,0.13,101,1.68,24,0.4,-,-,-,-,-,-,-,-,7,0.58,8,0.67
Toyama,5,0.1,68,,4,0.14,34,1.17,114,3.93,23,0.79,14,0.48,2,0.07,11,0.38,1,0.03,31,1.07,3,0.1,-,-,1,0.14,-,-,-,-,6,1.2,-,-
Ishikawa,-,-,78,,1,0.03,29,1,103,3.55,12,0.41,52,1.79,1,0.03,16,0.55,-,-,7,0.24,6,0.21,-,-,2,0.29,-,-,-,-,6,1.2,-,-
Fukui,1,0.03,75,,4,0.18,41,1.86,87,3.95,-,-,26,1.18,1,0.05,10,0.45,-,-,7,0.32,5,0.23,-,-,-,-,-,-,1,0.17,2,0.33,-,-
Yamanashi,2,0.05,2,,1,0.04,25,1.04,64,2.67,17,0.71,13,0.54,1,0.04,11,0.46,-,-,5,0.21,2,0.08,-,-,4,0.44,-,-,-,-,10,1,-,-
Nagano,2,0.02,8,,12,0.22,60,1.09,142,2.58,26,0.47,24,0.44,2,0.04,26,0.47,-,-,46,0.84,6,0.11,-,-,5,0.45,-,-,1,0.09,19,1.73,-,-
Gifu,7,0.08,42,,20,0.38,29,0.55,133,2.51,17,0.32,3,0.06,8,0.15,30,0.57,2,0.04,6,0.11,60,1.13,-,-,8,0.73,-,-,-,-,20,4,-,-
Shizuoka,8,0.06,135,,27,0.3,47,0.53,297,3.34,51,0.57,36,0.4,3,0.03,55,0.62,1,0.01,28,0.31,20,0.22,-,-,9,0.41,2,0.22,1,0.11,18,2,-,-
Aichi,3,0.02,113,,40,0.22,107,0.59,561,3.1,55,0.3,47,0.26,13,0.07,113,0.62,3,0.02,43,0.24,76,0.42,-,-,17,0.5,2,0.14,2,0.14,37,2.64,-,-
Mie,6,0.08,36,,15,0.33,19,0.42,162,3.6,20,0.44,19,0.42,-,-,49,1.09,2,0.04,9,0.2,41,0.91,-,-,2,0.17,-,-,-,-,8,0.89,-,-
Shiga,1,0.02,17,,7,0.22,41,1.28,99,3.09,8,0.25,6,0.19,-,-,17,0.53,-,-,18,0.56,4,0.13,-,-,2,0.25,-,-,-,-,5,0.71,1,0.14
Kyoto,4,0.03,62,,6,0.08,49,0.66,204,2.76,34,0.46,14,0.19,3,0.04,42,0.57,1,0.01,29,0.39,16,0.22,-,-,11,0.61,-,-,-,-,1,0.17,-,-
Osaka,4,0.01,359,,56,0.28,270,1.36,653,3.28,98,0.49,47,0.24,9,0.05,137,0.69,6,0.03,68,0.34,43,0.22,1,0.02,16,0.31,-,-,2,0.12,19,1.12,-,-
Hyogo,3,0.02,120,,12,0.09,82,0.64,504,3.91,57,0.44,9,0.07,5,0.04,65,0.5,1,0.01,48,0.37,20,0.16,1,0.03,14,0.4,-,-,2,0.2,10,1,1,0.1
Nara,5,0.09,32,,6,0.17,11,0.31,56,1.6,5,0.14,6,0.17,2,0.06,14,0.4,2,0.06,6,0.17,3,0.09,-,-,3,0.33,-,-,-,-,2,0.33,-,-
Wakayama,-,-,18,,4,0.13,13,0.42,36,1.16,20,0.65,4,0.13,1,0.03,21,0.68,-,-,11,0.35,6,0.19,-,-,2,0.5,-,-,-,-,14,1.27,-,-
Tottori,-,-,24,,3,0.16,25,1.32,91,4.79,9,0.47,-,-,1,0.05,10,0.53,1,0.05,2,0.11,4,0.21,-,-,-,-,-,-,1,0.2,6,1.2,-,-
Shimane,1,0.03,52,,4,0.17,8,0.35,111,4.83,6,0.26,2,0.09,1,0.04,20,0.87,-,-,14,0.61,6,0.26,-,-,-,-,-,-,1,0.13,5,0.63,-,-
Okayama,1,0.01,56,,3,0.06,24,0.44,221,4.09,18,0.33,9,0.17,-,-,24,0.44,1,0.02,36,0.67,19,0.35,-,-,10,0.83,-,-,-,-,4,0.8,-,-
Hiroshima,-,-,129,,9,0.13,54,0.75,208,2.89,59,0.82,8,0.11,-,-,41,0.57,1,0.01,18,0.25,22,0.31,-,-,10,0.53,-,-,2,0.1,8,0.38,-,-
Yamaguchi,-,-,158,,2,0.04,93,1.94,132,2.75,18,0.38,4,0.08,2,0.04,35,0.73,2,0.04,24,0.5,19,0.4,-,-,4,0.44,-,-,-,-,11,1.22,-,-
Tokushima,-,-,19,,4,0.17,22,0.96,79,3.43,17,0.74,1,0.04,5,0.22,19,0.83,-,-,13,0.57,7,0.3,-,-,1,0.25,-,-,1,0.2,1,0.2,-,-
Kagawa,-,-,37,,2,0.07,4,0.13,136,4.53,6,0.2,26,0.87,3,0.1,21,0.7,-,-,24,0.8,8,0.27,-,-,2,0.67,-,-,-,-,3,0.6,-,-
Ehime,1,0.02,56,,4,0.11,39,1.05,146,3.95,27,0.73,7,0.19,10,0.27,26,0.7,-,-,26,0.7,22,0.59,-,-,12,1.5,-,-,1,0.17,2,0.33,-,-
Kochi,-,-,29,,-,-,16,0.53,67,2.23,28,0.93,5,0.17,9,0.3,13,0.43,2,0.07,9,0.3,8,0.27,-,-,1,0.33,-,-,1,0.13,4,0.5,-,-
Fukuoka,3,0.02,496,,34,0.28,114,0.95,519,4.33,57,0.48,33,0.28,2,0.02,106,0.88,6,0.05,26,0.22,100,0.83,-,-,15,0.58,-,-,-,-,2,0.13,-,-
Saga,-,-,118,,7,0.3,27,1.17,31,1.35,9,0.39,3,0.13,-,-,17,0.74,-,-,10,0.43,24,1.04,-,-,4,1,-,-,-,-,2,0.33,-,-
Nagasaki,9,0.13,68,,11,0.25,31,0.7,118,2.68,45,1.02,8,0.18,-,-,34,0.77,-,-,1,0.02,22,0.5,-,-,6,0.75,-,-,-,-,5,0.42,-,-
