"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10th week, 2015",,,,,,"Data collected as of March 11, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,21323,4.32,1361,,996,0.32,9793,3.11,25407,8.07,1613,0.51,1276,0.41,1178,0.37,1463,0.46,34,0.01,60,0.02,1038,0.33,7,0.01,273,0.4,6,0.01,12,0.03,107,0.23,14,0.03,201,0.42
Hokkaido,1632,7.19,73,,73,0.51,656,4.59,603,4.22,73,0.51,52,0.36,55,0.38,37,0.26,-,-,-,-,64,0.45,1,0.04,1,0.04,-,-,1,0.04,3,0.13,-,-,15,0.65
Aomori,355,5.46,16,,11,0.26,84,2,190,4.52,21,0.5,3,0.07,21,0.5,10,0.24,-,-,1,0.02,1,0.02,-,-,11,1,-,-,2,0.33,-,-,-,-,10,1.67
Iwate,482,7.42,13,,9,0.23,119,2.98,336,8.4,34,0.85,-,-,7,0.18,16,0.4,-,-,1,0.03,2,0.05,-,-,3,0.21,-,-,-,-,3,0.16,2,0.11,16,0.84
Miyagi,460,4.95,9,,17,0.29,177,3.05,630,10.86,26,0.45,6,0.1,40,0.69,26,0.45,-,-,2,0.03,13,0.22,-,-,1,0.08,-,-,-,-,9,0.75,-,-,4,0.33
Akita,318,5.89,2,,9,0.26,59,1.69,149,4.26,13,0.37,1,0.03,2,0.06,7,0.2,-,-,-,-,20,0.57,-,-,3,0.43,-,-,-,-,4,0.5,-,-,-,-
Yamagata,315,6.56,1,,35,1.17,205,6.83,362,12.07,28,0.93,49,1.63,10,0.33,11,0.37,-,-,-,-,15,0.5,-,-,-,-,-,-,-,-,-,-,-,-,1,0.1
Fukushima,347,4.57,21,,14,0.31,114,2.53,305,6.78,20,0.44,16,0.36,16,0.36,16,0.36,2,0.04,-,-,25,0.56,-,-,3,0.25,-,-,-,-,3,0.43,-,-,10,1.43
Ibaraki,333,2.78,18,,12,0.16,238,3.17,507,6.76,28,0.37,8,0.11,27,0.36,26,0.35,1,0.01,2,0.03,21,0.28,-,-,12,0.71,-,-,-,-,-,-,-,-,-,-
Tochigi,255,3.36,11,,8,0.17,63,1.31,204,4.25,17,0.35,13,0.27,16,0.33,29,0.6,1,0.02,-,-,8,0.17,-,-,7,0.58,1,0.14,-,-,3,0.43,-,-,3,0.43
Gunma,401,4.09,18,,20,0.33,220,3.67,409,6.82,18,0.3,20,0.33,24,0.4,29,0.48,-,-,-,-,16,0.27,-,-,21,1.5,1,0.13,-,-,2,0.25,-,-,4,0.5
