"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52nd week, 2012",,,,,,"Data collected as of January 8, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,16419,3.35,3805,,1344,0.43,4761,1.52,35664,11.39,6279,2,1003,0.32,162,0.05,1317,0.42,39,0.01,133,0.04,879,0.28,8,0.01,369,0.55,10,0.02,14,0.03,413,0.89,19,0.04
Hokkaido,650,2.86,320,,130,0.91,340,2.38,713,4.99,302,2.11,33,0.23,6,0.04,35,0.24,5,0.03,7,0.05,13,0.09,-,-,7,0.24,-,-,-,-,19,0.83,-,-
Aomori,39,0.61,21,,6,0.15,58,1.41,290,7.07,79,1.93,4,0.1,1,0.02,14,0.34,-,-,1,0.02,16,0.39,-,-,7,0.64,-,-,-,-,18,3,-,-
Iwate,411,6.42,61,,3,0.08,43,1.08,273,6.83,48,1.2,17,0.43,10,0.25,14,0.35,-,-,1,0.03,54,1.35,-,-,7,0.5,-,-,-,-,38,2,-,-
Miyagi,132,1.42,59,,18,0.31,80,1.38,527,9.09,198,3.41,21,0.36,5,0.09,37,0.64,-,-,2,0.03,37,0.64,-,-,5,0.42,1,0.08,-,-,31,2.58,-,-
Akita,97,1.76,13,,21,0.6,43,1.23,257,7.34,84,2.4,10,0.29,-,-,8,0.23,-,-,-,-,12,0.34,2,0.29,2,0.29,-,-,-,-,15,1.88,-,-
Yamagata,64,1.33,31,,31,1.03,84,2.8,441,14.7,85,2.83,23,0.77,1,0.03,22,0.73,-,-,1,0.03,42,1.4,-,-,1,0.13,-,-,-,-,8,0.8,1,0.1
Fukushima,384,4.8,98,,7,0.15,70,1.46,399,8.31,123,2.56,46,0.96,5,0.1,16,0.33,-,-,2,0.04,7,0.15,-,-,3,0.25,-,-,-,-,26,3.71,1,0.14
Ibaraki,732,6.1,35,,42,0.56,93,1.24,1289,17.19,96,1.28,91,1.21,8,0.11,23,0.31,2,0.03,1,0.01,8,0.11,1,0.06,32,1.88,-,-,-,-,5,0.38,-,-
