"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23rd week, 2018",,,,,,"Data collected as of June 13, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,50195,363.73,504,5.66,524,5.89,3687,41.43,9867,110.87,378,4.25,180,2.02,178,2,651,7.31,104,1.17,533,5.99,5,0.23,258,11.73,3,0.33,13,1.44,24,2.67,4,0.44,17,1.89
Aichi,79497,407.68,918,5.04,959,5.27,7713,42.38,19698,108.23,1147,6.3,321,1.76,143,0.79,1398,7.68,74,0.41,502,2.76,3,0.09,334,9.54,6,0.4,8,0.53,51,3.4,1,0.07,141,9.4
Mie,26652,375.38,440,10,519,11.8,2472,56.18,5747,130.61,251,5.7,94,2.14,22,0.5,462,10.5,58,1.32,126,2.86,3,0.25,23,1.92,5,0.56,7,0.78,19,2.11,2,0.22,15,1.67
Shiga,17539,337.29,150,4.84,205,6.61,927,29.9,2945,95,254,8.19,180,5.81,27,0.87,241,7.77,43,1.39,169,5.45,1,0.13,68,8.5,3,0.43,6,0.86,4,0.57,-,-,11,1.57
Kyoto,39690,317.52,299,3.93,451,5.93,2583,33.99,8838,116.29,353,4.64,235,3.09,57,0.75,519,6.83,114,1.5,128,1.68,3,0.18,142,8.35,3,0.43,1,0.14,19,2.71,-,-,51,7.29
Osaka,88575,292.33,2171,11.02,1788,9.08,9540,48.43,27384,139.01,1637,8.31,375,1.9,309,1.57,1953,9.91,154,0.78,591,3,23,0.44,471,9.06,9,0.53,12,0.71,39,2.29,2,0.12,173,10.18
Hyogo,65044,328.51,1057,8.26,1246,9.73,4319,33.74,18088,141.31,963,7.52,222,1.73,73,0.57,1044,8.16,58,0.45,294,2.3,29,0.83,477,13.63,19,1.36,12,0.86,40,2.86,2,0.14,102,7.29
Nara,15647,289.76,247,7.26,294,8.65,1494,43.94,4554,133.94,215,6.32,99,2.91,109,3.21,311,9.15,64,1.88,43,1.26,1,0.1,74,7.4,10,1.67,4,0.67,18,3,-,-,54,9
Wakayama,14522,302.54,179,5.97,245,8.17,750,25,2295,76.5,196,6.53,21,0.7,24,0.8,272,9.07,92,3.07,91,3.03,52,13,18,4.5,3,0.27,5,0.45,21,1.91,4,0.36,49,4.45
Tottori,10869,374.79,112,5.89,224,11.79,2408,126.74,3252,171.16,98,5.16,45,2.37,17,0.89,189,9.95,8,0.42,24,1.26,3,0.6,20,4,4,0.8,3,0.6,9,1.8,-,-,51,10.2
Shimane,9977,262.55,152,6.61,145,6.3,1345,58.48,3473,151,100,4.35,167,7.26,8,0.35,282,12.26,37,1.61,100,4.35,-,-,4,1.33,2,0.25,2,0.25,6,0.75,-,-,46,5.75
Okayama,28326,337.21,150,2.78,289,5.35,2304,42.67,8703,161.17,378,7,192,3.56,76,1.41,447,8.28,88,1.63,105,1.94,14,1.17,163,13.58,3,0.6,1,0.2,6,1.2,-,-,28,5.6
Hiroshima,34104,299.16,514,7.24,793,11.17,3498,49.27,12885,181.48,371,5.23,465,6.55,29,0.41,542,7.63,247,3.48,156,2.2,12,0.63,389,20.47,5,0.25,2,0.1,21,1.05,2,0.1,372,18.6
Yamaguchi,26711,398.67,831,17.68,476,10.13,3280,69.79,6109,129.98,273,5.81,486,10.34,17,0.36,527,11.21,108,2.3,185,3.94,-,-,113,12.56,5,0.56,3,0.33,27,3,-,-,103,11.44
Tokushima,11991,324.08,337,14.65,254,11.04,1002,43.57,2771,120.48,110,4.78,128,5.57,50,2.17,354,15.39,19,0.83,77,3.35,-,-,18,4.5,4,0.57,1,0.14,8,1.14,-,-,2,0.29
Kagawa,15191,323.21,169,6.04,250,8.93,1256,44.86,4564,163,166,5.93,95,3.39,16,0.57,319,11.39,90,3.21,81,2.89,4,0.8,74,14.8,3,0.6,1,0.2,22,4.4,1,0.2,39,7.8
Ehime,23255,381.23,416,11.24,226,6.11,2732,73.84,7298,197.24,175,4.73,57,1.54,26,0.7,517,13.97,46,1.24,175,4.73,-,-,277,34.63,-,-,-,-,51,8.5,-,-,44,7.33
Kochi,20861,434.6,188,6.27,149,4.97,1010,33.67,2786,92.87,121,4.03,254,8.47,31,1.03,230,7.67,15,0.5,25,0.83,-,-,16,5.33,2,0.25,1,0.13,39,4.88,12,1.5,25,3.13
Fukuoka,90203,455.57,1833,15.28,1555,12.96,9234,76.95,21195,176.63,1281,10.68,3660,30.5,97,0.81,1799,14.99,169,1.41,665,5.54,3,0.12,733,28.19,17,1.13,12,0.8,80,5.33,-,-,79,5.27
Saga,15564,409.58,169,7.68,464,21.09,852,38.73,2458,111.73,181,8.23,576,26.18,9,0.41,349,15.86,88,4,29,1.32,2,0.5,56,14,2,0.33,5,0.83,21,3.5,-,-,54,9
Nagasaki,26936,384.8,319,7.25,300,6.82,2738,62.23,5282,120.05,293,6.66,1323,30.07,19,0.43,414,9.41,145,3.3,53,1.2,6,0.75,97,12.13,3,0.25,8,0.67,46,3.83,-,-,91,7.58
Kumamoto,29797,372.46,370,7.4,506,10.12,1615,32.3,8520,170.4,283,5.66,1560,31.2,28,0.56,799,15.98,167,3.34,96,1.92,-,-,281,31.22,7,0.47,8,0.53,15,1,-,-,39,2.6
Oita,26982,465.21,252,7,211,5.86,1520,42.22,10254,284.83,388,10.78,1621,45.03,19,0.53,506,14.06,74,2.06,269,7.47,-,-,114,22.8,1,0.09,1,0.09,24,2.18,-,-,25,2.27
Miyazaki,27649,476.71,596,17.03,698,19.94,1691,48.31,8793,251.23,315,9,2616,74.74,29,0.83,650,18.57,89,2.54,687,19.63,-,-,298,49.67,1,0.14,-,-,4,0.57,-,-,153,21.86
Kagoshima,40618,441.5,821,15.2,1418,26.26,3720,68.89,10032,185.78,490,9.07,2591,47.98,55,1.02,505,9.35,61,1.13,827,15.31,1,0.14,172,24.57,2,0.17,2,0.17,6,0.5,-,-,13,1.08
Okinawa,28453,499.18,1197,35.21,289,8.5,1407,41.38,2778,81.71,463,13.62,582,17.12,43,1.26,363,10.68,33,0.97,90,2.65,6,0.67,284,31.56,13,1.86,34,4.86,19,2.71,3,0.43,21,3
