"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2012",,,,,,"Data collected as of September 19, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1123,0.23,3789,,1180,0.38,2777,0.89,10053,3.22,1298,0.42,3050,0.98,225,0.07,2204,0.71,92,0.03,2759,0.88,1260,0.4,3,0,410,0.6,6,0.01,38,0.08,507,1.1,16,0.03
Hokkaido,2,0.01,41,,28,0.2,234,1.64,177,1.24,35,0.24,437,3.06,2,0.01,55,0.38,3,0.02,215,1.5,21,0.15,-,-,7,0.24,2,0.09,-,-,14,0.61,-,-
Aomori,-,-,46,,4,0.1,21,0.51,44,1.07,8,0.2,129,3.15,1,0.02,10,0.24,-,-,115,2.8,11,0.27,-,-,3,0.27,-,-,-,-,14,2.33,-,-
Iwate,-,-,37,,4,0.1,24,0.6,85,2.13,9,0.23,160,4,19,0.48,28,0.7,-,-,71,1.78,40,1,-,-,5,0.36,-,-,1,0.05,34,1.79,-,-
Miyagi,-,-,47,,9,0.16,62,1.07,241,4.16,14,0.24,307,5.29,10,0.17,51,0.88,-,-,119,2.05,45,0.78,-,-,1,0.08,-,-,-,-,16,1.33,-,-
Akita,1,0.02,48,,13,0.37,16,0.46,83,2.37,13,0.37,126,3.6,1,0.03,17,0.49,-,-,93,2.66,6,0.17,-,-,3,0.43,-,-,-,-,9,1.13,-,-
Yamagata,-,-,35,,15,0.5,37,1.23,95,3.17,2,0.07,165,5.5,2,0.07,29,0.97,-,-,61,2.03,23,0.77,-,-,-,-,-,-,1,0.1,7,0.7,-,-
Fukushima,9,0.11,74,,7,0.15,35,0.73,70,1.46,9,0.19,124,2.58,2,0.04,30,0.63,2,0.04,31,0.65,11,0.23,-,-,6,0.5,-,-,1,0.14,15,2.14,-,-
Ibaraki,3,0.03,62,,21,0.28,46,0.61,150,2,11,0.15,49,0.65,1,0.01,30,0.4,3,0.04,36,0.48,11,0.15,-,-,10,0.59,-,-,-,-,7,0.54,-,-
