"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9th week, 2013",,,,,,"Data collected as of March 6, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,60609,12.26,1184,,921,0.29,7045,2.23,30265,9.59,3341,1.06,578,0.18,177,0.06,1469,0.47,29,0.01,73,0.02,738,0.23,16,0.02,320,0.47,15,0.03,7,0.01,238,0.51,12,0.03
Hokkaido,1750,7.71,44,,63,0.44,624,4.36,438,3.06,113,0.79,12,0.08,1,0.01,51,0.36,2,0.01,-,-,18,0.13,-,-,6,0.21,-,-,-,-,11,0.48,-,-
Aomori,520,8.13,7,,-,-,66,1.61,239,5.83,31,0.76,1,0.02,3,0.07,15,0.37,-,-,4,0.1,4,0.1,-,-,5,0.45,-,-,-,-,9,1.5,-,-
Iwate,739,11.55,1,,2,0.05,61,1.53,298,7.45,36,0.9,2,0.05,13,0.33,16,0.4,1,0.03,1,0.03,33,0.83,1,0.08,2,0.15,-,-,-,-,14,0.74,-,-
Miyagi,761,8.18,7,,12,0.21,138,2.38,430,7.41,78,1.34,5,0.09,13,0.22,27,0.47,-,-,-,-,26,0.45,1,0.08,2,0.17,-,-,-,-,29,2.42,-,-
Akita,693,12.6,4,,3,0.09,48,1.37,168,4.8,18,0.51,-,-,1,0.03,9,0.26,-,-,-,-,19,0.54,-,-,2,0.29,-,-,-,-,8,1,-,-
Yamagata,487,10.15,5,,14,0.47,128,4.27,258,8.6,36,1.2,1,0.03,1,0.03,13,0.43,1,0.03,-,-,29,0.97,-,-,1,0.13,-,-,-,-,2,0.2,-,-
Fukushima,649,8.54,14,,10,0.22,118,2.62,372,8.27,56,1.24,9,0.2,-,-,22,0.49,-,-,-,-,22,0.49,-,-,6,0.5,-,-,-,-,8,1.14,-,-
Ibaraki,915,7.63,9,,6,0.08,151,2.01,877,11.69,62,0.83,28,0.37,6,0.08,22,0.29,-,-,1,0.01,8,0.11,1,0.06,15,0.88,-,-,-,-,1,0.08,-,-
Tochigi,453,6.04,3,,3,0.06,67,1.43,329,7,32,0.68,6,0.13,1,0.02,26,0.55,-,-,-,-,12,0.26,-,-,10,0.83,-,-,-,-,2,0.29,-,-
Gunma,516,5.27,11,,8,0.13,98,1.63,659,10.98,32,0.53,11,0.18,2,0.03,24,0.4,-,-,-,-,17,0.28,-,-,17,1.21,-,-,-,-,3,0.38,-,-
Saitama,1462,5.9,36,,52,0.33,427,2.7,1897,12.01,160,1.01,16,0.1,6,0.04,75,0.47,1,0.01,-,-,37,0.23,3,0.07,16,0.39,-,-,-,-,9,1,3,0.33
Chiba,1662,7.73,21,,37,0.27,455,3.37,1283,9.5,136,1.01,6,0.04,8,0.06,65,0.48,2,0.01,-,-,41,0.3,-,-,10,0.3,4,0.44,1,0.11,6,0.67,1,0.11
Tokyo,1907,4.6,67,,67,0.25,634,2.4,2681,10.16,168,0.64,24,0.09,21,0.08,128,0.48,2,0.01,8,0.03,46,0.17,1,0.03,15,0.41,2,0.08,2,0.08,10,0.4,3,0.12
Kanagawa,2305,7.01,36,,35,0.17,449,2.18,1784,8.66,179,0.87,16,0.08,19,0.09,105,0.51,4,0.02,2,0.01,46,0.22,-,-,42,0.98,-,-,-,-,1,0.13,-,-
Niigata,925,9.74,10,,18,0.3,254,4.23,423,7.05,51,0.85,27,0.45,9,0.15,32,0.53,3,0.05,1,0.02,5,0.08,1,0.1,11,1.1,-,-,-,-,9,0.69,3,0.23
Toyama,740,15.42,5,,20,0.69,169,5.83,239,8.24,26,0.9,2,0.07,9,0.31,10,0.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0.6,-,-
Ishikawa,866,18.04,7,,12,0.41,195,6.72,231,7.97,23,0.79,29,1,-,-,12,0.41,-,-,-,-,13,0.45,-,-,3,0.43,-,-,-,-,6,1.2,-,-
Fukui,741,23.16,5,,10,0.45,94,4.27,337,15.32,31,1.41,-,-,-,-,12,0.55,-,-,3,0.14,28,1.27,-,-,1,0.33,-,-,-,-,1,0.17,-,-
Yamanashi,563,14.08,-,,2,0.08,35,1.46,176,7.33,20,0.83,-,-,1,0.04,5,0.21,-,-,-,-,-,-,-,-,3,0.33,-,-,1,0.1,4,0.4,-,-
Nagano,1520,17.47,24,,2,0.04,135,2.5,571,10.57,46,0.85,6,0.11,-,-,23,0.43,-,-,1,0.02,-,-,1,0.09,6,0.55,-,-,-,-,11,1,-,-
Gifu,1682,19.33,13,,15,0.28,86,1.62,476,8.98,38,0.72,3,0.06,2,0.04,14,0.26,-,-,-,-,8,0.15,-,-,3,0.27,1,0.2,-,-,6,1.2,-,-
Shizuoka,2425,17.45,54,,34,0.38,116,1.3,806,9.06,79,0.89,11,0.12,2,0.02,43,0.48,-,-,1,0.01,11,0.12,-,-,2,0.09,-,-,-,-,8,0.8,1,0.1
Aichi,5305,27.21,42,,49,0.27,149,0.82,2007,11.09,129,0.71,11,0.06,13,0.07,63,0.35,1,0.01,2,0.01,36,0.2,-,-,11,0.32,1,0.07,-,-,7,0.5,-,-
Mie,1370,19.03,22,,20,0.44,73,1.62,503,11.18,33,0.73,9,0.2,1,0.02,29,0.64,-,-,-,-,12,0.27,-,-,-,-,-,-,-,-,3,0.33,-,-
Shiga,1091,20.58,14,,9,0.28,36,1.13,208,6.5,28,0.88,9,0.28,3,0.09,14,0.44,1,0.03,-,-,2,0.06,-,-,-,-,-,-,-,-,2,0.29,-,-
Kyoto,1442,11.82,8,,10,0.14,134,1.81,608,8.22,58,0.78,5,0.07,1,0.01,28,0.38,-,-,1,0.01,7,0.09,-,-,8,0.47,-,-,-,-,1,0.14,-,-
Osaka,3388,10.96,89,,40,0.2,402,2.01,1725,8.63,211,1.06,39,0.2,5,0.03,78,0.39,4,0.02,6,0.03,22,0.11,1,0.02,11,0.21,2,0.12,1,0.06,7,0.41,-,-
Hyogo,2599,13,27,,67,0.52,160,1.24,1559,12.09,128,0.99,9,0.07,5,0.04,57,0.44,2,0.02,-,-,4,0.03,-,-,14,0.4,-,-,1,0.09,5,0.45,1,0.09
Nara,637,11.58,31,,12,0.34,21,0.6,207,5.91,16,0.46,2,0.06,-,-,7,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.17,-,-
Wakayama,875,17.86,16,,5,0.17,35,1.17,191,6.37,25,0.83,2,0.07,-,-,13,0.43,-,-,-,-,3,0.1,-,-,-,-,-,-,-,-,3,0.27,-,-
Tottori,376,12.97,5,,2,0.11,123,6.47,164,8.63,25,1.32,5,0.26,2,0.11,9,0.47,-,-,-,-,-,-,-,-,-,-,1,0.2,-,-,1,0.2,-,-
Shimane,673,17.71,10,,5,0.22,30,1.3,253,11,25,1.09,21,0.91,-,-,15,0.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
