"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20th week, 2015",,,,,,"Data collected as of May 20, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,2906,0.59,305,,1762,0.56,10840,3.43,21341,6.76,1582,0.5,3400,1.08,2259,0.72,2019,0.64,62,0.02,608,0.19,1289,0.41,8,0.01,406,0.59,6,0.01,16,0.03,118,0.25,10,0.02,175,0.37
Hokkaido,116,0.51,29,,115,0.8,560,3.92,819,5.73,62,0.43,33,0.23,70,0.49,40,0.28,-,-,2,0.01,82,0.57,-,-,12,0.43,-,-,-,-,1,0.04,-,-,34,1.48
Aomori,43,0.66,2,,14,0.33,72,1.71,211,5.02,15,0.36,19,0.45,37,0.88,14,0.33,-,-,1,0.02,4,0.1,-,-,6,0.55,1,0.17,1,0.17,2,0.33,-,-,6,1
Iwate,78,1.2,4,,8,0.2,137,3.43,220,5.5,16,0.4,13,0.33,7,0.18,18,0.45,-,-,7,0.18,3,0.08,-,-,3,0.21,-,-,-,-,8,0.42,-,-,3,0.16
Miyagi,44,0.46,2,,21,0.36,162,2.75,435,7.37,32,0.54,38,0.64,40,0.68,50,0.85,-,-,2,0.03,4,0.07,-,-,3,0.25,-,-,-,-,3,0.25,-,-,4,0.33
Akita,90,1.7,-,,9,0.26,70,2.06,179,5.26,6,0.18,5,0.15,8,0.24,6,0.18,-,-,5,0.15,6,0.18,1,0.14,1,0.14,-,-,-,-,1,0.13,-,-,5,0.63
Yamagata,71,1.48,-,,34,1.13,163,5.43,375,12.5,12,0.4,25,0.83,14,0.47,25,0.83,1,0.03,3,0.1,27,0.9,-,-,1,0.13,-,-,-,-,2,0.2,-,-,4,0.4
Fukushima,95,1.23,7,,24,0.52,188,4.09,280,6.09,16,0.35,29,0.63,85,1.85,39,0.85,1,0.02,4,0.09,19,0.41,-,-,12,1,-,-,-,-,3,0.43,-,-,4,0.57
Ibaraki,23,0.19,1,,34,0.45,239,3.19,468,6.24,44,0.59,10,0.13,73,0.97,30,0.4,3,0.04,6,0.08,43,0.57,-,-,14,0.82,-,-,1,0.08,1,0.08,-,-,-,-
