"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2017",,,,,,"Data collected as of September 20, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,27797,323.22,644,12.15,326,6.15,4254,80.26,12253,231.19,639,12.06,5667,106.92,151,2.85,635,11.98,27,0.51,1061,20.02,3678,69.4,11,1.1,128,12.8,2,0.18,2,0.18,157,14.27,-,-,141,12.82
Gifu,22542,262.12,989,19.02,734,14.12,1919,36.9,6534,125.65,404,7.77,3717,71.48,62,1.19,553,10.63,15,0.29,528,10.15,1317,25.33,-,-,178,16.18,1,0.2,11,2.2,143,28.6,-,-,90,18
Shizuoka,38807,279.19,1964,22.07,1505,16.91,8208,92.22,18262,205.19,821,9.22,7983,89.7,250,2.81,1174,13.19,19,0.21,1095,12.3,1325,14.89,10,0.48,479,22.81,10,1,34,3.4,144,14.4,40,4,75,7.5
Aichi,66009,338.51,3392,18.64,2618,14.38,11022,60.56,29041,159.57,1976,10.86,16129,88.62,308,1.69,2303,12.65,37,0.2,2366,13,1970,10.82,6,0.17,582,16.63,11,0.73,26,1.73,255,17,6,0.4,198,13.2
Mie,19308,268.17,1360,30.22,1232,27.38,2489,55.31,8611,191.36,489,10.87,4975,110.56,99,2.2,820,18.22,18,0.4,1252,27.82,577,12.82,8,0.67,44,3.67,18,2,23,2.56,93,10.33,11,1.22,19,2.11
Shiga,12075,232.21,416,13.42,483,15.58,1277,41.19,6078,196.06,530,17.1,3454,111.42,20,0.65,473,15.26,6,0.19,846,27.29,637,20.55,1,0.13,57,7.13,5,0.71,12,1.71,42,6,1,0.14,16,2.29
Kyoto,27875,224.8,994,13.25,1360,18.13,4171,55.61,13658,182.11,544,7.25,5234,69.79,71,0.95,967,12.89,22,0.29,949,12.65,1040,13.87,5,0.29,246,14.47,3,0.43,5,0.71,56,8,-,-,67,9.57
Osaka,67476,219.79,6821,34.28,4093,20.57,15496,77.87,39549,198.74,2677,13.45,20386,102.44,304,1.53,3426,17.22,76,0.38,4138,20.79,4284,21.53,30,0.58,772,14.85,14,0.88,38,2.38,239,14.94,3,0.19,230,14.38
Hyogo,45109,227.82,2815,21.99,3005,23.48,6853,53.54,30836,240.91,1503,11.74,14075,109.96,501,3.91,1894,14.8,39,0.3,2930,22.89,2962,23.14,15,0.43,611,17.46,21,1.62,38,2.92,135,10.38,8,0.62,161,12.38
Nara,10271,190.2,1038,30.53,941,27.68,2586,76.06,5544,163.06,417,12.26,2640,77.65,79,2.32,609,17.91,8,0.24,525,15.44,757,22.26,1,0.1,204,20.4,13,2.17,24,4,101,16.83,1,0.17,52,8.67
