"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2017",,,,,,"Data collected as of September 20, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1081,0.22,10500,,1455,0.46,4847,1.54,10355,3.29,622,0.2,12198,3.88,201,0.06,1409,0.45,30,0.01,3048,0.97,1227,0.39,5,0.01,691,1,9,0.02,26,0.05,151,0.32,5,0.01,5,0.01
Hokkaido,3,0.01,150,,177,1.26,338,2.41,188,1.34,26,0.19,344,2.46,2,0.01,48,0.34,2,0.01,82,0.59,12,0.09,1,0.03,11,0.38,-,-,3,0.13,5,0.22,-,-,-,-
Aomori,2,0.03,92,,2,0.05,23,0.55,90,2.14,6,0.14,173,4.12,5,0.12,21,0.5,-,-,49,1.17,37,0.88,-,-,3,0.27,-,-,-,-,6,1,-,-,-,-
Iwate,29,0.45,88,,7,0.18,66,1.65,91,2.28,8,0.2,255,6.38,8,0.2,21,0.53,-,-,70,1.75,57,1.43,-,-,3,0.21,-,-,3,0.16,11,0.58,-,-,-,-
Miyagi,64,0.67,170,,12,0.2,91,1.54,184,3.12,4,0.07,503,8.53,4,0.07,25,0.42,-,-,75,1.27,26,0.44,-,-,2,0.17,-,-,-,-,9,0.75,-,-,-,-
Akita,-,-,118,,17,0.49,17,0.49,50,1.43,5,0.14,45,1.29,-,-,8,0.23,1,0.03,110,3.14,6,0.17,-,-,-,-,-,-,-,-,28,3.5,-,-,-,-
Yamagata,-,-,180,,25,0.83,65,2.17,60,2,7,0.23,181,6.03,13,0.43,14,0.47,1,0.03,61,2.03,4,0.13,-,-,10,1.25,-,-,-,-,6,0.6,-,-,-,-
Fukushima,1,0.01,204,,5,0.11,50,1.09,40,0.87,6,0.13,388,8.43,9,0.2,24,0.52,-,-,51,1.11,33,0.72,-,-,26,2.17,1,0.14,-,-,4,0.57,-,-,-,-
Ibaraki,15,0.13,165,,18,0.24,98,1.31,216,2.88,13,0.17,638,8.51,5,0.07,33,0.44,1,0.01,111,1.48,8,0.11,-,-,29,1.71,-,-,-,-,2,0.15,-,-,-,-
