"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18th week, 2016",,,,,,"Data collected as of May 11, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,6108,1.24,349,,1277,0.41,5205,1.65,13749,4.37,1206,0.38,184,0.06,898,0.29,1390,0.44,35,0.01,174,0.06,2407,0.76,14,0.02,405,0.59,12,0.03,17,0.04,204,0.43,4,0.01,228,0.48
Hokkaido,609,2.69,11,,60,0.42,365,2.57,406,2.86,57,0.4,1,0.01,45,0.32,30,0.21,1,0.01,-,-,167,1.18,-,-,12,0.43,1,0.04,1,0.04,9,0.39,-,-,17,0.74
Aomori,246,3.78,2,,21,0.5,55,1.31,128,3.05,13,0.31,-,-,5,0.12,12,0.29,-,-,-,-,24,0.57,-,-,8,0.73,-,-,-,-,3,0.5,-,-,3,0.5
Iwate,423,6.61,3,,14,0.35,68,1.7,257,6.43,26,0.65,-,-,5,0.13,18,0.45,-,-,1,0.03,6,0.15,1,0.07,14,1,-,-,-,-,9,0.47,-,-,17,0.89
Miyagi,234,2.46,-,,13,0.22,127,2.15,304,5.15,25,0.42,-,-,7,0.12,33,0.56,-,-,1,0.02,14,0.24,-,-,2,0.17,-,-,-,-,6,0.5,-,-,-,-
Akita,458,8.48,3,,6,0.17,32,0.91,106,3.03,11,0.31,1,0.03,26,0.74,11,0.31,1,0.03,-,-,2,0.06,-,-,4,0.57,-,-,-,-,3,0.38,-,-,8,1
Yamagata,131,2.73,1,,13,0.43,86,2.87,120,4,3,0.1,-,-,22,0.73,21,0.7,-,-,-,-,52,1.73,-,-,2,0.25,-,-,-,-,-,-,-,-,1,0.1
Fukushima,343,4.45,4,,23,0.5,67,1.46,206,4.48,37,0.8,2,0.04,27,0.59,22,0.48,-,-,-,-,11,0.24,-,-,9,0.75,-,-,-,-,5,0.71,-,-,4,0.57
Ibaraki,133,1.11,4,,13,0.17,129,1.72,342,4.56,46,0.61,6,0.08,15,0.2,23,0.31,-,-,4,0.05,62,0.83,-,-,4,0.24,-,-,-,-,6,0.46,-,-,-,-
Tochigi,66,0.87,-,,5,0.1,85,1.77,73,1.52,12,0.25,2,0.04,35,0.73,24,0.5,-,-,1,0.02,18,0.38,1,0.08,11,0.92,1,0.14,1,0.14,-,-,-,-,2,0.29
Gunma,92,0.98,-,,15,0.26,91,1.57,313,5.4,17,0.29,-,-,35,0.6,30,0.52,3,0.05,-,-,25,0.43,-,-,12,0.86,-,-,-,-,3,0.38,-,-,4,0.5
Saitama,107,0.43,6,,52,0.33,347,2.22,691,4.43,80,0.51,6,0.04,35,0.22,77,0.49,1,0.01,3,0.02,147,0.94,3,0.07,11,0.27,-,-,1,0.1,-,-,-,-,1,0.1
Chiba,124,0.58,4,,51,0.38,295,2.2,517,3.86,35,0.26,3,0.02,36,0.27,75,0.56,1,0.01,5,0.04,110,0.82,1,0.03,24,0.71,1,0.11,-,-,2,0.22,-,-,1,0.11
Tokyo,176,0.43,7,,98,0.38,532,2.06,1057,4.1,86,0.33,14,0.05,44,0.17,139,0.54,-,-,11,0.04,107,0.41,-,-,15,0.39,2,0.08,-,-,3,0.12,-,-,2,0.08
Kanagawa,131,0.39,2,,41,0.19,260,1.21,710,3.32,99,0.46,8,0.04,20,0.09,96,0.45,2,0.01,8,0.04,134,0.63,1,0.02,84,1.65,-,-,-,-,-,-,-,-,3,0.27
Niigata,317,3.45,3,,38,0.66,135,2.33,426,7.34,27,0.47,3,0.05,10,0.17,17,0.29,-,-,-,-,69,1.19,1,0.1,5,0.5,-,-,1,0.08,3,0.23,2,0.15,1,0.08
Toyama,31,0.69,1,,16,0.62,59,2.27,103,3.96,12,0.46,-,-,14,0.54,15,0.58,-,-,-,-,27,1.04,-,-,-,-,-,-,-,-,3,0.6,-,-,2,0.4
Ishikawa,37,0.77,-,,21,0.72,71,2.45,104,3.59,6,0.21,-,-,15,0.52,18,0.62,-,-,-,-,45,1.55,-,-,1,0.14,-,-,-,-,4,0.8,-,-,1,0.2
Fukui,63,1.97,-,,21,0.95,39,1.77,154,7,11,0.5,1,0.05,16,0.73,8,0.36,-,-,-,-,8,0.36,-,-,1,0.33,-,-,-,-,2,0.33,-,-,4,0.67
Yamanashi,24,0.59,-,,3,0.13,36,1.5,67,2.79,12,0.5,1,0.04,4,0.17,10,0.42,-,-,-,-,1,0.04,-,-,4,0.44,-,-,-,-,3,0.3,1,0.1,3,0.3
Nagano,165,1.9,1,,11,0.2,112,2.07,287,5.31,18,0.33,-,-,19,0.35,11,0.2,-,-,-,-,39,0.72,-,-,5,0.45,-,-,-,-,7,0.64,-,-,8,0.73
Gifu,96,1.1,1,,16,0.3,40,0.75,173,3.26,10,0.19,2,0.04,3,0.06,15,0.28,-,-,1,0.02,12,0.23,-,-,1,0.09,-,-,-,-,5,1,-,-,9,1.8
Shizuoka,66,0.47,8,,34,0.38,95,1.07,300,3.37,27,0.3,-,-,20,0.22,41,0.46,-,-,1,0.01,59,0.66,-,-,6,0.29,-,-,-,-,12,1.2,1,0.1,-,-
Aichi,106,0.54,10,,46,0.25,272,1.5,571,3.15,52,0.29,12,0.07,34,0.19,52,0.29,2,0.01,1,0.01,109,0.6,-,-,17,0.5,2,0.14,2,0.14,12,0.86,-,-,27,1.93
Mie,66,0.92,2,,34,0.76,59,1.31,207,4.6,12,0.27,-,-,34,0.76,18,0.4,1,0.02,-,-,16,0.36,-,-,4,0.33,-,-,1,0.11,3,0.33,-,-,2,0.22
Shiga,32,0.6,-,,5,0.16,36,1.13,169,5.28,13,0.41,2,0.06,8,0.25,18,0.56,-,-,7,0.22,17,0.53,-,-,1,0.13,-,-,-,-,1,0.14,-,-,5,0.71
Kyoto,100,0.81,7,,25,0.33,68,0.91,391,5.21,18,0.24,1,0.01,23,0.31,24,0.32,2,0.03,6,0.08,44,0.59,-,-,6,0.33,-,-,-,-,3,0.43,-,-,3,0.43
Osaka,104,0.34,21,,99,0.5,361,1.81,1075,5.4,93,0.47,16,0.08,40,0.2,87,0.44,3,0.02,14,0.07,204,1.03,6,0.12,20,0.38,-,-,-,-,6,0.35,-,-,19,1.12
Hyogo,90,0.46,12,,42,0.33,140,1.09,581,4.54,47,0.37,4,0.03,22,0.17,47,0.37,4,0.03,4,0.03,100,0.78,-,-,15,0.44,1,0.09,1,0.09,11,1,-,-,5,0.45
Nara,13,0.24,1,,21,0.62,33,0.97,138,4.06,8,0.24,1,0.03,10,0.29,20,0.59,-,-,2,0.06,31,0.91,-,-,1,0.1,-,-,-,-,1,0.17,-,-,3,0.5
Wakayama,10,0.2,8,,10,0.32,19,0.61,84,2.71,7,0.23,-,-,12,0.39,8,0.26,-,-,2,0.06,24,0.77,-,-,-,-,-,-,1,0.09,2,0.18,-,-,1,0.09
Tottori,64,2.21,-,,16,0.84,63,3.32,100,5.26,3,0.16,2,0.11,9,0.47,2,0.11,-,-,6,0.32,1,0.05,-,-,4,0.8,-,-,-,-,6,1.2,-,-,5,1
Shimane,48,1.26,1,,43,1.87,37,1.61,136,5.91,13,0.57,2,0.09,14,0.61,20,0.87,-,-,3,0.13,18,0.78,-,-,1,0.33,-,-,-,-,4,0.5,-,-,5,0.63
Okayama,46,0.55,6,,18,0.33,47,0.87,270,5,8,0.15,4,0.07,11,0.2,20,0.37,-,-,1,0.02,83,1.54,-,-,3,0.25,-,-,-,-,-,-,-,-,1,0.2
Hiroshima,52,0.46,9,,42,0.59,95,1.34,338,4.76,17,0.24,7,0.1,30,0.42,24,0.34,-,-,19,0.27,35,0.49,-,-,15,0.79,2,0.1,-,-,5,0.24,-,-,32,1.52
