"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2012",,,,,,"Data collected as of August 8, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,1,0.02,-,,12,0.38,26,0.81,88,2.75,31,0.97,21,0.66,-,-,27,0.84,4,0.13,151,4.72,3,0.09,-,-,2,0.25,-,-,-,-,3,0.43,-,-
Kyoto,3,0.03,6,,19,0.26,57,0.79,188,2.61,39,0.54,19,0.26,6,0.08,37,0.51,2,0.03,126,1.75,17,0.24,-,-,11,0.61,-,-,-,-,6,0.86,-,-
Osaka,4,0.01,51,,90,0.46,220,1.12,708,3.59,148,0.75,103,0.52,28,0.14,110,0.56,6,0.03,633,3.21,67,0.34,1,0.02,5,0.1,-,-,1,0.06,20,1.18,1,0.06
Hyogo,2,0.01,3,,32,0.25,56,0.43,502,3.89,53,0.41,30,0.23,8,0.06,87,0.67,-,-,536,4.16,54,0.42,-,-,17,0.49,1,0.09,4,0.36,10,0.91,1,0.09
Nara,-,-,3,,13,0.37,14,0.4,79,2.26,21,0.6,13,0.37,2,0.06,11,0.31,-,-,65,1.86,9,0.26,-,-,2,0.22,-,-,2,0.33,4,0.67,-,-
Wakayama,-,-,3,,11,0.35,11,0.35,56,1.81,19,0.61,10,0.32,1,0.03,14,0.45,-,-,170,5.48,9,0.29,-,-,-,-,-,-,2,0.18,11,1,-,-
Tottori,-,-,2,,2,0.11,15,0.79,76,4,9,0.47,1,0.05,-,-,11,0.58,2,0.11,61,3.21,5,0.26,-,-,4,1.33,1,0.2,-,-,6,1.2,-,-
Shimane,-,-,1,,5,0.22,5,0.22,140,6.09,17,0.74,2,0.09,-,-,15,0.65,-,-,19,0.83,10,0.43,-,-,-,-,-,-,-,-,7,0.88,-,-
Okayama,1,0.01,-,,12,0.22,27,0.5,231,4.28,24,0.44,27,0.5,3,0.06,30,0.56,3,0.06,115,2.13,19,0.35,-,-,6,0.5,-,-,-,-,3,0.6,1,0.2
Hiroshima,-,-,28,,38,0.53,70,0.97,238,3.31,30,0.42,13,0.18,5,0.07,47,0.65,6,0.08,119,1.65,16,0.22,-,-,23,1.21,-,-,-,-,6,0.29,-,-
Yamaguchi,1,0.01,5,,11,0.23,94,2,194,4.13,21,0.45,4,0.09,13,0.28,61,1.3,1,0.02,153,3.26,17,0.36,-,-,3,0.33,-,-,-,-,7,0.78,-,-
Tokushima,-,-,2,,11,0.48,21,0.91,101,4.39,22,0.96,4,0.17,3,0.13,16,0.7,-,-,52,2.26,6,0.26,-,-,1,0.25,-,-,-,-,-,-,-,-
Kagawa,-,-,6,,14,0.47,8,0.27,128,4.27,12,0.4,3,0.1,1,0.03,24,0.8,-,-,87,2.9,8,0.27,1,0.33,-,-,-,-,-,-,-,-,-,-
Ehime,-,-,11,,20,0.54,57,1.54,161,4.35,29,0.78,8,0.22,10,0.27,33,0.89,-,-,46,1.24,24,0.65,-,-,10,1.25,-,-,-,-,2,0.33,-,-
Kochi,-,-,2,,4,0.13,20,0.67,46,1.53,24,0.8,3,0.1,10,0.33,15,0.5,11,0.37,43,1.43,9,0.3,-,-,-,-,-,-,1,0.13,3,0.38,1,0.13
Fukuoka,9,0.05,124,,60,0.5,108,0.9,594,4.95,89,0.74,15,0.13,4,0.03,113,0.94,3,0.03,272,2.27,102,0.85,-,-,16,0.62,-,-,-,-,-,-,-,-
Saga,1,0.03,2,,11,0.48,17,0.74,37,1.61,12,0.52,1,0.04,-,-,18,0.78,-,-,43,1.87,10,0.43,-,-,1,0.25,-,-,-,-,2,0.33,-,-
Nagasaki,1,0.01,2,,25,0.57,28,0.64,103,2.34,25,0.57,9,0.2,-,-,33,0.75,-,-,61,1.39,15,0.34,-,-,5,0.63,-,-,2,0.17,6,0.5,-,-
Kumamoto,-,-,-,,36,0.75,19,0.4,190,3.96,31,0.65,12,0.25,1,0.02,48,1,1,0.02,160,3.33,30,0.63,-,-,25,2.78,-,-,1,0.07,5,0.33,-,-
Oita,-,-,1,,16,0.44,45,1.25,290,8.06,35,0.97,9,0.25,2,0.06,29,0.81,3,0.08,151,4.19,51,1.42,-,-,4,0.8,-,-,1,0.09,4,0.36,-,-
Miyazaki,1,0.02,31,,14,0.39,47,1.31,179,4.97,7,0.19,92,2.56,-,-,53,1.47,-,-,222,6.17,27,0.75,-,-,8,1.33,-,-,-,-,2,0.29,-,-
Kagoshima,14,0.15,91,,62,1.13,52,0.95,158,2.87,19,0.35,8,0.15,4,0.07,32,0.58,14,0.25,198,3.6,33,0.6,-,-,13,1.86,-,-,-,-,3,0.25,-,-
Okinawa,1049,18.09,60,,6,0.18,19,0.56,68,2,23,0.68,56,1.65,2,0.06,20,0.59,1,0.03,7,0.21,16,0.47,-,-,25,2.5,1,0.14,1,0.14,9,1.29,-,-
