"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1st week, 2014",,,,,,"Data collected as of January 9, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,9891,2.16,1694,,704,0.24,1584,0.55,12312,4.26,3624,1.25,239,0.08,83,0.03,435,0.15,2,0,33,0.01,434,0.15,1,0,144,0.23,10,0.02,9,0.02,45,0.1,1,0,33,0.07
Hokkaido,333,1.47,125,,40,0.28,118,0.83,203,1.42,236,1.65,2,0.01,2,0.01,12,0.08,-,-,5,0.03,4,0.03,-,-,1,0.03,-,-,-,-,-,-,-,-,1,0.04
Aomori,77,1.2,22,,18,0.44,9,0.22,134,3.27,71,1.73,-,-,10,0.24,4,0.1,-,-,-,-,7,0.17,-,-,-,-,-,-,-,-,-,-,-,-,2,0.33
Iwate,98,1.53,17,,11,0.28,25,0.63,224,5.6,82,2.05,2,0.05,3,0.08,7,0.18,-,-,-,-,15,0.38,-,-,7,0.5,-,-,1,0.05,10,0.53,-,-,1,0.05
Miyagi,64,0.69,15,,4,0.07,22,0.38,298,5.14,52,0.9,-,-,6,0.1,9,0.16,-,-,-,-,11,0.19,-,-,-,-,-,-,-,-,2,0.17,-,-,-,-
Akita,162,2.95,10,,-,-,9,0.26,154,4.4,28,0.8,-,-,-,-,4,0.11,-,-,-,-,3,0.09,-,-,-,-,-,-,-,-,1,0.13,-,-,-,-
Yamagata,4,0.1,9,,8,0.32,22,0.88,66,2.64,24,0.96,-,-,-,-,6,0.24,-,-,-,-,2,0.08,-,-,1,0.14,-,-,-,-,1,0.1,1,0.1,3,0.3
Fukushima,171,2.25,55,,7,0.16,31,0.69,185,4.11,67,1.49,1,0.02,2,0.04,14,0.31,-,-,-,-,28,0.62,-,-,1,0.08,-,-,-,-,3,0.43,-,-,1,0.14
Ibaraki,324,2.7,58,,11,0.15,100,1.33,978,13.04,192,2.56,2,0.03,2,0.03,11,0.15,-,-,1,0.01,2,0.03,1,0.06,12,0.71,-,-,-,-,1,0.08,-,-,-,-
