"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2018",,,,,,"Data collected as of December 5, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Gifu,25975,302.03,1309,25.17,752,14.46,2512,48.31,8648,166.31,335,6.44,555,10.67,128,2.46,680,13.08,1077,20.71,253,4.87,3,0.27,174,15.82,1,0.2,10,2,59,11.8,-,-,95,19
Shizuoka,50540,366.23,2755,30.96,1621,18.21,6921,77.76,19293,216.78,793,8.91,1545,17.36,819,9.2,1475,16.57,4387,49.29,1088,12.22,10,0.48,734,34.95,7,0.78,39,4.33,52,5.78,4,0.44,17,1.89
Aichi,80635,413.51,4998,27.46,2119,11.64,14266,78.38,36152,198.64,2362,12.98,2748,15.1,697,3.83,2871,15.77,5427,29.82,913,5.02,8,0.23,1047,29.91,10,0.67,32,2.13,200,13.33,2,0.13,154,10.27
Mie,27427,386.3,2240,50.91,983,22.34,4247,96.52,10664,242.36,596,13.55,768,17.45,146,3.32,1019,23.16,2108,47.91,215,4.89,5,0.42,61,5.08,14,1.56,22,2.44,72,8,2,0.22,16,1.78
Shiga,17644,339.31,652,21.03,408,13.16,1714,55.29,6072,195.87,483,15.58,1330,42.9,78,2.52,483,15.58,1070,34.52,321,10.35,1,0.13,156,19.5,6,0.86,14,2,15,2.14,-,-,11,1.57
Kyoto,39962,319.7,1791,23.57,929,12.22,5056,66.53,16161,212.64,798,10.5,1949,25.64,213,2.8,1150,15.13,1473,19.38,261,3.43,3,0.18,329,19.35,7,1,2,0.29,42,6,-,-,52,7.43
Osaka,90091,296.35,9649,48.73,4458,22.52,19129,96.61,48586,245.38,3393,17.14,4457,22.51,1233,6.23,4212,21.27,5209,26.31,1208,6.1,41,0.8,1185,23.24,18,1.06,26,1.53,144,8.47,2,0.12,202,11.88
Hyogo,65614,331.38,4432,34.63,2449,19.13,8091,63.21,33979,265.46,2103,16.43,3042,23.77,371,2.9,2220,17.34,2789,21.79,625,4.88,31,0.91,1100,32.35,33,2.54,29,2.23,84,6.46,2,0.15,112,8.62
Nara,15956,295.48,1562,45.94,628,18.47,2655,78.09,7525,221.32,412,12.12,1096,32.24,251,7.38,684,20.12,939,27.62,112,3.29,1,0.1,338,33.8,13,2.17,11,1.83,60,10,-,-,56,9.33
Wakayama,14751,307.31,1194,39.8,493,16.43,1265,42.17,4316,143.87,363,12.1,512,17.07,137,4.57,585,19.5,733,24.43,134,4.47,56,18.67,51,17,6,0.55,10,0.91,82,7.45,6,0.55,52,4.73
Tottori,10947,377.48,584,30.74,411,21.63,4162,219.05,5885,309.74,155,8.16,512,26.95,22,1.16,389,20.47,497,26.16,52,2.74,3,0.6,116,23.2,8,1.6,18,3.6,23,4.6,1,0.2,61,12.2
Shimane,10128,273.73,817,37.14,312,14.18,2258,102.64,6076,276.18,195,8.86,1128,51.27,20,0.91,583,26.5,408,18.55,202,9.18,-,-,27,9,14,1.75,53,6.63,21,2.63,-,-,78,9.75
Okayama,28566,340.07,1210,22.41,637,11.8,4010,74.26,16221,300.39,704,13.04,859,15.91,222,4.11,976,18.07,794,14.7,269,4.98,15,1.25,434,36.17,7,1.4,3,0.6,17,3.4,-,-,30,6
Hiroshima,34536,302.95,2319,32.66,1549,21.82,6409,90.27,20959,295.2,799,11.25,2769,39,124,1.75,1184,16.68,1734,24.42,390,5.49,21,1.11,808,42.53,7,0.35,6,0.3,85,4.25,2,0.1,378,18.9
Yamaguchi,26916,401.73,2634,56.04,757,16.11,6299,134.02,11281,240.02,532,11.32,2795,59.47,128,2.72,1126,23.96,1402,29.83,273,5.81,2,0.22,277,30.78,7,0.78,6,0.67,41,4.56,-,-,104,11.56
Tokushima,12015,324.73,1621,70.48,440,19.13,1628,70.78,5639,245.17,217,9.43,1191,51.78,176,7.65,810,35.22,814,35.39,106,4.61,-,-,51,12.75,4,0.57,3,0.43,26,3.71,-,-,2,0.29
Kagawa,15440,335.65,1267,46.93,494,18.3,2316,85.78,8193,303.44,326,12.07,726,26.89,62,2.3,703,26.04,1328,49.19,219,8.11,5,1,167,33.4,6,1.2,5,1,32,6.4,1,0.2,43,8.6
Ehime,23439,390.65,2047,56.86,484,13.44,4615,128.19,12374,343.72,423,11.75,3044,84.56,114,3.17,1132,31.44,1070,29.72,273,7.58,2,0.29,691,98.71,1,0.17,1,0.17,138,23,-,-,46,7.67
Kochi,20907,435.56,1093,36.43,493,16.43,1751,58.37,4508,150.27,264,8.8,1140,38,173,5.77,509,16.97,472,15.73,66,2.2,-,-,110,36.67,5,0.63,1,0.13,96,12,20,2.5,34,4.25
Fukuoka,91151,462.7,6301,52.95,3945,33.15,17680,148.57,43223,363.22,2407,20.23,11131,93.54,578,4.86,3812,32.03,3329,27.97,1684,14.15,16,0.62,1813,69.73,28,1.87,39,2.6,155,10.33,-,-,79,5.27
Saga,15742,414.26,1157,52.59,785,35.68,1584,72,4704,213.82,315,14.32,1371,62.32,91,4.14,710,32.27,1205,54.77,85,3.86,3,1,112,37.33,4,0.67,17,2.83,37,6.17,1,0.17,56,9.33
Nagasaki,27084,392.52,1731,39.34,835,18.98,4475,101.7,9218,209.5,593,13.48,2660,60.45,93,2.11,898,20.41,831,18.89,142,3.23,6,0.75,294,36.75,14,1.17,30,2.5,87,7.25,-,-,98,8.17
Kumamoto,30239,377.99,2174,43.48,898,17.96,3397,67.94,16467,329.34,486,9.72,4609,92.18,59,1.18,1615,32.3,1689,33.78,244,4.88,4,0.44,798,88.67,9,0.6,27,1.8,34,2.27,-,-,44,2.93
Oita,27213,469.19,1361,37.81,567,15.75,2692,74.78,18702,519.5,966,26.83,5214,144.83,34,0.94,1057,29.36,1211,33.64,775,21.53,3,0.6,229,45.8,2,0.18,3,0.27,63,5.73,-,-,26,2.36
Miyazaki,27832,479.86,2554,72.97,1281,36.6,3472,99.2,16711,477.46,651,18.6,5577,159.34,99,2.83,1438,41.09,1095,31.29,1218,34.8,1,0.17,808,134.67,2,0.29,-,-,5,0.71,-,-,155,22.14
Kagoshima,41339,449.34,3266,60.48,2899,53.69,6821,126.31,18924,350.44,885,16.39,5028,93.11,175,3.24,1241,22.98,1145,21.2,1306,24.19,1,0.14,448,64,6,0.5,6,0.5,15,1.25,-,-,15,1.25
Okinawa,31000,543.86,2487,73.15,929,27.32,2374,69.82,6035,177.5,815,23.97,2718,79.94,186,5.47,696,20.47,362,10.65,183,5.38,13,1.44,981,109,31,4.43,58,8.29,43,6.14,3,0.43,42,6
