"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2018",,,,,,"Data collected as of December 5, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,131,1.82,17,0.38,45,1,135,3,399,8.87,40,0.89,20,0.44,9,0.2,23,0.51,5,0.11,-,-,-,-,-,-,2,0.22,-,-,2,0.22,-,-,-,-
Shiga,25,0.47,25,0.78,6,0.19,46,1.44,157,4.91,4,0.13,21,0.66,2,0.06,10,0.31,1,0.03,6,0.19,-,-,2,0.25,-,-,-,-,-,-,-,-,-,-
Kyoto,71,0.57,17,0.22,18,0.24,136,1.79,412,5.42,39,0.51,26,0.34,33,0.43,29,0.38,6,0.08,5,0.07,-,-,1,0.06,-,-,-,-,1,0.14,-,-,-,-
Osaka,379,1.25,102,0.51,158,0.79,562,2.82,1419,7.13,139,0.7,102,0.51,85,0.43,75,0.38,26,0.13,26,0.13,2,0.04,30,0.58,-,-,1,0.06,8,0.47,-,-,10,0.59
Hyogo,237,1.19,84,0.65,77,0.6,249,1.93,1008,7.81,63,0.49,77,0.6,49,0.38,46,0.36,15,0.12,13,0.1,-,-,47,1.34,1,0.07,1,0.07,2,0.14,-,-,1,0.07
Nara,98,1.78,14,0.41,26,0.76,62,1.82,191,5.62,19,0.56,34,1,3,0.09,17,0.5,7,0.21,3,0.09,-,-,6,0.6,-,-,-,-,3,0.5,-,-,-,-
Wakayama,126,2.57,7,0.23,22,0.73,30,1,136,4.53,11,0.37,15,0.5,10,0.33,13,0.43,4,0.13,2,0.07,-,-,3,0.75,-,-,-,-,5,0.45,-,-,-,-
Tottori,8,0.28,13,0.68,8,0.42,78,4.11,94,4.95,9,0.47,25,1.32,-,-,1,0.05,2,0.11,1,0.05,-,-,12,2.4,1,0.2,-,-,2,0.4,-,-,-,-
Shimane,13,0.34,14,0.61,12,0.52,61,2.65,138,6,6,0.26,33,1.43,-,-,13,0.57,2,0.09,2,0.09,-,-,2,0.67,-,-,1,0.13,2,0.25,-,-,-,-
Okayama,60,0.71,13,0.24,15,0.28,88,1.63,377,6.98,20,0.37,33,0.61,3,0.06,18,0.33,10,0.19,3,0.06,-,-,20,1.67,-,-,1,0.2,-,-,-,-,-,-
Hiroshima,103,0.9,46,0.64,46,0.64,166,2.31,512,7.11,26,0.36,36,0.5,9,0.13,30,0.42,9,0.13,14,0.19,-,-,14,0.74,-,-,-,-,2,0.1,-,-,1,0.05
Yamaguchi,26,0.39,36,0.77,14,0.3,170,3.62,445,9.47,18,0.38,24,0.51,6,0.13,21,0.45,10,0.21,7,0.15,-,-,8,0.89,-,-,-,-,-,-,-,-,-,-
Tokushima,6,0.16,8,0.35,6,0.26,32,1.39,134,5.83,12,0.52,8,0.35,7,0.3,16,0.7,6,0.26,-,-,-,-,6,1.5,-,-,-,-,-,-,-,-,-,-
Kagawa,97,2.06,21,0.75,20,0.71,49,1.75,301,10.75,4,0.14,8,0.29,7,0.25,10,0.36,4,0.14,3,0.11,-,-,-,-,-,-,1,0.2,1,0.2,-,-,-,-
Ehime,11,0.18,19,0.53,17,0.47,119,3.31,287,7.97,14,0.39,22,0.61,7,0.19,24,0.67,8,0.22,3,0.08,-,-,18,2.25,-,-,-,-,3,0.5,-,-,-,-
Kochi,10,0.21,12,0.4,8,0.27,45,1.5,95,3.17,6,0.2,20,0.67,9,0.3,12,0.4,1,0.03,3,0.1,-,-,-,-,1,0.13,-,-,4,0.5,-,-,1,0.13
Fukuoka,218,1.1,52,0.43,154,1.28,530,4.42,1776,14.8,87,0.73,97,0.81,61,0.51,77,0.64,6,0.05,45,0.38,-,-,42,1.62,1,0.07,-,-,-,-,-,-,-,-
Saga,30,0.77,1,0.04,16,0.7,52,2.26,307,13.35,9,0.39,15,0.65,14,0.61,11,0.48,3,0.13,2,0.09,-,-,4,1,-,-,-,-,-,-,-,-,-,-
Nagasaki,41,0.59,3,0.07,39,0.89,114,2.59,507,11.52,21,0.48,47,1.07,11,0.25,23,0.52,2,0.05,6,0.14,-,-,9,1.13,-,-,-,-,4,0.33,-,-,-,-
Kumamoto,69,0.86,28,0.56,32,0.64,114,2.28,525,10.5,19,0.38,32,0.64,5,0.1,30,0.6,11,0.22,6,0.12,-,-,23,2.56,-,-,1,0.07,-,-,-,-,-,-
Oita,34,0.59,7,0.19,38,1.06,76,2.11,672,18.67,42,1.17,1,0.03,2,0.06,24,0.67,4,0.11,28,0.78,-,-,3,0.6,-,-,1,0.09,-,-,-,-,1,0.09
Miyazaki,18,0.31,7,0.2,41,1.17,127,3.63,509,14.54,18,0.51,17,0.49,5,0.14,26,0.74,4,0.11,6,0.17,-,-,20,3.33,-,-,-,-,-,-,-,-,-,-
Kagoshima,153,1.66,12,0.22,74,1.37,170,3.15,501,9.28,45,0.83,5,0.09,8,0.15,26,0.48,11,0.2,11,0.2,-,-,20,2.86,-,-,-,-,-,-,-,-,-,-
Okinawa,92,1.61,3,0.09,8,0.24,42,1.24,105,3.09,21,0.62,26,0.76,13,0.38,13,0.38,2,0.06,2,0.06,-,-,13,1.44,1,0.14,-,-,-,-,-,-,-,-
