"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2018",,,,,,"Data collected as of August 8, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,50214,363.87,830,9.33,889,9.99,4963,55.76,13265,149.04,543,6.1,935,10.51,397,4.46,974,10.94,3314,37.24,777,8.73,7,0.32,364,16.55,5,0.56,22,2.44,30,3.33,4,0.44,17,1.89
Aichi,79584,408.12,1563,8.59,1535,8.43,10262,56.38,25620,140.77,1606,8.82,1460,8.02,313,1.72,1983,10.9,3090,16.98,694,3.81,4,0.11,553,15.8,6,0.4,11,0.73,83,5.53,2,0.13,142,9.47
Mie,26704,376.11,759,17.25,765,17.39,3203,72.8,7524,171,343,7.8,373,8.48,47,1.07,664,15.09,1104,25.09,164,3.73,5,0.42,38,3.17,5,0.56,13,1.44,26,2.89,2,0.22,15,1.67
Shiga,17544,337.38,169,5.45,350,11.29,1259,40.61,4243,136.87,360,11.61,700,22.58,52,1.68,337,10.87,653,21.06,246,7.94,1,0.13,96,12,3,0.43,9,1.29,10,1.43,-,-,11,1.57
Kyoto,39710,317.68,490,6.45,698,9.18,3537,46.54,11722,154.24,471,6.2,1114,14.66,96,1.26,768,10.11,875,11.51,176,2.32,3,0.18,192,11.29,4,0.57,2,0.29,28,4,-,-,52,7.43
Osaka,88624,291.53,3623,18.3,2893,14.61,13361,67.48,35433,178.95,2238,11.3,1939,9.79,567,2.86,2846,14.37,2320,11.72,818,4.13,28,0.54,638,12.27,13,0.76,15,0.88,68,4,2,0.12,178,10.47
Hyogo,65054,328.56,1525,11.91,1801,14.07,5764,45.03,24405,190.66,1306,10.2,1157,9.04,132,1.03,1501,11.73,1379,10.77,429,3.35,30,0.88,615,18.09,21,1.62,19,1.46,50,3.85,2,0.15,107,8.23
Nara,15652,289.85,305,8.97,406,11.94,2012,59.18,5768,169.65,306,9,402,11.82,181,5.32,432,12.71,555,16.32,74,2.18,1,0.1,118,11.8,10,1.67,5,0.83,23,3.83,-,-,54,9
Wakayama,14524,302.58,318,10.6,361,12.03,979,32.63,3145,104.83,253,8.43,126,4.2,65,2.17,380,12.67,437,14.57,114,3.8,56,14,26,6.5,4,0.36,7,0.64,32,2.91,4,0.36,50,4.55
Tottori,10884,375.31,163,8.58,320,16.84,3046,160.32,4606,242.42,113,5.95,88,4.63,19,1,279,14.68,186,9.79,39,2.05,3,0.6,25,5,4,0.8,12,2.4,11,2.2,1,0.2,52,10.4
Shimane,9994,263,270,11.74,199,8.65,1670,72.61,4343,188.83,115,5,346,15.04,11,0.48,384,16.7,252,10.96,127,5.52,-,-,6,2,5,0.63,23,2.88,9,1.13,-,-,46,5.75
Okayama,28312,345.27,267,5.13,435,8.37,2833,54.48,11437,219.94,448,8.62,363,6.98,135,2.6,629,12.1,374,7.19,162,3.12,15,1.36,216,19.64,3,0.75,-,-,10,2.5,-,-,28,7
Hiroshima,34146,299.53,897,12.63,1172,16.51,4551,64.1,15329,215.9,536,7.55,1549,21.82,36,0.51,748,10.54,1217,17.14,230,3.24,18,0.95,540,28.42,5,0.25,5,0.25,38,1.9,2,0.1,374,18.7
Yamaguchi,26770,399.55,1289,27.43,613,13.04,4423,94.11,7482,159.19,372,7.91,2177,46.32,27,0.57,759,16.15,1013,21.55,215,4.57,-,-,135,15,5,0.56,4,0.44,32,3.56,-,-,103,11.44
Tokushima,11992,324.11,611,26.57,365,15.87,1300,56.52,3924,170.61,148,6.43,903,39.26,109,4.74,493,21.43,399,17.35,92,4,-,-,22,5.5,4,0.57,2,0.29,13,1.86,-,-,2,0.29
Kagawa,15196,323.32,249,8.89,358,12.79,1650,58.93,5991,213.96,226,8.07,246,8.79,18,0.64,455,16.25,618,22.07,153,5.46,4,0.8,94,18.8,3,0.6,2,0.4,26,5.2,1,0.2,40,8
Ehime,23262,387.7,583,16.19,366,10.17,3485,96.81,9432,262,269,7.47,1100,30.56,38,1.06,748,20.78,606,16.83,214,5.94,1,0.14,429,61.29,-,-,-,-,69,11.5,-,-,45,7.5
Kochi,20862,434.63,211,7.03,286,9.53,1297,43.23,3524,117.47,168,5.6,580,19.33,73,2.43,336,11.2,62,2.07,44,1.47,-,-,36,12,3,0.38,1,0.13,51,6.38,12,1.5,29,3.63
Fukuoka,90311,458.43,3217,27.03,2385,20.04,12205,102.56,27154,228.18,1710,14.37,9018,75.78,148,1.24,2481,20.85,1642,13.8,1108,9.31,13,0.5,1142,43.92,22,1.47,21,1.4,93,6.2,-,-,79,5.27
Saga,15624,411.16,317,14.41,612,27.82,1099,49.95,2910,132.27,234,10.64,1088,49.45,21,0.95,485,22.05,1016,46.18,58,2.64,2,0.5,72,18,2,0.33,8,1.33,24,4,-,-,56,9.33
Nagasaki,26953,385.04,701,15.93,465,10.57,3412,77.55,6362,144.59,334,7.59,2177,49.48,27,0.61,571,12.98,653,14.84,82,1.86,6,0.75,162,20.25,10,0.83,13,1.08,65,5.42,-,-,98,8.17
Kumamoto,29836,372.95,569,11.38,614,12.28,2162,43.24,11228,224.56,344,6.88,3640,72.8,39,0.78,1094,21.88,674,13.48,156,3.12,1,0.11,435,48.33,8,0.53,15,1,24,1.6,-,-,42,2.8
Oita,27037,466.16,527,14.64,280,7.78,1908,53,13046,362.39,587,16.31,4502,125.06,23,0.64,694,19.28,446,12.39,407,11.31,1,0.2,149,29.8,1,0.09,1,0.09,38,3.45,-,-,25,2.27
Miyazaki,27766,478.72,945,27,906,25.89,2295,65.57,10924,312.11,435,12.43,4887,139.63,35,1,942,26.91,357,10.2,917,26.2,1,0.17,426,71,1,0.14,-,-,5,0.71,-,-,153,21.86
Kagoshima,40863,444.16,1287,23.83,1944,36,4890,90.56,13259,245.54,581,10.76,4563,84.5,73,1.35,753,13.94,190,3.52,1056,19.56,1,0.14,225,32.14,3,0.25,5,0.42,8,0.67,-,-,14,1.17
Okinawa,29331,514.58,2194,64.53,580,17.06,1763,51.85,3829,112.62,546,16.06,1181,34.74,52,1.53,472,13.88,148,4.35,128,3.76,6,0.67,524,58.22,21,3,41,5.86,28,4,3,0.43,24,3.43
