"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2018",,,,,,"Data collected as of August 8, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,8,0.11,90,2.05,24,0.55,63,1.43,167,3.8,12,0.27,40,0.91,3,0.07,28,0.64,183,4.16,3,0.07,1,0.08,-,-,-,-,2,0.22,-,-,-,-,-,-
Shiga,-,-,8,0.25,18,0.56,20,0.63,141,4.41,11,0.34,67,2.09,-,-,10,0.31,135,4.22,16,0.5,-,-,2,0.25,-,-,1,0.14,3,0.43,-,-,-,-
Kyoto,1,0.01,68,0.89,25,0.33,79,1.04,250,3.29,16,0.21,138,1.82,-,-,39,0.51,121,1.59,4,0.05,-,-,9,0.5,-,-,-,-,1,0.14,-,-,-,-
Osaka,10,0.03,413,2.09,98,0.49,333,1.68,850,4.29,58,0.29,286,1.44,33,0.17,104,0.53,506,2.56,22,0.11,-,-,23,0.44,1,0.06,-,-,7,0.41,-,-,-,-
Hyogo,-,-,134,1.04,41,0.32,116,0.9,645,5,27,0.21,164,1.27,14,0.11,53,0.41,348,2.7,19,0.15,-,-,18,0.51,-,-,-,-,1,0.07,-,-,-,-
Nara,-,-,12,0.35,5,0.15,51,1.5,94,2.76,4,0.12,35,1.03,14,0.41,9,0.26,86,2.53,3,0.09,-,-,8,0.8,-,-,-,-,1,0.17,-,-,-,-
Wakayama,-,-,54,1.8,11,0.37,24,0.8,84,2.8,5,0.17,19,0.63,1,0.03,8,0.27,55,1.83,1,0.03,-,-,-,-,-,-,1,0.09,4,0.36,-,-,-,-
Tottori,1,0.03,17,0.89,6,0.32,53,2.79,105,5.53,1,0.05,11,0.58,1,0.05,10,0.53,44,2.32,1,0.05,-,-,1,0.2,-,-,2,0.4,1,0.2,-,-,-,-
Shimane,-,-,34,1.48,3,0.13,39,1.7,76,3.3,1,0.04,24,1.04,-,-,10,0.43,40,1.74,5,0.22,-,-,-,-,-,-,3,0.38,1,0.13,-,-,-,-
Okayama,-,-,57,1.06,20,0.37,36,0.67,338,6.26,15,0.28,22,0.41,2,0.04,23,0.43,38,0.7,5,0.09,-,-,9,0.75,-,-,-,-,1,0.2,-,-,-,-
Hiroshima,25,0.22,99,1.38,39,0.54,103,1.43,240,3.33,7,0.1,114,1.58,1,0.01,30,0.42,92,1.28,2,0.03,-,-,23,1.21,-,-,1,0.05,2,0.1,-,-,-,-
Yamaguchi,-,-,79,1.68,14,0.3,119,2.53,148,3.15,10,0.21,109,2.32,1,0.02,24,0.51,116,2.47,5,0.11,-,-,6,0.67,-,-,-,-,1,0.11,-,-,-,-
Tokushima,-,-,65,2.83,8,0.35,26,1.13,133,5.78,5,0.22,88,3.83,9,0.39,22,0.96,79,3.43,1,0.04,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kagawa,1,0.02,31,1.11,7,0.25,38,1.36,152,5.43,16,0.57,18,0.64,1,0.04,5,0.18,55,1.96,5,0.18,-,-,4,0.8,-,-,-,-,1,0.2,-,-,-,-
Ehime,-,-,59,1.59,10,0.27,63,1.7,203,5.49,2,0.05,272,7.35,1,0.03,26,0.7,72,1.95,2,0.05,-,-,19,2.38,-,-,-,-,2,0.33,-,-,-,-
Kochi,-,-,10,0.33,22,0.73,25,0.83,69,2.3,10,0.33,44,1.47,2,0.07,9,0.3,14,0.47,2,0.07,-,-,2,0.67,-,-,-,-,3,0.38,-,-,-,-
Fukuoka,15,0.08,337,2.81,92,0.77,301,2.51,667,5.56,34,0.28,370,3.08,8,0.07,71,0.59,292,2.43,42,0.35,3,0.12,67,2.58,-,-,-,-,2,0.13,-,-,-,-
Saga,1,0.03,36,1.57,12,0.52,27,1.17,39,1.7,2,0.09,36,1.57,1,0.04,20,0.87,62,2.7,5,0.22,-,-,1,0.25,-,-,-,-,1,0.17,-,-,-,-
Nagasaki,-,-,102,2.32,36,0.82,77,1.75,103,2.34,8,0.18,49,1.11,-,-,22,0.5,55,1.25,1,0.02,-,-,12,1.5,-,-,1,0.08,1,0.08,-,-,-,-
Kumamoto,4,0.05,82,1.64,8,0.16,47,0.94,260,5.2,8,0.16,206,4.12,1,0.02,24,0.48,115,2.3,11,0.22,-,-,26,2.89,-,-,1,0.07,-,-,-,-,-,-
Oita,-,-,92,2.56,7,0.19,39,1.08,323,8.97,15,0.42,148,4.11,1,0.03,20,0.56,83,2.31,22,0.61,-,-,5,1,-,-,-,-,3,0.27,-,-,-,-
Miyazaki,6,0.1,108,3.09,21,0.6,49,1.4,269,7.69,14,0.4,145,4.14,-,-,36,1.03,53,1.51,27,0.77,-,-,15,2.5,-,-,-,-,1,0.14,-,-,-,-
Kagoshima,11,0.12,125,2.31,49,0.91,117,2.17,401,7.43,14,0.26,112,2.07,2,0.04,27,0.5,22,0.41,19,0.35,-,-,10,1.43,-,-,-,-,-,-,-,-,-,-
Okinawa,98,1.72,74,2.18,51,1.5,49,1.44,132,3.88,5,0.15,129,3.79,1,0.03,14,0.41,41,1.21,5,0.15,-,-,28,3.11,-,-,1,0.14,1,0.14,-,-,-,-
