"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9th week, 2018",,,,,,"Data collected as of March 7, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Mie,1253,17.4,19,0.42,33,0.73,92,2.04,217,4.82,10,0.22,2,0.04,2,0.04,17,0.38,1,0.02,7,0.16,-,-,-,-,-,-,1,0.11,2,0.22,-,-,2,0.22
Shiga,906,17.09,8,0.25,6,0.19,33,1.03,98,3.06,4,0.13,1,0.03,-,-,9,0.28,-,-,7,0.22,-,-,1,0.13,-,-,1,0.14,-,-,-,-,-,-
Kyoto,2239,17.91,17,0.22,10,0.13,105,1.36,315,4.09,9,0.12,4,0.05,2,0.03,16,0.21,-,-,5,0.06,-,-,5,0.28,-,-,-,-,-,-,-,-,2,0.29
Osaka,4603,15.09,109,0.55,41,0.21,457,2.3,998,5.02,44,0.22,6,0.03,7,0.04,62,0.31,5,0.03,28,0.14,1,0.02,37,0.71,-,-,-,-,2,0.12,-,-,7,0.41
Hyogo,3163,15.97,55,0.43,59,0.46,206,1.61,765,5.98,17,0.13,7,0.05,5,0.04,49,0.38,1,0.01,9,0.07,-,-,12,0.34,-,-,-,-,1,0.07,-,-,4,0.29
Nara,781,14.46,7,0.21,5,0.15,68,2,170,5,5,0.15,4,0.12,6,0.18,15,0.44,3,0.09,-,-,-,-,2,0.2,1,0.17,-,-,-,-,-,-,4,0.67
Wakayama,698,14.24,5,0.17,5,0.17,31,1.03,88,2.93,3,0.1,1,0.03,-,-,11,0.37,-,-,2,0.07,1,0.25,-,-,2,0.18,-,-,1,0.09,-,-,-,-
Tottori,554,19.1,2,0.11,3,0.16,84,4.42,126,6.63,-,-,-,-,1,0.05,3,0.16,1,0.05,1,0.05,1,0.2,1,0.2,-,-,-,-,-,-,-,-,2,0.4
Shimane,531,13.97,5,0.22,5,0.22,81,3.52,108,4.7,3,0.13,6,0.26,1,0.04,14,0.61,1,0.04,6,0.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Okayama,1814,21.6,3,0.06,5,0.09,121,2.24,386,7.15,11,0.2,7,0.13,1,0.02,15,0.28,-,-,7,0.13,-,-,2,0.17,1,0.2,-,-,-,-,-,-,1,0.2
Hiroshima,1730,15.04,35,0.49,32,0.44,187,2.6,709,9.85,14,0.19,7,0.1,1,0.01,26,0.36,1,0.01,4,0.06,-,-,17,0.89,-,-,-,-,-,-,-,-,35,1.67
Yamaguchi,1203,17.69,42,0.88,19,0.4,131,2.73,236,4.92,8,0.17,6,0.13,1,0.02,26,0.54,1,0.02,8,0.17,-,-,2,0.22,-,-,-,-,-,-,-,-,4,0.44
Tokushima,802,21.68,17,0.74,10,0.43,38,1.65,86,3.74,6,0.26,1,0.04,-,-,14,0.61,-,-,4,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,827,17.6,6,0.21,6,0.21,45,1.61,142,5.07,5,0.18,1,0.04,2,0.07,12,0.43,-,-,3,0.11,-,-,3,0.6,-,-,-,-,1,0.2,-,-,-,-
Ehime,1400,22.95,20,0.54,5,0.14,138,3.73,254,6.86,15,0.41,1,0.03,-,-,12,0.32,1,0.03,8,0.22,-,-,17,2.13,-,-,-,-,4,0.67,-,-,-,-
Kochi,1115,23.23,10,0.33,3,0.1,43,1.43,100,3.33,4,0.13,6,0.2,-,-,4,0.13,1,0.03,1,0.03,-,-,1,0.33,-,-,-,-,1,0.13,1,0.13,-,-
Fukuoka,2699,13.63,100,0.83,52,0.43,465,3.88,926,7.72,35,0.29,36,0.3,6,0.05,68,0.57,2,0.02,21,0.18,-,-,27,1.04,-,-,-,-,3,0.2,-,-,3,0.2
Saga,642,16.46,5,0.22,12,0.52,48,2.09,98,4.26,3,0.13,7,0.3,-,-,14,0.61,-,-,2,0.09,-,-,2,0.5,-,-,-,-,1,0.17,-,-,6,1
Nagasaki,1030,14.71,29,0.66,16,0.36,124,2.82,277,6.3,7,0.16,34,0.77,3,0.07,10,0.23,-,-,1,0.02,-,-,3,0.38,-,-,-,-,1,0.08,-,-,1,0.08
Kumamoto,1016,12.7,29,0.58,21,0.42,81,1.62,413,8.26,14,0.28,6,0.12,1,0.02,30,0.6,1,0.02,3,0.06,-,-,15,1.67,-,-,-,-,-,-,-,-,2,0.13
Oita,798,13.76,9,0.25,8,0.22,52,1.44,453,12.58,12,0.33,2,0.06,-,-,16,0.44,1,0.03,4,0.11,-,-,3,0.6,-,-,-,-,-,-,-,-,-,-
Miyazaki,1095,18.56,15,0.42,26,0.72,67,1.86,373,10.36,5,0.14,37,1.03,1,0.03,27,0.75,1,0.03,27,0.75,-,-,14,2.33,-,-,-,-,-,-,-,-,15,2.14
Kagoshima,1443,15.52,46,0.84,54,0.98,174,3.16,402,7.31,20,0.36,31,0.56,4,0.07,14,0.25,-,-,26,0.47,1,0.14,-,-,-,-,-,-,-,-,-,-,1,0.08
Okinawa,1445,25.35,23,0.68,8,0.24,54,1.59,103,3.03,16,0.47,30,0.88,-,-,7,0.21,1,0.03,2,0.06,-,-,13,1.44,-,-,-,-,1,0.14,1,0.14,1,0.14
